Trial	MapName	MaxWaypoints	WaypointsVisited	Steps
1	maps/StageA/ptsp_map01.map	10	5	2657
2	maps/StageA/ptsp_map01.map	10	10	3650
3	maps/StageA/ptsp_map01.map	10	8	4006
4	maps/StageA/ptsp_map01.map	10	6	2897
5	maps/StageA/ptsp_map01.map	10	8	3076
6	maps/StageA/ptsp_map01.map	10	10	3638
7	maps/StageA/ptsp_map01.map	10	10	4355
8	maps/StageA/ptsp_map01.map	10	8	3285
9	maps/StageA/ptsp_map01.map	10	8	3929
10	maps/StageA/ptsp_map01.map	10	5	2365
1	maps/StageA/ptsp_map02.map	10	9	4747
2	maps/StageA/ptsp_map02.map	10	3	1640
3	maps/StageA/ptsp_map02.map	10	9	3525
4	maps/StageA/ptsp_map02.map	10	4	1804
5	maps/StageA/ptsp_map02.map	10	9	2854
6	maps/StageA/ptsp_map02.map	10	9	3868
7	maps/StageA/ptsp_map02.map	10	10	2463
8	maps/StageA/ptsp_map02.map	10	10	3360
9	maps/StageA/ptsp_map02.map	10	10	2981
