Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	6	2898	70082	41
2	maps/StageA/ptsp_map01.map	2	1478	70080	26
3	maps/StageA/ptsp_map01.map	2	1481	70080	27
4	maps/StageA/ptsp_map01.map	1	1274	70079	28
5	maps/StageA/ptsp_map01.map	2	1406	70081	27
6	maps/StageA/ptsp_map01.map	4	2218	70083	32
7	maps/StageA/ptsp_map01.map	4	2409	70084	50
8	maps/StageA/ptsp_map01.map	9	3695	70083	51
9	maps/StageA/ptsp_map01.map	4	2199	70083	41
10	maps/StageA/ptsp_map01.map	7	3822	70083	45
1	maps/StageA/ptsp_map02.map	8	2795	70081	39
2	maps/StageA/ptsp_map02.map	4	1585	70080	37
3	maps/StageA/ptsp_map02.map	3	2064	70081	44
4	maps/StageA/ptsp_map02.map	4	1408	70080	44
5	maps/StageA/ptsp_map02.map	4	1404	70081	37
6	maps/StageA/ptsp_map02.map	4	1988	70083	43
7	maps/StageA/ptsp_map02.map	5	1912	70081	33
8	maps/StageA/ptsp_map02.map	9	3404	70083	43
9	maps/StageA/ptsp_map02.map	3	2234	70083	38
10	maps/StageA/ptsp_map02.map	4	1379	70080	34
1	maps/StageA/ptsp_map08.map	4	1789	70082	39
2	maps/StageA/ptsp_map08.map	6	1783	70081	35
3	maps/StageA/ptsp_map08.map	4	1512	70080	34
4	maps/StageA/ptsp_map08.map	4	1457	70080	34
5	maps/StageA/ptsp_map08.map	4	1582	70082	36
6	maps/StageA/ptsp_map08.map	4	1453	70081	37
7	maps/StageA/ptsp_map08.map	5	1721	70080	36
8	maps/StageA/ptsp_map08.map	9	2904	70081	39
9	maps/StageA/ptsp_map08.map	8	2297	70084	37
10	maps/StageA/ptsp_map08.map	9	3333	70083	34
1	maps/StageA/ptsp_map19.map	1	1341	70081	35
2	maps/StageA/ptsp_map19.map	5	2312	70083	37
3	maps/StageA/ptsp_map19.map	0	1000	70083	41
4	maps/StageA/ptsp_map19.map	1	1240	70081	42
5	maps/StageA/ptsp_map19.map	0	1000	70082	32
6	maps/StageA/ptsp_map19.map	1	1544	70082	42
7	maps/StageA/ptsp_map19.map	2	1936	70081	40
8	maps/StageA/ptsp_map19.map	2	1475	70080	35
9	maps/StageA/ptsp_map19.map	2	1935	70083	37
10	maps/StageA/ptsp_map19.map	2	1721	70081	33
1	maps/StageA/ptsp_map24.map	0	1000	70082	36
2	maps/StageA/ptsp_map24.map	0	1000	70080	36
3	maps/StageA/ptsp_map24.map	1	1177	70081	34
4	maps/StageA/ptsp_map24.map	3	1513	70080	32
5	maps/StageA/ptsp_map24.map	2	1330	70081	32
6	maps/StageA/ptsp_map24.map	3	1632	70081	34
7	maps/StageA/ptsp_map24.map	4	2877	70082	35
8	maps/StageA/ptsp_map24.map	3	1413	70081	33
9	maps/StageA/ptsp_map24.map	3	1321	70082	35
10	maps/StageA/ptsp_map24.map	3	1421	70081	35
1	maps/StageA/ptsp_map35.map	5	2479	70083	38
2	maps/StageA/ptsp_map35.map	3	1875	70082	36
3	maps/StageA/ptsp_map35.map	3	1319	70081	35
4	maps/StageA/ptsp_map35.map	3	1284	70080	37
5	maps/StageA/ptsp_map35.map	4	1626	70082	40
6	maps/StageA/ptsp_map35.map	7	3159	70083	41
7	maps/StageA/ptsp_map35.map	3	1954	70082	39
8	maps/StageA/ptsp_map35.map	3	1359	70080	36
9	maps/StageA/ptsp_map35.map	1	1131	70078	33
10	maps/StageA/ptsp_map35.map	4	2010	70082	38
1	maps/StageA/ptsp_map40.map	3	1631	70080	34
2	maps/StageA/ptsp_map40.map	0	1000	70082	35
3	maps/StageA/ptsp_map40.map	0	1000	70082	35
4	maps/StageA/ptsp_map40.map	0	1000	70080	37
5	maps/StageA/ptsp_map40.map	2	1254	70078	34
6	maps/StageA/ptsp_map40.map	4	1488	70082	34
7	maps/StageA/ptsp_map40.map	2	1597	70081	32
8	maps/StageA/ptsp_map40.map	0	1000	70084	34
9	maps/StageA/ptsp_map40.map	3	2295	70082	36
10	maps/StageA/ptsp_map40.map	4	2270	70082	37
1	maps/StageA/ptsp_map45.map	0	1000	70083	34
2	maps/StageA/ptsp_map45.map	1	1307	70082	38
3	maps/StageA/ptsp_map45.map	0	1000	70082	38
4	maps/StageA/ptsp_map45.map	0	1000	70083	40
5	maps/StageA/ptsp_map45.map	1	1650	70082	42
6	maps/StageA/ptsp_map45.map	1	1386	70083	39
7	maps/StageA/ptsp_map45.map	1	1661	70084	39
8	maps/StageA/ptsp_map45.map	0	1000	70084	39
9	maps/StageA/ptsp_map45.map	1	1439	70081	38
10	maps/StageA/ptsp_map45.map	0	1000	70084	34
1	maps/StageA/ptsp_map56.map	0	1000	70082	35
2	maps/StageA/ptsp_map56.map	0	1000	70081	40
3	maps/StageA/ptsp_map56.map	0	1000	70082	40
4	maps/StageA/ptsp_map56.map	1	1793	70084	37
5	maps/StageA/ptsp_map56.map	0	1000	70082	31
6	maps/StageA/ptsp_map56.map	0	1000	70082	27
7	maps/StageA/ptsp_map56.map	0	1000	70082	32
8	maps/StageA/ptsp_map56.map	0	1000	70083	37
9	maps/StageA/ptsp_map56.map	0	1000	70082	46
10	maps/StageA/ptsp_map56.map	2	1711	70082	41
1	maps/StageA/ptsp_map61.map	3	1368	70080	44
2	maps/StageA/ptsp_map61.map	3	1302	70082	38
3	maps/StageA/ptsp_map61.map	9	3489	70082	38
4	maps/StageA/ptsp_map61.map	3	1326	70080	38
5	maps/StageA/ptsp_map61.map	9	2930	70082	38
6	maps/StageA/ptsp_map61.map	3	1348	70082	37
7	maps/StageA/ptsp_map61.map	3	1275	70078	43
8	maps/StageA/ptsp_map61.map	8	3531	70083	42
9	maps/StageA/ptsp_map61.map	3	1279	70082	40
10	maps/StageA/ptsp_map61.map	2	1826	70083	40
