Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	4	2325	70149	35
2	maps/StageA/ptsp_map01.map	10	1995	70169	35
3	maps/StageA/ptsp_map01.map	10	2744	70181	36
4	maps/StageA/ptsp_map01.map	10	2230	70172	32
5	maps/StageA/ptsp_map01.map	10	2463	70178	34
6	maps/StageA/ptsp_map01.map	10	2326	70183	35
7	maps/StageA/ptsp_map01.map	10	1990	70171	35
8	maps/StageA/ptsp_map01.map	9	2648	70180	32
9	maps/StageA/ptsp_map01.map	10	2896	70182	33
10	maps/StageA/ptsp_map01.map	10	2529	70178	32
1	maps/StageA/ptsp_map02.map	10	2441	70177	28
2	maps/StageA/ptsp_map02.map	10	1530	70165	41
3	maps/StageA/ptsp_map02.map	10	1873	70167	45
4	maps/StageA/ptsp_map02.map	10	1856	70174	42
5	maps/StageA/ptsp_map02.map	10	1512	70166	37
6	maps/StageA/ptsp_map02.map	10	2169	70174	45
7	maps/StageA/ptsp_map02.map	10	2228	70174	42
8	maps/StageA/ptsp_map02.map	6	2391	70185	43
9	maps/StageA/ptsp_map02.map	10	1882	70174	37
10	maps/StageA/ptsp_map02.map	8	2984	70167	32
1	maps/StageA/ptsp_map08.map	8	2370	70172	35
2	maps/StageA/ptsp_map08.map	8	2235	70172	36
3	maps/StageA/ptsp_map08.map	10	2184	70172	36
4	maps/StageA/ptsp_map08.map	10	2110	70176	40
5	maps/StageA/ptsp_map08.map	10	1854	70174	32
6	maps/StageA/ptsp_map08.map	10	1632	70169	32
7	maps/StageA/ptsp_map08.map	8	2221	70171	31
8	maps/StageA/ptsp_map08.map	9	2871	70161	31
9	maps/StageA/ptsp_map08.map	10	2450	70177	32
10	maps/StageA/ptsp_map08.map	10	2230	70182	26
1	maps/StageA/ptsp_map19.map	7	2239	70168	25
2	maps/StageA/ptsp_map19.map	9	3764	70178	26
3	maps/StageA/ptsp_map19.map	4	2555	70147	25
4	maps/StageA/ptsp_map19.map	6	2318	70171	25
5	maps/StageA/ptsp_map19.map	8	2287	70179	25
6	maps/StageA/ptsp_map19.map	8	2454	70179	25
7	maps/StageA/ptsp_map19.map	3	1671	70177	26
8	maps/StageA/ptsp_map19.map	10	2477	70173	26
9	maps/StageA/ptsp_map19.map	10	2445	70179	25
10	maps/StageA/ptsp_map19.map	8	3149	70181	27
