Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	3	2002	70171	25
2	maps/StageA/ptsp_map01.map	3	1817	70168	33
3	maps/StageA/ptsp_map01.map	7	2395	70170	26
4	maps/StageA/ptsp_map01.map	5	2381	70172	25
5	maps/StageA/ptsp_map01.map	4	2126	70170	27
6	maps/StageA/ptsp_map01.map	4	2187	70173	27
7	maps/StageA/ptsp_map01.map	6	2750	70173	33
8	maps/StageA/ptsp_map01.map	9	3555	70180	45
9	maps/StageA/ptsp_map01.map	8	3551	70179	36
10	maps/StageA/ptsp_map01.map	4	2430	70172	45
1	maps/StageA/ptsp_map02.map	9	3131	70179	45
2	maps/StageA/ptsp_map02.map	9	2977	70179	33
3	maps/StageA/ptsp_map02.map	6	2678	70176	42
4	maps/StageA/ptsp_map02.map	8	3270	70178	43
5	maps/StageA/ptsp_map02.map	6	2198	70173	25
6	maps/StageA/ptsp_map02.map	6	2489	70170	27
7	maps/StageA/ptsp_map02.map	4	1994	70167	39
8	maps/StageA/ptsp_map02.map	10	2984	70175	30
9	maps/StageA/ptsp_map02.map	2	1208	70159	29
10	maps/StageA/ptsp_map02.map	5	2141	70174	29
1	maps/StageA/ptsp_map08.map	10	2934	70174	29
2	maps/StageA/ptsp_map08.map	7	2779	70175	30
3	maps/StageA/ptsp_map08.map	4	1506	70165	30
4	maps/StageA/ptsp_map08.map	10	2882	70177	31
5	maps/StageA/ptsp_map08.map	10	2488	70175	30
6	maps/StageA/ptsp_map08.map	8	3234	70176	31
7	maps/StageA/ptsp_map08.map	6	2017	70175	31
8	maps/StageA/ptsp_map08.map	8	2418	70174	30
9	maps/StageA/ptsp_map08.map	6	2001	70172	31
10	maps/StageA/ptsp_map08.map	3	1658	70169	30
1	maps/StageA/ptsp_map19.map	3	2167	70173	29
2	maps/StageA/ptsp_map19.map	9	4352	70181	33
3	maps/StageA/ptsp_map19.map	5	2988	70178	33
4	maps/StageA/ptsp_map19.map	3	2163	70171	34
5	maps/StageA/ptsp_map19.map	2	1484	70164	36
6	maps/StageA/ptsp_map19.map	2	1591	70163	38
7	maps/StageA/ptsp_map19.map	2	1312	70159	35
8	maps/StageA/ptsp_map19.map	4	2407	70178	36
9	maps/StageA/ptsp_map19.map	1	1179	70159	34
10	maps/StageA/ptsp_map19.map	1	1291	70166	36
1	maps/StageA/ptsp_map24.map	2	1510	70160	35
2	maps/StageA/ptsp_map24.map	1	1321	70158	38
3	maps/StageA/ptsp_map24.map	2	1476	70164	37
4	maps/StageA/ptsp_map24.map	1	1192	70159	37
5	maps/StageA/ptsp_map24.map	2	1348	70163	39
6	maps/StageA/ptsp_map24.map	5	3859	70177	38
7	maps/StageA/ptsp_map24.map	4	1969	70176	36
8	maps/StageA/ptsp_map24.map	5	2678	70177	38
9	maps/StageA/ptsp_map24.map	4	1984	70165	36
10	maps/StageA/ptsp_map24.map	2	1427	70167	36
1	maps/StageA/ptsp_map35.map	3	1398	70164	35
2	maps/StageA/ptsp_map35.map	2	1679	70170	37
3	maps/StageA/ptsp_map35.map	4	2162	70172	41
4	maps/StageA/ptsp_map35.map	3	1745	70169	37
5	maps/StageA/ptsp_map35.map	3	1997	70172	40
6	maps/StageA/ptsp_map35.map	5	2319	70174	36
7	maps/StageA/ptsp_map35.map	0	1000	70151	31
8	maps/StageA/ptsp_map35.map	1	1363	70159	26
9	maps/StageA/ptsp_map35.map	3	1870	70174	31
10	maps/StageA/ptsp_map35.map	4	1957	70172	28
1	maps/StageA/ptsp_map40.map	8	2877	70174	27
2	maps/StageA/ptsp_map40.map	3	1946	70173	26
3	maps/StageA/ptsp_map40.map	4	1738	70164	26
4	maps/StageA/ptsp_map40.map	6	2089	70173	29
5	maps/StageA/ptsp_map40.map	9	3830	70180	29
6	maps/StageA/ptsp_map40.map	0	1000	70155	34
7	maps/StageA/ptsp_map40.map	5	2090	70173	35
8	maps/StageA/ptsp_map40.map	3	1858	70171	36
9	maps/StageA/ptsp_map40.map	3	2040	70169	34
10	maps/StageA/ptsp_map40.map	5	2092	70173	31
1	maps/StageA/ptsp_map45.map	2	1916	70168	37
2	maps/StageA/ptsp_map45.map	1	1733	70164	31
3	maps/StageA/ptsp_map45.map	1	1195	70160	31
4	maps/StageA/ptsp_map45.map	0	1000	70151	36
5	maps/StageA/ptsp_map45.map	1	1284	70164	34
6	maps/StageA/ptsp_map45.map	0	1000	70151	31
7	maps/StageA/ptsp_map45.map	1	1361	70167	30
8	maps/StageA/ptsp_map45.map	1	1372	70161	30
9	maps/StageA/ptsp_map45.map	1	1393	70161	33
10	maps/StageA/ptsp_map45.map	1	1320	70161	33
1	maps/StageA/ptsp_map56.map	0	1000	70154	35
2	maps/StageA/ptsp_map56.map	0	1000	70153	33
3	maps/StageA/ptsp_map56.map	0	1000	70159	32
4	maps/StageA/ptsp_map56.map	1	1488	70159	32
5	maps/StageA/ptsp_map56.map	0	1000	70154	33
6	maps/StageA/ptsp_map56.map	2	1922	70168	32
7	maps/StageA/ptsp_map56.map	2	2260	70172	28
8	maps/StageA/ptsp_map56.map	0	1000	70151	31
9	maps/StageA/ptsp_map56.map	2	1652	70165	30
10	maps/StageA/ptsp_map56.map	2	2025	70170	47
1	maps/StageA/ptsp_map61.map	8	2595	70173	30
2	maps/StageA/ptsp_map61.map	4	2097	70171	100
3	maps/StageA/ptsp_map61.map	9	3204	70183	83
4	maps/StageA/ptsp_map61.map	10	2281	70174	40
5	maps/StageA/ptsp_map61.map	10	2518	70173	45
6	maps/StageA/ptsp_map61.map	10	2237	70175	40
7	maps/StageA/ptsp_map61.map	8	2814	70176	52
8	maps/StageA/ptsp_map61.map	7	2228	70174	45
9	maps/StageA/ptsp_map61.map	8	3285	70176	41
10	maps/StageA/ptsp_map61.map	9	3633	70181	46
