Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	10	1803	70176	43
2	maps/StageA/ptsp_map01.map	7	2212	70175	48
3	maps/StageA/ptsp_map01.map	9	2863	70173	45
4	maps/StageA/ptsp_map01.map	10	2805	70182	48
5	maps/StageA/ptsp_map01.map	10	2472	70176	43
6	maps/StageA/ptsp_map01.map	10	2417	70175	39
7	maps/StageA/ptsp_map01.map	10	1958	70171	32
8	maps/StageA/ptsp_map01.map	6	2475	70185	36
9	maps/StageA/ptsp_map01.map	10	2166	70175	35
10	maps/StageA/ptsp_map01.map	8	2689	70182	34
1	maps/StageA/ptsp_map02.map	10	2316	70177	42
2	maps/StageA/ptsp_map02.map	10	1852	70170	33
3	maps/StageA/ptsp_map02.map	9	2919	70180	34
4	maps/StageA/ptsp_map02.map	6	2119	70158	33
5	maps/StageA/ptsp_map02.map	6	2417	70183	33
6	maps/StageA/ptsp_map02.map	10	2355	70175	32
7	maps/StageA/ptsp_map02.map	6	1844	70162	26
8	maps/StageA/ptsp_map02.map	5	1774	70173	26
9	maps/StageA/ptsp_map02.map	5	1763	70177	26
10	maps/StageA/ptsp_map02.map	10	1679	70161	25
1	maps/StageA/ptsp_map08.map	7	2435	70181	25
2	maps/StageA/ptsp_map08.map	8	3152	70191	26
3	maps/StageA/ptsp_map08.map	9	2863	70188	27
4	maps/StageA/ptsp_map08.map	8	2074	70175	26
5	maps/StageA/ptsp_map08.map	10	1867	70171	26
6	maps/StageA/ptsp_map08.map	9	3278	70186	27
7	maps/StageA/ptsp_map08.map	9	2946	70187	28
8	maps/StageA/ptsp_map08.map	10	2062	70180	27
9	maps/StageA/ptsp_map08.map	10	1995	70182	26
10	maps/StageA/ptsp_map08.map	8	2154	70172	32
1	maps/StageA/ptsp_map19.map	9	2974	70181	46
2	maps/StageA/ptsp_map19.map	8	2934	70184	50
3	maps/StageA/ptsp_map19.map	6	1987	70170	49
4	maps/StageA/ptsp_map19.map	9	3768	70183	51
5	maps/StageA/ptsp_map19.map	5	1906	70182	47
6	maps/StageA/ptsp_map19.map	8	3334	70185	39
7	maps/StageA/ptsp_map19.map	10	2046	70178	37
8	maps/StageA/ptsp_map19.map	9	2762	70172	36
9	maps/StageA/ptsp_map19.map	9	3099	70184	39
10	maps/StageA/ptsp_map19.map	8	2801	70185	40
1	maps/StageA/ptsp_map24.map	5	2182	70182	39
2	maps/StageA/ptsp_map24.map	8	4059	70181	33
3	maps/StageA/ptsp_map24.map	4	1972	70165	29
4	maps/StageA/ptsp_map24.map	9	3448	70184	33
5	maps/StageA/ptsp_map24.map	3	1549	70174	33
6	maps/StageA/ptsp_map24.map	9	3704	70193	34
7	maps/StageA/ptsp_map24.map	8	3098	70184	32
8	maps/StageA/ptsp_map24.map	8	2860	70181	31
9	maps/StageA/ptsp_map24.map	8	3558	70187	33
10	maps/StageA/ptsp_map24.map	10	3410	70182	37
1	maps/StageA/ptsp_map35.map	8	2910	70186	38
2	maps/StageA/ptsp_map35.map	8	2679	70182	32
3	maps/StageA/ptsp_map35.map	9	3648	70185	36
4	maps/StageA/ptsp_map35.map	8	3497	70165	34
5	maps/StageA/ptsp_map35.map	7	2496	70178	33
6	maps/StageA/ptsp_map35.map	8	2741	70184	31
7	maps/StageA/ptsp_map35.map	8	2813	70189	33
8	maps/StageA/ptsp_map35.map	9	3517	70188	30
9	maps/StageA/ptsp_map35.map	7	2565	70187	29
10	maps/StageA/ptsp_map35.map	7	3094	70190	28
1	maps/StageA/ptsp_map40.map	4	1590	70157	32
2	maps/StageA/ptsp_map40.map	7	2273	70164	29
3	maps/StageA/ptsp_map40.map	10	2432	70175	29
4	maps/StageA/ptsp_map40.map	7	2172	70178	28
5	maps/StageA/ptsp_map40.map	10	2688	70183	29
6	maps/StageA/ptsp_map40.map	10	2535	70172	29
7	maps/StageA/ptsp_map40.map	3	1866	70147	29
8	maps/StageA/ptsp_map40.map	10	2074	70170	27
9	maps/StageA/ptsp_map40.map	10	1994	70171	30
10	maps/StageA/ptsp_map40.map	10	2167	70173	32
1	maps/StageA/ptsp_map45.map	9	3294	70184	31
2	maps/StageA/ptsp_map45.map	8	2975	70171	29
3	maps/StageA/ptsp_map45.map	2	1948	70184	29
4	maps/StageA/ptsp_map45.map	8	3111	70184	27
5	maps/StageA/ptsp_map45.map	2	1514	70180	28
6	maps/StageA/ptsp_map45.map	2	1667	70181	28
7	maps/StageA/ptsp_map45.map	10	2888	70180	28
8	maps/StageA/ptsp_map45.map	2	1670	70181	29
9	maps/StageA/ptsp_map45.map	2	1639	70178	27
10	maps/StageA/ptsp_map45.map	9	4431	70195	29
1	maps/StageA/ptsp_map56.map	2	1487	70166	29
2	maps/StageA/ptsp_map56.map	2	1611	70167	28
3	maps/StageA/ptsp_map56.map	2	1493	70172	28
4	maps/StageA/ptsp_map56.map	2	1558	70161	28
5	maps/StageA/ptsp_map56.map	4	2554	70190	27
6	maps/StageA/ptsp_map56.map	2	1606	70178	25
7	maps/StageA/ptsp_map56.map	4	2387	70182	25
8	maps/StageA/ptsp_map56.map	4	2126	70180	24
9	maps/StageA/ptsp_map56.map	6	3473	70188	25
10	maps/StageA/ptsp_map56.map	4	1955	70184	24
1	maps/StageA/ptsp_map61.map	10	2457	70180	24
2	maps/StageA/ptsp_map61.map	8	2738	70181	24
3	maps/StageA/ptsp_map61.map	10	1763	70170	23
4	maps/StageA/ptsp_map61.map	10	2786	70181	23
5	maps/StageA/ptsp_map61.map	9	2454	70181	23
6	maps/StageA/ptsp_map61.map	10	2465	70181	23
7	maps/StageA/ptsp_map61.map	8	2380	70172	23
8	maps/StageA/ptsp_map61.map	10	2244	70174	23
9	maps/StageA/ptsp_map61.map	10	1920	70179	23
10	maps/StageA/ptsp_map61.map	10	2017	70179	23
