Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	10	2727	70179	32
2	maps/StageA/ptsp_map01.map	10	2330	70176	32
3	maps/StageA/ptsp_map01.map	10	2430	70173	28
4	maps/StageA/ptsp_map01.map	10	2332	70174	26
5	maps/StageA/ptsp_map01.map	10	2158	70173	29
6	maps/StageA/ptsp_map01.map	10	1842	70172	36
7	maps/StageA/ptsp_map01.map	8	2784	70177	33
8	maps/StageA/ptsp_map01.map	8	2713	70177	30
9	maps/StageA/ptsp_map01.map	9	2981	70175	33
10	maps/StageA/ptsp_map01.map	7	3118	70176	41
1	maps/StageA/ptsp_map02.map	10	2218	70175	40
2	maps/StageA/ptsp_map02.map	8	2481	70175	37
3	maps/StageA/ptsp_map02.map	5	1821	70172	36
4	maps/StageA/ptsp_map02.map	4	1627	70170	32
5	maps/StageA/ptsp_map02.map	5	1674	70169	30
6	maps/StageA/ptsp_map02.map	10	1857	70169	35
7	maps/StageA/ptsp_map02.map	10	2342	70172	33
8	maps/StageA/ptsp_map02.map	10	1469	70164	31
9	maps/StageA/ptsp_map02.map	10	2745	70177	34
10	maps/StageA/ptsp_map02.map	10	1650	70166	38
1	maps/StageA/ptsp_map08.map	10	2480	70174	34
2	maps/StageA/ptsp_map08.map	6	2136	70174	32
3	maps/StageA/ptsp_map08.map	10	2262	70171	32
4	maps/StageA/ptsp_map08.map	10	1952	70169	34
5	maps/StageA/ptsp_map08.map	10	2849	70177	34
6	maps/StageA/ptsp_map08.map	10	2525	70176	31
7	maps/StageA/ptsp_map08.map	9	3387	70178	35
8	maps/StageA/ptsp_map08.map	7	2259	70173	29
9	maps/StageA/ptsp_map08.map	8	1954	70171	33
10	maps/StageA/ptsp_map08.map	7	2606	70175	33
1	maps/StageA/ptsp_map19.map	6	2917	70176	38
2	maps/StageA/ptsp_map19.map	7	3447	70179	48
3	maps/StageA/ptsp_map19.map	6	2528	70174	39
4	maps/StageA/ptsp_map19.map	9	2846	70174	38
5	maps/StageA/ptsp_map19.map	2	1360	70163	38
6	maps/StageA/ptsp_map19.map	7	2793	70179	37
7	maps/StageA/ptsp_map19.map	9	3748	70178	37
8	maps/StageA/ptsp_map19.map	9	3246	70177	38
9	maps/StageA/ptsp_map19.map	5	2006	70174	59
10	maps/StageA/ptsp_map19.map	6	2920	70178	42
1	maps/StageA/ptsp_map24.map	4	2226	70172	44
2	maps/StageA/ptsp_map24.map	8	3430	70178	42
3	maps/StageA/ptsp_map24.map	3	1450	70163	45
4	maps/StageA/ptsp_map24.map	7	2945	70177	49
5	maps/StageA/ptsp_map24.map	10	3328	70179	48
6	maps/StageA/ptsp_map24.map	3	1567	70165	44
7	maps/StageA/ptsp_map24.map	9	3993	70181	42
8	maps/StageA/ptsp_map24.map	7	2980	70177	44
9	maps/StageA/ptsp_map24.map	8	3141	70179	43
10	maps/StageA/ptsp_map24.map	8	2614	70173	36
1	maps/StageA/ptsp_map35.map	10	2257	70173	32
2	maps/StageA/ptsp_map35.map	8	3001	70174	36
3	maps/StageA/ptsp_map35.map	8	3462	70177	33
4	maps/StageA/ptsp_map35.map	8	2662	70176	31
5	maps/StageA/ptsp_map35.map	5	2226	70171	34
6	maps/StageA/ptsp_map35.map	6	2287	70176	34
7	maps/StageA/ptsp_map35.map	5	2561	70176	33
8	maps/StageA/ptsp_map35.map	5	2581	70175	34
9	maps/StageA/ptsp_map35.map	6	2079	70168	31
10	maps/StageA/ptsp_map35.map	6	2309	70174	34
1	maps/StageA/ptsp_map40.map	10	2940	70177	36
2	maps/StageA/ptsp_map40.map	10	2342	70171	37
3	maps/StageA/ptsp_map40.map	8	2964	70177	33
4	maps/StageA/ptsp_map40.map	9	3229	70179	45
5	maps/StageA/ptsp_map40.map	10	2102	70171	58
6	maps/StageA/ptsp_map40.map	9	3178	70178	44
7	maps/StageA/ptsp_map40.map	9	3603	70179	41
8	maps/StageA/ptsp_map40.map	10	2228	70174	37
9	maps/StageA/ptsp_map40.map	8	2539	70173	37
10	maps/StageA/ptsp_map40.map	5	2172	70171	36
1	maps/StageA/ptsp_map45.map	2	1839	70168	41
2	maps/StageA/ptsp_map45.map	1	1191	70159	34
3	maps/StageA/ptsp_map45.map	2	1918	70170	41
4	maps/StageA/ptsp_map45.map	2	2018	70171	36
5	maps/StageA/ptsp_map45.map	1	1343	70162	44
6	maps/StageA/ptsp_map45.map	2	1541	70165	30
7	maps/StageA/ptsp_map45.map	7	3438	70179	27
8	maps/StageA/ptsp_map45.map	9	3739	70180	40
9	maps/StageA/ptsp_map45.map	1	1210	70160	44
10	maps/StageA/ptsp_map45.map	2	1637	70165	34
1	maps/StageA/ptsp_map56.map	4	2320	70172	31
2	maps/StageA/ptsp_map56.map	2	1623	70169	31
3	maps/StageA/ptsp_map56.map	3	1657	70164	30
4	maps/StageA/ptsp_map56.map	0	1000	70153	31
5	maps/StageA/ptsp_map56.map	3	1766	70170	37
6	maps/StageA/ptsp_map56.map	1	1243	70162	39
7	maps/StageA/ptsp_map56.map	2	1601	70167	54
8	maps/StageA/ptsp_map56.map	3	2260	70173	53
9	maps/StageA/ptsp_map56.map	2	1500	70161	38
10	maps/StageA/ptsp_map56.map	0	1000	70152	39
1	maps/StageA/ptsp_map61.map	10	1895	70173	33
2	maps/StageA/ptsp_map61.map	8	2475	70176	36
3	maps/StageA/ptsp_map61.map	10	2042	70172	37
4	maps/StageA/ptsp_map61.map	10	1795	70171	39
5	maps/StageA/ptsp_map61.map	10	1855	70174	35
6	maps/StageA/ptsp_map61.map	10	1634	70166	37
7	maps/StageA/ptsp_map61.map	10	1844	70168	39
8	maps/StageA/ptsp_map61.map	10	2477	70167	45
9	maps/StageA/ptsp_map61.map	9	2681	70175	46
10	maps/StageA/ptsp_map61.map	10	2341	70174	59
