Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	7	2495	70174	46
2	maps/StageA/ptsp_map01.map	3	1822	70172	38
3	maps/StageA/ptsp_map01.map	1	1345	70165	32
4	maps/StageA/ptsp_map01.map	1	1181	70158	30
5	maps/StageA/ptsp_map01.map	1	1376	70167	28
6	maps/StageA/ptsp_map01.map	0	1000	70156	29
7	maps/StageA/ptsp_map01.map	3	1673	70170	30
8	maps/StageA/ptsp_map01.map	2	1444	70165	28
9	maps/StageA/ptsp_map01.map	2	1510	70166	31
10	maps/StageA/ptsp_map01.map	1	1228	70161	26
1	maps/StageA/ptsp_map02.map	5	2057	70172	27
2	maps/StageA/ptsp_map02.map	3	1566	70171	24
3	maps/StageA/ptsp_map02.map	3	1534	70168	24
4	maps/StageA/ptsp_map02.map	4	1559	70169	26
5	maps/StageA/ptsp_map02.map	4	1447	70167	25
6	maps/StageA/ptsp_map02.map	3	1417	70167	26
7	maps/StageA/ptsp_map02.map	5	2456	70174	26
8	maps/StageA/ptsp_map02.map	4	1910	70173	27
9	maps/StageA/ptsp_map02.map	4	1586	70170	26
10	maps/StageA/ptsp_map02.map	4	1484	70170	28
1	maps/StageA/ptsp_map08.map	4	1420	70161	26
2	maps/StageA/ptsp_map08.map	4	1505	70173	26
3	maps/StageA/ptsp_map08.map	7	2556	70178	26
4	maps/StageA/ptsp_map08.map	4	1490	70167	26
5	maps/StageA/ptsp_map08.map	4	1665	70169	27
6	maps/StageA/ptsp_map08.map	6	2346	70175	26
7	maps/StageA/ptsp_map08.map	3	1277	70162	30
8	maps/StageA/ptsp_map08.map	6	2101	70173	27
9	maps/StageA/ptsp_map08.map	7	2511	70178	26
10	maps/StageA/ptsp_map08.map	5	1916	70175	27
1	maps/StageA/ptsp_map19.map	2	1421	70166	25
2	maps/StageA/ptsp_map19.map	0	1000	70155	27
3	maps/StageA/ptsp_map19.map	3	2039	70174	26
4	maps/StageA/ptsp_map19.map	1	1293	70163	25
5	maps/StageA/ptsp_map19.map	1	1291	70163	27
6	maps/StageA/ptsp_map19.map	3	1893	70169	27
7	maps/StageA/ptsp_map19.map	3	2108	70171	24
8	maps/StageA/ptsp_map19.map	6	2956	70179	28
9	maps/StageA/ptsp_map19.map	2	1656	70170	26
10	maps/StageA/ptsp_map19.map	2	1303	70162	26
1	maps/StageA/ptsp_map24.map	0	1000	70156	685
2	maps/StageA/ptsp_map24.map	3	1876	70173	46
3	maps/StageA/ptsp_map24.map	0	1000	70154	25
4	maps/StageA/ptsp_map24.map	4	2031	70174	32
5	maps/StageA/ptsp_map24.map	0	1000	70153	48
6	maps/StageA/ptsp_map24.map	3	1687	70168	30
7	maps/StageA/ptsp_map24.map	3	1624	70170	49
8	maps/StageA/ptsp_map24.map	1	1143	70161	41
9	maps/StageA/ptsp_map24.map	3	1663	70167	43
10	maps/StageA/ptsp_map24.map	0	1000	70159	44
1	maps/StageA/ptsp_map35.map	1	1156	70160	36
2	maps/StageA/ptsp_map35.map	1	1162	70155	43
3	maps/StageA/ptsp_map35.map	3	1553	70171	33
4	maps/StageA/ptsp_map35.map	2	1215	70158	51
5	maps/StageA/ptsp_map35.map	2	1587	70171	50
6	maps/StageA/ptsp_map35.map	6	2549	70174	52
7	maps/StageA/ptsp_map35.map	3	1420	70167	53
8	maps/StageA/ptsp_map35.map	2	1544	70171	53
9	maps/StageA/ptsp_map35.map	4	1949	70170	51
10	maps/StageA/ptsp_map35.map	3	1479	70168	45
1	maps/StageA/ptsp_map40.map	8	2533	70178	34
2	maps/StageA/ptsp_map40.map	2	1449	70167	31
3	maps/StageA/ptsp_map40.map	3	1441	70165	30
4	maps/StageA/ptsp_map40.map	2	1497	70167	28
