Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	7	2903	74868	27
2	maps/StageA/ptsp_map01.map	8	2782	74877	28
3	maps/StageA/ptsp_map01.map	2	1424	74705	27
4	maps/StageA/ptsp_map01.map	9	2588	74851	25
5	maps/StageA/ptsp_map01.map	7	2667	74855	25
6	maps/StageA/ptsp_map01.map	10	2115	74943	23
7	maps/StageA/ptsp_map01.map	9	2837	74874	25
8	maps/StageA/ptsp_map01.map	9	2574	74848	24
9	maps/StageA/ptsp_map01.map	8	2724	74857	24
10	maps/StageA/ptsp_map01.map	4	2124	74773	25
1	maps/StageA/ptsp_map02.map	6	1733	74775	25
2	maps/StageA/ptsp_map02.map	10	1559	74810	22
3	maps/StageA/ptsp_map02.map	8	2236	74840	23
4	maps/StageA/ptsp_map02.map	9	2240	74833	22
5	maps/StageA/ptsp_map02.map	6	1747	74779	24
6	maps/StageA/ptsp_map02.map	6	1761	74783	24
7	maps/StageA/ptsp_map02.map	9	2570	74855	25
8	maps/StageA/ptsp_map02.map	10	2160	74934	23
9	maps/StageA/ptsp_map02.map	10	1843	75146	29
10	maps/StageA/ptsp_map02.map	9	2417	74851	33
1	maps/StageA/ptsp_map08.map	9	2524	74854	25
2	maps/StageA/ptsp_map08.map	6	1703	74770	23
3	maps/StageA/ptsp_map08.map	10	1764	74952	22
4	maps/StageA/ptsp_map08.map	10	1979	74986	23
5	maps/StageA/ptsp_map08.map	9	2663	74855	26
6	maps/StageA/ptsp_map08.map	9	2210	74830	26
7	maps/StageA/ptsp_map08.map	10	2595	74884	24
8	maps/StageA/ptsp_map08.map	8	2930	74874	24
9	maps/StageA/ptsp_map08.map	4	1482	74723	27
10	maps/StageA/ptsp_map08.map	10	2202	74918	23
1	maps/StageA/ptsp_map19.map	2	1387	74720	25
2	maps/StageA/ptsp_map19.map	10	2318	74928	22
3	maps/StageA/ptsp_map19.map	8	2544	74846	26
4	maps/StageA/ptsp_map19.map	3	1576	74771	24
5	maps/StageA/ptsp_map19.map	6	2139	74816	26
6	maps/StageA/ptsp_map19.map	3	1598	74754	26
7	maps/StageA/ptsp_map19.map	6	2103	74826	25
8	maps/StageA/ptsp_map19.map	8	3093	74884	27
9	maps/StageA/ptsp_map19.map	8	2803	74855	24
10	maps/StageA/ptsp_map19.map	9	2831	74859	23
1	maps/StageA/ptsp_map24.map	6	2170	74817	24
2	maps/StageA/ptsp_map24.map	3	1535	74754	23
3	maps/StageA/ptsp_map24.map	3	1447	74653	23
4	maps/StageA/ptsp_map24.map	2	1329	74700	23
5	maps/StageA/ptsp_map24.map	8	3531	74895	28
6	maps/StageA/ptsp_map24.map	7	3158	74879	29
7	maps/StageA/ptsp_map24.map	5	2033	74851	27
8	maps/StageA/ptsp_map24.map	8	3670	74894	25
9	maps/StageA/ptsp_map24.map	5	2192	74835	27
10	maps/StageA/ptsp_map24.map	5	2071	74915	32
1	maps/StageA/ptsp_map35.map	7	2101	74830	27
2	maps/StageA/ptsp_map35.map	8	2825	74869	27
3	maps/StageA/ptsp_map35.map	6	2439	74840	25
4	maps/StageA/ptsp_map35.map	7	2580	74838	26
5	maps/StageA/ptsp_map35.map	7	2372	74848	28
6	maps/StageA/ptsp_map35.map	5	1913	74852	23
7	maps/StageA/ptsp_map35.map	5	2154	74817	24
8	maps/StageA/ptsp_map35.map	5	1854	74787	24
9	maps/StageA/ptsp_map35.map	7	2524	74854	23
10	maps/StageA/ptsp_map35.map	6	2331	74838	24
1	maps/StageA/ptsp_map40.map	3	1628	74759	23
2	maps/StageA/ptsp_map40.map	6	2010	74790	24
3	maps/StageA/ptsp_map40.map	10	2279	74933	23
4	maps/StageA/ptsp_map40.map	10	2429	74991	23
5	maps/StageA/ptsp_map40.map	3	1816	74802	23
6	maps/StageA/ptsp_map40.map	9	2655	74843	24
7	maps/StageA/ptsp_map40.map	3	1565	74758	23
8	maps/StageA/ptsp_map40.map	8	2484	74843	24
9	maps/StageA/ptsp_map40.map	3	1896	74799	24
10	maps/StageA/ptsp_map40.map	9	3598	74888	25
1	maps/StageA/ptsp_map45.map	0	1000	74595	23
2	maps/StageA/ptsp_map45.map	2	1554	74744	24
3	maps/StageA/ptsp_map45.map	1	1194	74990	22
4	maps/StageA/ptsp_map45.map	2	1689	74765	24
5	maps/StageA/ptsp_map45.map	2	1701	74775	24
6	maps/StageA/ptsp_map45.map	1	1614	74754	24
7	maps/StageA/ptsp_map45.map	0	1000	74595	24
8	maps/StageA/ptsp_map45.map	0	1000	74658	23
9	maps/StageA/ptsp_map45.map	0	1000	74595	23
10	maps/StageA/ptsp_map45.map	0	1000	74595	24
1	maps/StageA/ptsp_map56.map	2	1464	74728	24
2	maps/StageA/ptsp_map56.map	2	1371	74842	24
3	maps/StageA/ptsp_map56.map	2	1464	74728	25
4	maps/StageA/ptsp_map56.map	2	1937	74813	25
5	maps/StageA/ptsp_map56.map	2	1716	74777	25
6	maps/StageA/ptsp_map56.map	0	1000	74595	25
7	maps/StageA/ptsp_map56.map	4	1957	74803	26
8	maps/StageA/ptsp_map56.map	3	2210	74830	26
9	maps/StageA/ptsp_map56.map	0	1000	74595	25
10	maps/StageA/ptsp_map56.map	1	1553	74759	26
1	maps/StageA/ptsp_map61.map	10	2053	74868	25
2	maps/StageA/ptsp_map61.map	10	1510	74832	25
3	maps/StageA/ptsp_map61.map	5	1755	74792	26
4	maps/StageA/ptsp_map61.map	10	1737	74852	25
5	maps/StageA/ptsp_map61.map	10	2054	74709	26
6	maps/StageA/ptsp_map61.map	10	2083	74928	399
7	maps/StageA/ptsp_map61.map	10	1920	74899	29
8	maps/StageA/ptsp_map61.map	10	1722	74825	27
9	maps/StageA/ptsp_map61.map	10	2100	75123	25
10	maps/StageA/ptsp_map61.map	10	2425	74951	34
