Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	4	1854	70141	29
2	maps/StageA/ptsp_map01.map	6	3281	70138	28
3	maps/StageA/ptsp_map01.map	4	2357	70150	27
4	maps/StageA/ptsp_map01.map	2	1384	70133	28
5	maps/StageA/ptsp_map01.map	4	2030	70148	27
6	maps/StageA/ptsp_map01.map	8	3233	70150	28
7	maps/StageA/ptsp_map01.map	4	1827	70144	29
8	maps/StageA/ptsp_map01.map	8	4369	70140	30
9	maps/StageA/ptsp_map01.map	6	3038	70140	36
10	maps/StageA/ptsp_map01.map	4	1789	70134	33
1	maps/StageA/ptsp_map02.map	3	1379	70132	39
2	maps/StageA/ptsp_map02.map	4	2326	70136	39
3	maps/StageA/ptsp_map02.map	5	2611	70141	38
4	maps/StageA/ptsp_map02.map	3	1543	70132	38
5	maps/StageA/ptsp_map02.map	4	1701	70140	36
6	maps/StageA/ptsp_map02.map	4	1707	70132	36
7	maps/StageA/ptsp_map02.map	6	2369	70146	29
8	maps/StageA/ptsp_map02.map	8	2874	70143	30
9	maps/StageA/ptsp_map02.map	2	1751	70143	30
10	maps/StageA/ptsp_map02.map	4	2394	70145	31
1	maps/StageA/ptsp_map08.map	7	2534	70146	28
2	maps/StageA/ptsp_map08.map	7	2632	70144	28
3	maps/StageA/ptsp_map08.map	8	2403	70151	28
4	maps/StageA/ptsp_map08.map	6	1926	70151	28
5	maps/StageA/ptsp_map08.map	4	1505	70140	27
6	maps/StageA/ptsp_map08.map	7	3397	70137	29
7	maps/StageA/ptsp_map08.map	7	3772	70143	28
8	maps/StageA/ptsp_map08.map	7	2750	70139	27
9	maps/StageA/ptsp_map08.map	3	1731	70132	27
10	maps/StageA/ptsp_map08.map	7	2993	70149	28
1	maps/StageA/ptsp_map19.map	5	3037	70137	29
2	maps/StageA/ptsp_map19.map	10	2692	70165	28
3	maps/StageA/ptsp_map19.map	3	1609	70134	31
4	maps/StageA/ptsp_map19.map	2	1552	70141	27
5	maps/StageA/ptsp_map19.map	2	1458	70134	27
6	maps/StageA/ptsp_map19.map	2	1364	70132	28
7	maps/StageA/ptsp_map19.map	2	1437	70134	28
8	maps/StageA/ptsp_map19.map	4	2263	70138	28
9	maps/StageA/ptsp_map19.map	2	1491	70141	27
10	maps/StageA/ptsp_map19.map	2	1403	70133	28
1	maps/StageA/ptsp_map24.map	6	2231	70150	28
2	maps/StageA/ptsp_map24.map	6	3504	70159	30
3	maps/StageA/ptsp_map24.map	4	1794	70161	28
4	maps/StageA/ptsp_map24.map	3	2265	70134	303
5	maps/StageA/ptsp_map24.map	10	3796	70150	37
6	maps/StageA/ptsp_map24.map	6	2814	70145	37
7	maps/StageA/ptsp_map24.map	6	2459	70144	39
8	maps/StageA/ptsp_map24.map	3	2472	70138	39
9	maps/StageA/ptsp_map24.map	2	1434	70130	40
10	maps/StageA/ptsp_map24.map	5	2550	70138	39
1	maps/StageA/ptsp_map35.map	4	1879	70141	38
2	maps/StageA/ptsp_map35.map	6	3133	70136	36
3	maps/StageA/ptsp_map35.map	4	1934	70134	35
4	maps/StageA/ptsp_map35.map	4	2627	70137	39
5	maps/StageA/ptsp_map35.map	5	1964	70146	39
6	maps/StageA/ptsp_map35.map	7	2490	70152	32
7	maps/StageA/ptsp_map35.map	5	2273	70140	41
8	maps/StageA/ptsp_map35.map	9	3472	70165	40
9	maps/StageA/ptsp_map35.map	5	2082	70146	46
10	maps/StageA/ptsp_map35.map	2	1355	70133	46
1	maps/StageA/ptsp_map40.map	3	1693	70143	35
2	maps/StageA/ptsp_map40.map	5	1903	70139	39
3	maps/StageA/ptsp_map40.map	5	2558	70151	32
