Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	10	2362	70176	65
2	maps/StageA/ptsp_map01.map	10	3069	70172	59
3	maps/StageA/ptsp_map01.map	10	1920	70176	56
4	maps/StageA/ptsp_map01.map	10	2045	70173	60
5	maps/StageA/ptsp_map01.map	6	2180	70175	72
6	maps/StageA/ptsp_map01.map	9	2544	70181	70
7	maps/StageA/ptsp_map01.map	10	2141	70175	40
8	maps/StageA/ptsp_map01.map	10	1542	70169	43
9	maps/StageA/ptsp_map01.map	10	1989	70179	45
10	maps/StageA/ptsp_map01.map	10	3020	70183	47
1	maps/StageA/ptsp_map02.map	4	1773	70149	48
2	maps/StageA/ptsp_map02.map	10	2387	70183	48
3	maps/StageA/ptsp_map02.map	10	2054	70172	50
4	maps/StageA/ptsp_map02.map	9	2789	70184	52
5	maps/StageA/ptsp_map02.map	6	2368	70169	55
6	maps/StageA/ptsp_map02.map	10	2114	70172	57
7	maps/StageA/ptsp_map02.map	7	2253	70151	54
8	maps/StageA/ptsp_map02.map	10	2492	70181	66
9	maps/StageA/ptsp_map02.map	10	2373	70173	97
10	maps/StageA/ptsp_map02.map	10	1695	70170	88
1	maps/StageA/ptsp_map08.map	10	2265	70178	70
2	maps/StageA/ptsp_map08.map	10	2394	70180	77
3	maps/StageA/ptsp_map08.map	10	2023	70177	82
4	maps/StageA/ptsp_map08.map	10	2159	70177	48
5	maps/StageA/ptsp_map08.map	10	2324	70178	54
6	maps/StageA/ptsp_map08.map	10	2655	70185	63
7	maps/StageA/ptsp_map08.map	10	2328	70182	63
8	maps/StageA/ptsp_map08.map	10	1977	70161	64
9	maps/StageA/ptsp_map08.map	8	2386	70168	57
10	maps/StageA/ptsp_map08.map	10	2339	70181	55
1	maps/StageA/ptsp_map19.map	7	2801	70180	62
2	maps/StageA/ptsp_map19.map	8	3215	70180	60
3	maps/StageA/ptsp_map19.map	8	2908	70173	53
4	maps/StageA/ptsp_map19.map	10	2515	70181	56
5	maps/StageA/ptsp_map19.map	8	2574	70175	61
6	maps/StageA/ptsp_map19.map	9	2863	70180	58
7	maps/StageA/ptsp_map19.map	8	3501	70186	70
8	maps/StageA/ptsp_map19.map	10	2083	70168	64
9	maps/StageA/ptsp_map19.map	10	2165	70174	57
10	maps/StageA/ptsp_map19.map	9	2497	70176	59
1	maps/StageA/ptsp_map24.map	3	1912	70150	74
2	maps/StageA/ptsp_map24.map	7	3084	70188	63
3	maps/StageA/ptsp_map24.map	10	3247	70186	71
4	maps/StageA/ptsp_map24.map	10	3731	70182	64
5	maps/StageA/ptsp_map24.map	10	3231	70179	64
6	maps/StageA/ptsp_map24.map	8	3264	70185	78
7	maps/StageA/ptsp_map24.map	8	2692	70158	90
8	maps/StageA/ptsp_map24.map	8	2775	70184	85
9	maps/StageA/ptsp_map24.map	5	2008	70167	76
10	maps/StageA/ptsp_map24.map	9	4070	70185	77
1	maps/StageA/ptsp_map35.map	7	2670	70176	74
2	maps/StageA/ptsp_map35.map	10	3375	70184	73
3	maps/StageA/ptsp_map35.map	5	2199	70172	76
4	maps/StageA/ptsp_map35.map	8	2872	70182	67
5	maps/StageA/ptsp_map35.map	6	2444	70166	67
6	maps/StageA/ptsp_map35.map	7	2574	70174	64
7	maps/StageA/ptsp_map35.map	10	3365	70180	60
8	maps/StageA/ptsp_map35.map	10	2459	70172	65
9	maps/StageA/ptsp_map35.map	9	3276	70186	70
10	maps/StageA/ptsp_map35.map	8	3025	70180	85
1	maps/StageA/ptsp_map40.map	2	1373	70150	81
2	maps/StageA/ptsp_map40.map	10	1905	70176	84
3	maps/StageA/ptsp_map40.map	10	2676	70167	81
4	maps/StageA/ptsp_map40.map	10	2532	70172	68
5	maps/StageA/ptsp_map40.map	10	2131	70180	77
6	maps/StageA/ptsp_map40.map	6	1784	70149	66
7	maps/StageA/ptsp_map40.map	10	1832	70176	66
8	maps/StageA/ptsp_map40.map	10	1724	70169	69
9	maps/StageA/ptsp_map40.map	10	2635	70169	68
10	maps/StageA/ptsp_map40.map	7	3413	70178	66
1	maps/StageA/ptsp_map45.map	8	3014	70178	58
2	maps/StageA/ptsp_map45.map	2	1543	70168	54
3	maps/StageA/ptsp_map45.map	10	2709	70173	70
4	maps/StageA/ptsp_map45.map	6	2439	70161	78
5	maps/StageA/ptsp_map45.map	2	1543	70149	76
6	maps/StageA/ptsp_map45.map	9	3191	70173	80
7	maps/StageA/ptsp_map45.map	10	3071	70180	84
8	maps/StageA/ptsp_map45.map	2	1553	70148	82
9	maps/StageA/ptsp_map45.map	2	1589	70167	79
10	maps/StageA/ptsp_map45.map	8	3214	70184	80
1	maps/StageA/ptsp_map56.map	8	3431	70177	82
2	maps/StageA/ptsp_map56.map	5	2727	70186	83
3	maps/StageA/ptsp_map56.map	6	3155	70166	66
4	maps/StageA/ptsp_map56.map	3	1764	70162	54
5	maps/StageA/ptsp_map56.map	4	1849	70175	54
6	maps/StageA/ptsp_map56.map	3	1705	70174	85
7	maps/StageA/ptsp_map56.map	3	1804	70178	53
8	maps/StageA/ptsp_map56.map	4	1853	70172	77
9	maps/StageA/ptsp_map56.map	4	2034	70175	60
10	maps/StageA/ptsp_map56.map	4	2329	70180	49
1	maps/StageA/ptsp_map61.map	10	1954	70176	49
2	maps/StageA/ptsp_map61.map	10	2310	70177	54
3	maps/StageA/ptsp_map61.map	10	2600	70183	66
4	maps/StageA/ptsp_map61.map	10	2099	70181	47
5	maps/StageA/ptsp_map61.map	10	1962	70176	59
6	maps/StageA/ptsp_map61.map	10	1777	70173	51
7	maps/StageA/ptsp_map61.map	9	3021	70189	51
8	maps/StageA/ptsp_map61.map	10	1813	70166	48
9	maps/StageA/ptsp_map61.map	10	2334	70179	39
10	maps/StageA/ptsp_map61.map	8	2709	70186	39
