Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	6	2274	70149	67
2	maps/StageA/ptsp_map01.map	6	2366	70147	57
3	maps/StageA/ptsp_map01.map	10	2526	70172	59
4	maps/StageA/ptsp_map01.map	7	2266	70146	58
5	maps/StageA/ptsp_map01.map	4	1852	70138	73
6	maps/StageA/ptsp_map01.map	10	2865	70161	74
7	maps/StageA/ptsp_map01.map	10	3176	70173	43
8	maps/StageA/ptsp_map01.map	6	2479	70146	47
9	maps/StageA/ptsp_map01.map	10	2046	70165	50
10	maps/StageA/ptsp_map01.map	7	2270	70158	47
1	maps/StageA/ptsp_map02.map	8	2813	70150	48
2	maps/StageA/ptsp_map02.map	6	2262	70144	48
3	maps/StageA/ptsp_map02.map	3	1642	70140	49
4	maps/StageA/ptsp_map02.map	5	2019	70151	49
5	maps/StageA/ptsp_map02.map	4	1791	70147	53
6	maps/StageA/ptsp_map02.map	9	2453	70162	53
7	maps/StageA/ptsp_map02.map	4	1632	70146	55
8	maps/StageA/ptsp_map02.map	6	2094	70153	61
9	maps/StageA/ptsp_map02.map	10	3050	70153	89
10	maps/StageA/ptsp_map02.map	10	2283	70170	79
1	maps/StageA/ptsp_map08.map	8	2994	70146	76
2	maps/StageA/ptsp_map08.map	9	4487	70148	69
3	maps/StageA/ptsp_map08.map	7	2017	70156	52
4	maps/StageA/ptsp_map08.map	10	2927	70170	59
5	maps/StageA/ptsp_map08.map	5	1806	70150	61
6	maps/StageA/ptsp_map08.map	8	2810	70150	67
7	maps/StageA/ptsp_map08.map	10	2460	70171	58
8	maps/StageA/ptsp_map08.map	10	2035	70165	55
9	maps/StageA/ptsp_map08.map	4	1732	70155	57
10	maps/StageA/ptsp_map08.map	9	2868	70167	59
1	maps/StageA/ptsp_map19.map	4	1723	70138	60
2	maps/StageA/ptsp_map19.map	5	3334	70141	56
3	maps/StageA/ptsp_map19.map	4	2022	70145	57
4	maps/StageA/ptsp_map19.map	4	1911	70156	62
5	maps/StageA/ptsp_map19.map	7	2738	70166	60
6	maps/StageA/ptsp_map19.map	8	3006	70165	62
7	maps/StageA/ptsp_map19.map	7	2566	70159	71
8	maps/StageA/ptsp_map19.map	10	2775	70171	60
9	maps/StageA/ptsp_map19.map	3	1475	70142	58
10	maps/StageA/ptsp_map19.map	3	1474	70144	64
1	maps/StageA/ptsp_map24.map	3	1666	70141	70
2	maps/StageA/ptsp_map24.map	8	3054	70165	63
3	maps/StageA/ptsp_map24.map	5	2487	70148	74
4	maps/StageA/ptsp_map24.map	7	2862	70151	71
5	maps/StageA/ptsp_map24.map	3	1446	70146	68
6	maps/StageA/ptsp_map24.map	6	2169	70171	68
7	maps/StageA/ptsp_map24.map	9	2859	70169	69
8	maps/StageA/ptsp_map24.map	8	3065	70164	81
9	maps/StageA/ptsp_map24.map	9	3467	70181	88
10	maps/StageA/ptsp_map24.map	6	3087	70165	81
1	maps/StageA/ptsp_map35.map	5	1741	70153	76
2	maps/StageA/ptsp_map35.map	3	1585	70151	72
3	maps/StageA/ptsp_map35.map	5	2201	70146	77
4	maps/StageA/ptsp_map35.map	8	3534	70158	74
5	maps/StageA/ptsp_map35.map	8	2854	70163	74
6	maps/StageA/ptsp_map35.map	6	2928	70150	68
7	maps/StageA/ptsp_map35.map	7	2821	70169	67
8	maps/StageA/ptsp_map35.map	6	3776	70141	65
9	maps/StageA/ptsp_map35.map	4	2391	70136	62
10	maps/StageA/ptsp_map35.map	3	1434	70146	69
1	maps/StageA/ptsp_map40.map	4	1730	70146	60
2	maps/StageA/ptsp_map40.map	10	2216	70172	78
3	maps/StageA/ptsp_map40.map	8	2334	70151	86
4	maps/StageA/ptsp_map40.map	3	1575	70148	79
5	maps/StageA/ptsp_map40.map	6	2707	70145	84
6	maps/StageA/ptsp_map40.map	3	1639	70156	83
7	maps/StageA/ptsp_map40.map	5	3653	70143	71
8	maps/StageA/ptsp_map40.map	7	2417	70144	75
9	maps/StageA/ptsp_map40.map	6	2852	70145	68
10	maps/StageA/ptsp_map40.map	8	2900	70160	72
1	maps/StageA/ptsp_map45.map	7	4131	70146	67
2	maps/StageA/ptsp_map45.map	2	1543	70144	59
3	maps/StageA/ptsp_map45.map	8	3579	70172	58
4	maps/StageA/ptsp_map45.map	2	1657	70174	80
5	maps/StageA/ptsp_map45.map	2	1638	70171	78
6	maps/StageA/ptsp_map45.map	5	2210	70155	82
7	maps/StageA/ptsp_map45.map	8	3339	70168	80
8	maps/StageA/ptsp_map45.map	7	2841	70164	82
9	maps/StageA/ptsp_map45.map	7	3364	70160	81
10	maps/StageA/ptsp_map45.map	2	1493	70149	85
1	maps/StageA/ptsp_map56.map	2	1532	70146	79
2	maps/StageA/ptsp_map56.map	5	2675	70178	81
3	maps/StageA/ptsp_map56.map	3	1754	70148	84
4	maps/StageA/ptsp_map56.map	2	1532	70148	81
5	maps/StageA/ptsp_map56.map	3	1585	70144	70
6	maps/StageA/ptsp_map56.map	4	2127	70158	63
7	maps/StageA/ptsp_map56.map	2	1434	70140	55
8	maps/StageA/ptsp_map56.map	4	2214	70171	60
9	maps/StageA/ptsp_map56.map	3	1755	70152	77
10	maps/StageA/ptsp_map56.map	3	1585	70144	55
1	maps/StageA/ptsp_map61.map	9	3410	70166	71
2	maps/StageA/ptsp_map61.map	5	1914	70147	54
3	maps/StageA/ptsp_map61.map	4	2214	70141	53
4	maps/StageA/ptsp_map61.map	3	1374	70142	58
5	maps/StageA/ptsp_map61.map	6	2002	70151	61
6	maps/StageA/ptsp_map61.map	10	2088	70169	63
7	maps/StageA/ptsp_map61.map	3	1491	70138	53
8	maps/StageA/ptsp_map61.map	7	2093	70151	66
9	maps/StageA/ptsp_map61.map	7	2814	70160	54
10	maps/StageA/ptsp_map61.map	7	2117	70156	55
