Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	5	2076	70155	28
2	maps/StageA/ptsp_map01.map	3	1721	70139	28
3	maps/StageA/ptsp_map01.map	7	3229	70145	28
4	maps/StageA/ptsp_map01.map	4	1794	70136	27
5	maps/StageA/ptsp_map01.map	3	1742	70142	29
6	maps/StageA/ptsp_map01.map	4	2452	70140	27
7	maps/StageA/ptsp_map01.map	7	3173	70145	29
8	maps/StageA/ptsp_map01.map	2	1329	70131	28
9	maps/StageA/ptsp_map01.map	3	2297	70135	27
10	maps/StageA/ptsp_map01.map	4	2033	70140	32
1	maps/StageA/ptsp_map02.map	5	2544	70145	38
2	maps/StageA/ptsp_map02.map	4	2569	70145	37
3	maps/StageA/ptsp_map02.map	5	2483	70136	40
4	maps/StageA/ptsp_map02.map	3	1491	70134	40
5	maps/StageA/ptsp_map02.map	6	2138	70146	38
6	maps/StageA/ptsp_map02.map	5	2861	70139	39
7	maps/StageA/ptsp_map02.map	6	1901	70141	35
8	maps/StageA/ptsp_map02.map	3	1719	70141	29
9	maps/StageA/ptsp_map02.map	5	2811	70137	30
10	maps/StageA/ptsp_map02.map	5	2132	70139	29
1	maps/StageA/ptsp_map08.map	10	1948	70158	31
2	maps/StageA/ptsp_map08.map	7	2753	70146	29
3	maps/StageA/ptsp_map08.map	4	2734	70137	30
4	maps/StageA/ptsp_map08.map	7	2332	70144	30
5	maps/StageA/ptsp_map08.map	7	2634	70145	30
6	maps/StageA/ptsp_map08.map	7	3814	70141	31
7	maps/StageA/ptsp_map08.map	5	2235	70144	31
8	maps/StageA/ptsp_map08.map	2	1420	70132	30
9	maps/StageA/ptsp_map08.map	4	1899	70148	30
10	maps/StageA/ptsp_map08.map	3	1488	70143	29
1	maps/StageA/ptsp_map19.map	2	1493	70148	30
2	maps/StageA/ptsp_map19.map	6	2126	70147	30
3	maps/StageA/ptsp_map19.map	3	1474	70144	29
4	maps/StageA/ptsp_map19.map	4	2301	70152	31
5	maps/StageA/ptsp_map19.map	2	1404	70138	36
6	maps/StageA/ptsp_map19.map	2	1554	70141	30
7	maps/StageA/ptsp_map19.map	3	1939	70135	30
8	maps/StageA/ptsp_map19.map	6	2175	70145	30
9	maps/StageA/ptsp_map19.map	2	1547	70137	30
10	maps/StageA/ptsp_map19.map	5	2151	70154	30
1	maps/StageA/ptsp_map24.map	4	2361	70137	30
2	maps/StageA/ptsp_map24.map	4	2560	70141	31
3	maps/StageA/ptsp_map24.map	3	1549	70140	30
4	maps/StageA/ptsp_map24.map	6	3700	70140	198
5	maps/StageA/ptsp_map24.map	6	2661	70149	37
6	maps/StageA/ptsp_map24.map	4	1972	70142	38
7	maps/StageA/ptsp_map24.map	3	1631	70145	39
8	maps/StageA/ptsp_map24.map	2	1857	70134	43
9	maps/StageA/ptsp_map24.map	4	2315	70147	40
10	maps/StageA/ptsp_map24.map	3	1687	70139	41
1	maps/StageA/ptsp_map35.map	4	1970	70153	41
2	maps/StageA/ptsp_map35.map	4	2021	70134	41
3	maps/StageA/ptsp_map35.map	10	2965	70168	41
4	maps/StageA/ptsp_map35.map	8	3653	70146	39
5	maps/StageA/ptsp_map35.map	4	2138	70144	41
6	maps/StageA/ptsp_map35.map	4	2045	70144	37
7	maps/StageA/ptsp_map35.map	8	2918	70162	38
8	maps/StageA/ptsp_map35.map	2	1351	70132	41
9	maps/StageA/ptsp_map35.map	5	3110	70137	47
10	maps/StageA/ptsp_map35.map	3	1514	70140	47
1	maps/StageA/ptsp_map40.map	5	3167	70150	42
2	maps/StageA/ptsp_map40.map	3	1793	70133	40
3	maps/StageA/ptsp_map40.map	5	2565	70147	33
4	maps/StageA/ptsp_map40.map	7	3403	70145	40
5	maps/StageA/ptsp_map40.map	2	1363	70132	43
6	maps/StageA/ptsp_map40.map	3	1364	70132	41
7	maps/StageA/ptsp_map40.map	3	2088	70135	41
8	maps/StageA/ptsp_map40.map	5	1716	70145	38
9	maps/StageA/ptsp_map40.map	3	2092	70135	41
10	maps/StageA/ptsp_map40.map	2	1313	70138	40
1	maps/StageA/ptsp_map45.map	4	2990	70145	41
2	maps/StageA/ptsp_map45.map	2	2273	70141	40
3	maps/StageA/ptsp_map45.map	2	1660	70143	39
4	maps/StageA/ptsp_map45.map	5	3520	70139	40
5	maps/StageA/ptsp_map45.map	2	1525	70150	40
6	maps/StageA/ptsp_map45.map	2	1674	70158	41
7	maps/StageA/ptsp_map45.map	6	2694	70149	38
8	maps/StageA/ptsp_map45.map	4	2258	70154	38
9	maps/StageA/ptsp_map45.map	2	1870	70141	38
10	maps/StageA/ptsp_map45.map	2	1488	70173	31
1	maps/StageA/ptsp_map56.map	4	2510	70144	34
2	maps/StageA/ptsp_map56.map	1	1346	70132	38
3	maps/StageA/ptsp_map56.map	3	2151	70149	40
4	maps/StageA/ptsp_map56.map	3	1843	70141	40
5	maps/StageA/ptsp_map56.map	2	1935	70144	41
6	maps/StageA/ptsp_map56.map	1	1368	70132	39
7	maps/StageA/ptsp_map56.map	4	2664	70165	40
8	maps/StageA/ptsp_map56.map	5	2368	70150	38
9	maps/StageA/ptsp_map56.map	2	2086	70135	38
10	maps/StageA/ptsp_map56.map	2	1947	70134	41
1	maps/StageA/ptsp_map61.map	10	2507	70164	39
2	maps/StageA/ptsp_map61.map	7	2588	70152	37
3	maps/StageA/ptsp_map61.map	4	1794	70144	30
4	maps/StageA/ptsp_map61.map	9	2538	70161	32
5	maps/StageA/ptsp_map61.map	2	1482	70147	38
6	maps/StageA/ptsp_map61.map	4	2070	70146	45
7	maps/StageA/ptsp_map61.map	5	2685	70140	33
8	maps/StageA/ptsp_map61.map	4	1837	70142	29
9	maps/StageA/ptsp_map61.map	2	1378	70130	40
10	maps/StageA/ptsp_map61.map	4	2379	70141	34
