Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	10	1995	70189	28
2	maps/StageA/ptsp_map01.map	10	2234	70191	28
3	maps/StageA/ptsp_map01.map	10	2114	70189	28
4	maps/StageA/ptsp_map01.map	10	2064	70190	28
5	maps/StageA/ptsp_map01.map	10	1948	70191	28
6	maps/StageA/ptsp_map01.map	10	1850	70190	26
7	maps/StageA/ptsp_map01.map	10	1971	70189	30
8	maps/StageA/ptsp_map01.map	10	2219	70190	31
9	maps/StageA/ptsp_map01.map	10	1919	70189	30
10	maps/StageA/ptsp_map01.map	10	1686	70186	30
1	maps/StageA/ptsp_map02.map	10	1984	70183	34
2	maps/StageA/ptsp_map02.map	10	1907	70188	37
3	maps/StageA/ptsp_map02.map	10	1646	70185	39
4	maps/StageA/ptsp_map02.map	10	1964	70187	42
5	maps/StageA/ptsp_map02.map	10	1646	70185	41
6	maps/StageA/ptsp_map02.map	10	1627	70185	39
7	maps/StageA/ptsp_map02.map	10	1729	70187	41
8	maps/StageA/ptsp_map02.map	10	1826	70186	33
9	maps/StageA/ptsp_map02.map	10	1669	70187	32
10	maps/StageA/ptsp_map02.map	10	1777	70187	31
1	maps/StageA/ptsp_map08.map	10	1729	70189	28
2	maps/StageA/ptsp_map08.map	10	1860	70187	28
3	maps/StageA/ptsp_map08.map	10	2233	70189	29
4	maps/StageA/ptsp_map08.map	10	2100	70189	29
5	maps/StageA/ptsp_map08.map	10	1754	70187	45
6	maps/StageA/ptsp_map08.map	10	2054	70190	45
7	maps/StageA/ptsp_map08.map	10	1971	70190	43
8	maps/StageA/ptsp_map08.map	10	1604	70186	38
9	maps/StageA/ptsp_map08.map	10	1675	70184	31
10	maps/StageA/ptsp_map08.map	10	1875	70187	30
1	maps/StageA/ptsp_map19.map	10	1983	70190	32
2	maps/StageA/ptsp_map19.map	10	2194	70191	58
3	maps/StageA/ptsp_map19.map	10	1992	70189	61
4	maps/StageA/ptsp_map19.map	9	2729	70192	48
5	maps/StageA/ptsp_map19.map	10	2230	70192	40
6	maps/StageA/ptsp_map19.map	10	1872	70186	45
7	maps/StageA/ptsp_map19.map	10	2856	70193	51
8	maps/StageA/ptsp_map19.map	9	2840	70193	52
9	maps/StageA/ptsp_map19.map	10	2092	70187	53
10	maps/StageA/ptsp_map19.map	10	2229	70192	57
1	maps/StageA/ptsp_map24.map	10	2983	70195	68
2	maps/StageA/ptsp_map24.map	9	3095	70193	53
3	maps/StageA/ptsp_map24.map	8	2669	70191	50
4	maps/StageA/ptsp_map24.map	10	2832	70195	47
5	maps/StageA/ptsp_map24.map	8	2844	70192	53
6	maps/StageA/ptsp_map24.map	10	2834	70193	50
7	maps/StageA/ptsp_map24.map	10	2595	70193	51
8	maps/StageA/ptsp_map24.map	9	3167	70194	41
9	maps/StageA/ptsp_map24.map	10	2391	70192	40
10	maps/StageA/ptsp_map24.map	9	3293	70194	43
1	maps/StageA/ptsp_map35.map	10	2954	70195	45
2	maps/StageA/ptsp_map35.map	10	2562	70194	41
3	maps/StageA/ptsp_map35.map	10	2491	70194	42
4	maps/StageA/ptsp_map35.map	10	2369	70191	41
5	maps/StageA/ptsp_map35.map	10	2620	70195	38
6	maps/StageA/ptsp_map35.map	10	2433	70193	38
7	maps/StageA/ptsp_map35.map	10	2888	70191	43
8	maps/StageA/ptsp_map35.map	8	2867	70192	35
9	maps/StageA/ptsp_map35.map	10	2170	70190	42
10	maps/StageA/ptsp_map35.map	8	2427	70190	47
1	maps/StageA/ptsp_map40.map	10	1857	70187	43
2	maps/StageA/ptsp_map40.map	10	1994	70187	33
3	maps/StageA/ptsp_map40.map	10	2594	70192	32
4	maps/StageA/ptsp_map40.map	10	1902	70189	39
5	maps/StageA/ptsp_map40.map	10	1671	70187	34
6	maps/StageA/ptsp_map40.map	10	1744	70187	36
7	maps/StageA/ptsp_map40.map	10	2290	70190	67
8	maps/StageA/ptsp_map40.map	10	1911	70187	65
9	maps/StageA/ptsp_map40.map	10	1628	70185	58
10	maps/StageA/ptsp_map40.map	10	2165	70190	56
1	maps/StageA/ptsp_map45.map	9	3219	70194	60
2	maps/StageA/ptsp_map45.map	9	3243	70195	60
3	maps/StageA/ptsp_map45.map	2	1495	70177	67
4	maps/StageA/ptsp_map45.map	9	3078	70194	54
5	maps/StageA/ptsp_map45.map	10	2655	70193	41
6	maps/StageA/ptsp_map45.map	9	3476	70194	48
7	maps/StageA/ptsp_map45.map	8	2975	70193	44
8	maps/StageA/ptsp_map45.map	9	2929	70192	51
9	maps/StageA/ptsp_map45.map	10	2513	70193	46
10	maps/StageA/ptsp_map45.map	9	2990	70193	47
1	maps/StageA/ptsp_map56.map	2	1605	70181	57
2	maps/StageA/ptsp_map56.map	3	1630	70182	51
3	maps/StageA/ptsp_map56.map	3	2004	70186	44
4	maps/StageA/ptsp_map56.map	2	1612	70181	48
5	maps/StageA/ptsp_map56.map	9	3759	70196	49
6	maps/StageA/ptsp_map56.map	5	2595	70191	48
7	maps/StageA/ptsp_map56.map	8	3277	70194	46
8	maps/StageA/ptsp_map56.map	5	2393	70191	44
9	maps/StageA/ptsp_map56.map	3	2091	70188	46
10	maps/StageA/ptsp_map56.map	7	3138	70194	46
1	maps/StageA/ptsp_map61.map	10	2089	70191	37
2	maps/StageA/ptsp_map61.map	10	1922	70188	59
3	maps/StageA/ptsp_map61.map	10	1995	70190	45
4	maps/StageA/ptsp_map61.map	10	1662	70186	44
5	maps/StageA/ptsp_map61.map	10	1995	70188	44
6	maps/StageA/ptsp_map61.map	10	2209	70191	42
7	maps/StageA/ptsp_map61.map	10	1995	70189	35
8	maps/StageA/ptsp_map61.map	10	1573	70185	33
9	maps/StageA/ptsp_map61.map	10	1916	70190	41
10	maps/StageA/ptsp_map61.map	10	2161	70190	38
