Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	10	2711	70176	64
2	maps/StageA/ptsp_map01.map	3	1842	70149	56
3	maps/StageA/ptsp_map01.map	9	2811	70173	59
4	maps/StageA/ptsp_map01.map	10	3495	70183	65
5	maps/StageA/ptsp_map01.map	8	2426	70178	81
6	maps/StageA/ptsp_map01.map	10	2532	70176	45
7	maps/StageA/ptsp_map01.map	10	2654	70179	44
8	maps/StageA/ptsp_map01.map	10	2192	70178	46
9	maps/StageA/ptsp_map01.map	7	2259	70163	47
10	maps/StageA/ptsp_map01.map	10	2233	70178	48
1	maps/StageA/ptsp_map02.map	10	1958	70175	50
2	maps/StageA/ptsp_map02.map	10	1699	70175	50
3	maps/StageA/ptsp_map02.map	10	2439	70179	53
4	maps/StageA/ptsp_map02.map	10	2712	70180	53
5	maps/StageA/ptsp_map02.map	10	2218	70165	55
6	maps/StageA/ptsp_map02.map	10	1568	70166	55
7	maps/StageA/ptsp_map02.map	6	2208	70167	56
8	maps/StageA/ptsp_map02.map	5	1661	70159	78
9	maps/StageA/ptsp_map02.map	10	2640	70173	97
10	maps/StageA/ptsp_map02.map	5	1850	70172	81
1	maps/StageA/ptsp_map08.map	10	2572	70179	75
2	maps/StageA/ptsp_map08.map	10	2605	70173	81
3	maps/StageA/ptsp_map08.map	10	1907	70170	51
4	maps/StageA/ptsp_map08.map	10	2180	70176	54
5	maps/StageA/ptsp_map08.map	10	1949	70173	58
6	maps/StageA/ptsp_map08.map	10	2727	70182	64
7	maps/StageA/ptsp_map08.map	10	2361	70179	68
8	maps/StageA/ptsp_map08.map	7	2348	70164	59
9	maps/StageA/ptsp_map08.map	10	1886	70172	57
10	maps/StageA/ptsp_map08.map	10	2377	70175	56
1	maps/StageA/ptsp_map19.map	5	2147	70153	61
2	maps/StageA/ptsp_map19.map	8	2811	70183	60
3	maps/StageA/ptsp_map19.map	5	2010	70173	57
4	maps/StageA/ptsp_map19.map	3	1597	70171	58
5	maps/StageA/ptsp_map19.map	6	2230	70168	60
6	maps/StageA/ptsp_map19.map	9	3723	70183	61
7	maps/StageA/ptsp_map19.map	8	2891	70182	66
8	maps/StageA/ptsp_map19.map	10	2363	70176	69
9	maps/StageA/ptsp_map19.map	9	3418	70174	61
10	maps/StageA/ptsp_map19.map	8	2844	70179	66
1	maps/StageA/ptsp_map24.map	6	2538	70180	67
2	maps/StageA/ptsp_map24.map	5	2032	70179	64
3	maps/StageA/ptsp_map24.map	9	3870	70179	70
4	maps/StageA/ptsp_map24.map	7	3402	70160	72
5	maps/StageA/ptsp_map24.map	8	3424	70190	65
6	maps/StageA/ptsp_map24.map	9	3578	70188	82
7	maps/StageA/ptsp_map24.map	7	2858	70178	90
8	maps/StageA/ptsp_map24.map	2	1433	70150	85
9	maps/StageA/ptsp_map24.map	6	2813	70153	81
10	maps/StageA/ptsp_map24.map	3	1674	70177	76
1	maps/StageA/ptsp_map35.map	7	2583	70168	77
2	maps/StageA/ptsp_map35.map	8	2472	70182	72
3	maps/StageA/ptsp_map35.map	5	1769	70168	77
4	maps/StageA/ptsp_map35.map	9	4088	70185	73
5	maps/StageA/ptsp_map35.map	10	2494	70186	69
6	maps/StageA/ptsp_map35.map	8	3113	70182	67
7	maps/StageA/ptsp_map35.map	9	2848	70177	64
8	maps/StageA/ptsp_map35.map	9	3503	70184	68
9	maps/StageA/ptsp_map35.map	10	2768	70180	73
10	maps/StageA/ptsp_map35.map	9	3701	70182	84
1	maps/StageA/ptsp_map40.map	7	2341	70173	87
2	maps/StageA/ptsp_map40.map	8	2332	70162	85
3	maps/StageA/ptsp_map40.map	7	2382	70170	70
4	maps/StageA/ptsp_map40.map	10	2204	70177	69
5	maps/StageA/ptsp_map40.map	10	2573	70175	76
6	maps/StageA/ptsp_map40.map	8	2850	70165	73
7	maps/StageA/ptsp_map40.map	10	1863	70181	64
8	maps/StageA/ptsp_map40.map	8	2390	70166	72
9	maps/StageA/ptsp_map40.map	8	2845	70178	62
10	maps/StageA/ptsp_map40.map	10	2218	70172	59
1	maps/StageA/ptsp_map45.map	9	3135	70174	62
2	maps/StageA/ptsp_map45.map	9	3832	70187	85
3	maps/StageA/ptsp_map45.map	9	3119	70174	82
4	maps/StageA/ptsp_map45.map	10	3060	70185	84
5	maps/StageA/ptsp_map45.map	4	3104	70149	85
6	maps/StageA/ptsp_map45.map	5	2236	70168	84
7	maps/StageA/ptsp_map45.map	9	3144	70177	81
8	maps/StageA/ptsp_map45.map	2	1543	70169	84
9	maps/StageA/ptsp_map45.map	2	1532	70160	83
10	maps/StageA/ptsp_map45.map	7	2932	70177	72
1	maps/StageA/ptsp_map56.map	3	1781	70166	60
2	maps/StageA/ptsp_map56.map	5	2142	70180	56
3	maps/StageA/ptsp_map56.map	2	1533	70172	66
4	maps/StageA/ptsp_map56.map	3	1608	70175	81
5	maps/StageA/ptsp_map56.map	3	1596	70178	58
6	maps/StageA/ptsp_map56.map	2	1586	70160	83
7	maps/StageA/ptsp_map56.map	5	2721	70178	62
8	maps/StageA/ptsp_map56.map	7	3266	70184	57
9	maps/StageA/ptsp_map56.map	3	1776	70179	59
10	maps/StageA/ptsp_map56.map	4	2019	70169	75
1	maps/StageA/ptsp_map61.map	10	2568	70180	52
2	maps/StageA/ptsp_map61.map	9	2598	70169	64
3	maps/StageA/ptsp_map61.map	10	1779	70173	55
4	maps/StageA/ptsp_map61.map	10	1994	70175	58
5	maps/StageA/ptsp_map61.map	10	2132	70176	45
6	maps/StageA/ptsp_map61.map	7	2029	70165	38
7	maps/StageA/ptsp_map61.map	8	2658	70181	41
8	maps/StageA/ptsp_map61.map	10	1765	70165	28
9	maps/StageA/ptsp_map61.map	8	2392	70167	27
10	maps/StageA/ptsp_map61.map	10	1798	70172	26
