Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	3	1854	50125	24
2	./maps/StageA/ptsp_map24.map	9	4199	50062	25
3	./maps/StageA/ptsp_map24.map	3	1958	50125	22
4	./maps/StageA/ptsp_map24.map	3	1520	50094	21
5	./maps/StageA/ptsp_map24.map	3	1841	50087	22
6	./maps/StageA/ptsp_map24.map	8	3472	50088	23
7	./maps/StageA/ptsp_map24.map	5	2342	50094	22
8	./maps/StageA/ptsp_map24.map	2	1383	50071	24
9	./maps/StageA/ptsp_map24.map	1	1229	50150	22
10	./maps/StageA/ptsp_map24.map	1	1207	50120	25
1	./maps/StageA/ptsp_map61.map	9	2427	50065	22
2	./maps/StageA/ptsp_map61.map	10	2300	50069	23
3	./maps/StageA/ptsp_map61.map	10	2243	50071	23
4	./maps/StageA/ptsp_map61.map	10	2164	50065	23
5	./maps/StageA/ptsp_map61.map	10	1905	50054	23
6	./maps/StageA/ptsp_map61.map	5	2229	50091	24
7	./maps/StageA/ptsp_map61.map	9	2493	50055	23
8	./maps/StageA/ptsp_map61.map	10	2662	50091	24
9	./maps/StageA/ptsp_map61.map	9	3261	50063	23
10	./maps/StageA/ptsp_map61.map	8	2650	50082	23
1	./maps/StageA/ptsp_map19.map	8	2901	50067	24
2	./maps/StageA/ptsp_map19.map	1	1246	50113	22
3	./maps/StageA/ptsp_map19.map	6	2341	50085	23
4	./maps/StageA/ptsp_map19.map	3	1998	50083	24
5	./maps/StageA/ptsp_map19.map	9	3556	50086	24
6	./maps/StageA/ptsp_map19.map	3	1712	50097	22
7	./maps/StageA/ptsp_map19.map	4	2167	50053	23
8	./maps/StageA/ptsp_map19.map	10	2542	50061	23
9	./maps/StageA/ptsp_map19.map	1	1267	50120	24
10	./maps/StageA/ptsp_map19.map	3	1797	50081	24
1	./maps/StageA/ptsp_map56.map	0	1000	50138	25
2	./maps/StageA/ptsp_map56.map	4	2029	50076	23
3	./maps/StageA/ptsp_map56.map	0	1000	50100	24
4	./maps/StageA/ptsp_map56.map	0	1000	50139	23
5	./maps/StageA/ptsp_map56.map	0	1000	50149	26
6	./maps/StageA/ptsp_map56.map	2	1553	50104	23
7	./maps/StageA/ptsp_map56.map	2	1629	50108	23
8	./maps/StageA/ptsp_map56.map	0	1000	50132	25
9	./maps/StageA/ptsp_map56.map	0	1000	50138	24
10	./maps/StageA/ptsp_map56.map	2	1724	50106	23
1	./maps/StageA/ptsp_map08.map	9	3068	50073	24
2	./maps/StageA/ptsp_map08.map	10	2064	50075	23
3	./maps/StageA/ptsp_map08.map	9	2360	50074	24
4	./maps/StageA/ptsp_map08.map	10	1980	50065	24
5	./maps/StageA/ptsp_map08.map	9	3041	50085	25
6	./maps/StageA/ptsp_map08.map	8	2688	50079	23
7	./maps/StageA/ptsp_map08.map	7	2608	50071	24
8	./maps/StageA/ptsp_map08.map	9	3163	50091	25
9	./maps/StageA/ptsp_map08.map	6	2032	50088	23
10	./maps/StageA/ptsp_map08.map	6	2215	50077	24
1	./maps/StageA/ptsp_map40.map	7	2722	50098	23
2	./maps/StageA/ptsp_map40.map	6	2132	50061	23
3	./maps/StageA/ptsp_map40.map	7	3574	50083	23
4	./maps/StageA/ptsp_map40.map	6	3005	50103	23
5	./maps/StageA/ptsp_map40.map	3	1517	50097	22
6	./maps/StageA/ptsp_map40.map	7	3210	50091	25
7	./maps/StageA/ptsp_map40.map	3	2024	50078	23
8	./maps/StageA/ptsp_map40.map	5	2082	50086	23
9	./maps/StageA/ptsp_map40.map	7	2305	50078	24
10	./maps/StageA/ptsp_map40.map	3	1863	50105	23
1	./maps/StageA/ptsp_map45.map	1	1360	50086	26
2	./maps/StageA/ptsp_map45.map	0	1000	50082	23
3	./maps/StageA/ptsp_map45.map	0	1000	50107	27
4	./maps/StageA/ptsp_map45.map	2	1629	50076	24
5	./maps/StageA/ptsp_map45.map	1	1293	50092	25
6	./maps/StageA/ptsp_map45.map	0	1000	50081	25
7	./maps/StageA/ptsp_map45.map	0	1000	50110	26
8	./maps/StageA/ptsp_map45.map	1	1388	50120	24
9	./maps/StageA/ptsp_map45.map	1	1609	50098	24
10	./maps/StageA/ptsp_map45.map	1	1417	50089	24
