Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	10	2747	50215	22
2	./maps/StageA/ptsp_map24.map	8	2799	50215	22
3	./maps/StageA/ptsp_map24.map	10	2654	50217	22
4	./maps/StageA/ptsp_map24.map	8	2822	50212	22
5	./maps/StageA/ptsp_map24.map	10	2894	50215	22
6	./maps/StageA/ptsp_map24.map	9	3052	50215	23
7	./maps/StageA/ptsp_map24.map	10	2703	50217	22
8	./maps/StageA/ptsp_map24.map	8	2812	50213	23
9	./maps/StageA/ptsp_map24.map	5	2005	50211	22
10	./maps/StageA/ptsp_map24.map	8	2945	50212	22
1	./maps/StageA/ptsp_map61.map	10	1689	50209	21
2	./maps/StageA/ptsp_map61.map	10	1814	50207	22
3	./maps/StageA/ptsp_map61.map	10	1943	50214	22
4	./maps/StageA/ptsp_map61.map	10	2354	50214	22
5	./maps/StageA/ptsp_map61.map	10	1739	50212	24
6	./maps/StageA/ptsp_map61.map	10	2204	50212	22
7	./maps/StageA/ptsp_map61.map	10	1791	50211	21
8	./maps/StageA/ptsp_map61.map	10	2174	50211	22
9	./maps/StageA/ptsp_map61.map	10	1806	50212	21
10	./maps/StageA/ptsp_map61.map	10	2224	50215	22
1	./maps/StageA/ptsp_map19.map	10	1965	50212	25
2	./maps/StageA/ptsp_map19.map	10	2469	50216	24
3	./maps/StageA/ptsp_map19.map	3	1674	50206	22
4	./maps/StageA/ptsp_map19.map	10	2402	50216	21
5	./maps/StageA/ptsp_map19.map	10	2529	50215	22
6	./maps/StageA/ptsp_map19.map	10	2280	50213	22
7	./maps/StageA/ptsp_map19.map	10	2051	50211	23
8	./maps/StageA/ptsp_map19.map	10	2174	50214	22
9	./maps/StageA/ptsp_map19.map	10	2294	50213	22
10	./maps/StageA/ptsp_map19.map	10	2103	50213	21
1	./maps/StageA/ptsp_map56.map	8	3233	50216	22
2	./maps/StageA/ptsp_map56.map	3	1826	50206	22
3	./maps/StageA/ptsp_map56.map	2	1504	50204	22
4	./maps/StageA/ptsp_map56.map	5	2634	50211	23
5	./maps/StageA/ptsp_map56.map	9	3262	50217	24
6	./maps/StageA/ptsp_map56.map	8	3152	50217	22
7	./maps/StageA/ptsp_map56.map	2	1552	50205	22
8	./maps/StageA/ptsp_map56.map	9	3397	50217	22
9	./maps/StageA/ptsp_map56.map	2	1582	50207	24
10	./maps/StageA/ptsp_map56.map	9	3558	50219	22
1	./maps/StageA/ptsp_map08.map	10	2055	50212	22
2	./maps/StageA/ptsp_map08.map	10	1858	50211	22
3	./maps/StageA/ptsp_map08.map	10	1838	50212	22
4	./maps/StageA/ptsp_map08.map	10	1933	50213	24
5	./maps/StageA/ptsp_map08.map	10	2110	50214	23
6	./maps/StageA/ptsp_map08.map	10	2224	50214	22
7	./maps/StageA/ptsp_map08.map	10	1836	50210	21
8	./maps/StageA/ptsp_map08.map	10	2163	50212	21
9	./maps/StageA/ptsp_map08.map	10	1944	50210	22
10	./maps/StageA/ptsp_map08.map	10	1653	50210	21
1	./maps/StageA/ptsp_map40.map	10	1749	50210	21
2	./maps/StageA/ptsp_map40.map	10	2103	50215	21
3	./maps/StageA/ptsp_map40.map	10	2456	50215	23
4	./maps/StageA/ptsp_map40.map	10	1796	50212	22
5	./maps/StageA/ptsp_map40.map	10	1679	50210	21
6	./maps/StageA/ptsp_map40.map	10	1815	50210	22
7	./maps/StageA/ptsp_map40.map	10	1971	50209	22
8	./maps/StageA/ptsp_map40.map	10	1873	50211	22
9	./maps/StageA/ptsp_map40.map	10	1842	50210	22
10	./maps/StageA/ptsp_map40.map	10	2063	50213	22
1	./maps/StageA/ptsp_map45.map	9	2986	50216	23
2	./maps/StageA/ptsp_map45.map	10	2510	50218	22
3	./maps/StageA/ptsp_map45.map	9	3110	50216	22
4	./maps/StageA/ptsp_map45.map	10	2879	50217	22
5	./maps/StageA/ptsp_map45.map	10	2710	50218	22
6	./maps/StageA/ptsp_map45.map	9	2918	50216	22
7	./maps/StageA/ptsp_map45.map	8	2633	50214	23
8	./maps/StageA/ptsp_map45.map	10	3057	50215	23
9	./maps/StageA/ptsp_map45.map	9	3120	50215	23
10	./maps/StageA/ptsp_map45.map	2	1644	50197	22
1	./maps/StageA/ptsp_map35.map	10	2280	50213	22
2	./maps/StageA/ptsp_map35.map	6	2235	50204	22
3	./maps/StageA/ptsp_map35.map	10	2700	50217	22
4	./maps/StageA/ptsp_map35.map	10	2315	50214	22
5	./maps/StageA/ptsp_map35.map	10	2393	50215	22
6	./maps/StageA/ptsp_map35.map	10	2711	50215	22
7	./maps/StageA/ptsp_map35.map	9	3036	50216	22
8	./maps/StageA/ptsp_map35.map	10	2405	50213	22
9	./maps/StageA/ptsp_map35.map	10	2729	50217	23
10	./maps/StageA/ptsp_map35.map	8	2795	50215	23
1	./maps/StageA/ptsp_map02.map	10	1814	50212	22
2	./maps/StageA/ptsp_map02.map	10	1930	50215	21
3	./maps/StageA/ptsp_map02.map	10	1566	50211	21
4	./maps/StageA/ptsp_map02.map	10	1859	50212	22
5	./maps/StageA/ptsp_map02.map	10	1686	50212	21
6	./maps/StageA/ptsp_map02.map	10	1813	50210	21
7	./maps/StageA/ptsp_map02.map	10	1837	50216	22
8	./maps/StageA/ptsp_map02.map	10	1947	50213	23
9	./maps/StageA/ptsp_map02.map	10	1688	50211	21
10	./maps/StageA/ptsp_map02.map	10	1664	50214	21
1	./maps/StageA/ptsp_map01.map	10	2235	50213	23
2	./maps/StageA/ptsp_map01.map	4	1853	50202	22
3	./maps/StageA/ptsp_map01.map	10	2580	50216	22
4	./maps/StageA/ptsp_map01.map	10	2126	50213	22
5	./maps/StageA/ptsp_map01.map	10	2225	50212	22
6	./maps/StageA/ptsp_map01.map	10	2065	50214	22
7	./maps/StageA/ptsp_map01.map	10	2061	50216	21
8	./maps/StageA/ptsp_map01.map	10	2475	50215	24
9	./maps/StageA/ptsp_map01.map	10	2233	50213	22
10	./maps/StageA/ptsp_map01.map	10	2084	50211	22
