Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	7	2236	50454	23
2	./maps/StageA/ptsp_map24.map	5	2032	50439	23
3	./maps/StageA/ptsp_map24.map	5	2042	50452	24
4	./maps/StageA/ptsp_map24.map	5	1785	50427	24
5	./maps/StageA/ptsp_map24.map	5	1929	50431	23
6	./maps/StageA/ptsp_map24.map	8	2636	50475	23
7	./maps/StageA/ptsp_map24.map	6	2055	50442	24
8	./maps/StageA/ptsp_map24.map	8	2614	50475	23
9	./maps/StageA/ptsp_map24.map	7	2297	50456	23
10	./maps/StageA/ptsp_map24.map	1	1205	50348	23
1	./maps/StageA/ptsp_map61.map	6	2053	50442	25
2	./maps/StageA/ptsp_map61.map	10	1553	50536	21
3	./maps/StageA/ptsp_map61.map	10	1500	50543	22
4	./maps/StageA/ptsp_map61.map	5	1724	50416	24
5	./maps/StageA/ptsp_map61.map	10	1904	50541	22
6	./maps/StageA/ptsp_map61.map	5	1718	50412	28
7	./maps/StageA/ptsp_map61.map	10	1587	50531	23
8	./maps/StageA/ptsp_map61.map	10	1859	50538	22
9	./maps/StageA/ptsp_map61.map	10	1629	50531	21
10	./maps/StageA/ptsp_map61.map	10	1694	50538	24
1	./maps/StageA/ptsp_map19.map	2	1382	50377	28
2	./maps/StageA/ptsp_map19.map	3	1475	50397	24
3	./maps/StageA/ptsp_map19.map	5	1709	50412	25
4	./maps/StageA/ptsp_map19.map	8	2189	50456	24
5	./maps/StageA/ptsp_map19.map	3	1530	50400	23
6	./maps/StageA/ptsp_map19.map	8	2264	50449	22
7	./maps/StageA/ptsp_map19.map	6	1995	50437	24
8	./maps/StageA/ptsp_map19.map	3	1479	50382	23
9	./maps/StageA/ptsp_map19.map	5	1741	50413	22
10	./maps/StageA/ptsp_map19.map	3	1489	50398	22
1	./maps/StageA/ptsp_map56.map	1	1336	50370	22
2	./maps/StageA/ptsp_map56.map	0	1000	50289	24
3	./maps/StageA/ptsp_map56.map	3	1672	50406	23
4	./maps/StageA/ptsp_map56.map	3	1541	50395	29
5	./maps/StageA/ptsp_map56.map	3	1733	50409	28
6	./maps/StageA/ptsp_map56.map	4	1923	50427	24
7	./maps/StageA/ptsp_map56.map	2	1444	50393	23
8	./maps/StageA/ptsp_map56.map	0	1000	50296	23
9	./maps/StageA/ptsp_map56.map	3	1663	50397	23
10	./maps/StageA/ptsp_map56.map	3	1652	50400	24
1	./maps/StageA/ptsp_map08.map	10	1765	50545	25
2	./maps/StageA/ptsp_map08.map	7	2072	50461	29
3	./maps/StageA/ptsp_map08.map	6	1788	50435	26
4	./maps/StageA/ptsp_map08.map	8	1929	50449	24
5	./maps/StageA/ptsp_map08.map	6	1639	50417	24
6	./maps/StageA/ptsp_map08.map	8	2097	50461	24
7	./maps/StageA/ptsp_map08.map	6	1704	50433	25
8	./maps/StageA/ptsp_map08.map	6	1741	50432	24
9	./maps/StageA/ptsp_map08.map	7	2053	50454	23
10	./maps/StageA/ptsp_map08.map	10	1579	50549	22
1	./maps/StageA/ptsp_map40.map	3	1521	50393	24
2	./maps/StageA/ptsp_map40.map	10	1844	50551	24
3	./maps/StageA/ptsp_map40.map	6	1847	50438	28
4	./maps/StageA/ptsp_map40.map	8	2090	50452	24
5	./maps/StageA/ptsp_map40.map	10	1555	50539	26
6	./maps/StageA/ptsp_map40.map	8	2152	50453	29
7	./maps/StageA/ptsp_map40.map	6	1807	50427	23
8	./maps/StageA/ptsp_map40.map	6	1849	50438	23
9	./maps/StageA/ptsp_map40.map	10	1973	50538	22
10	./maps/StageA/ptsp_map40.map	8	1999	50444	24
1	./maps/StageA/ptsp_map45.map	1	1309	50369	24
2	./maps/StageA/ptsp_map45.map	2	1554	50397	23
3	./maps/StageA/ptsp_map45.map	1	1283	50359	24
4	./maps/StageA/ptsp_map45.map	1	1194	50348	24
5	./maps/StageA/ptsp_map45.map	0	1000	50294	26
6	./maps/StageA/ptsp_map45.map	1	1220	50347	30
7	./maps/StageA/ptsp_map45.map	1	1259	50360	24
8	./maps/StageA/ptsp_map45.map	1	1205	50360	23
9	./maps/StageA/ptsp_map45.map	0	1000	50291	24
10	./maps/StageA/ptsp_map45.map	1	1326	50377	25
1	./maps/StageA/ptsp_map35.map	5	1782	50417	23
2	./maps/StageA/ptsp_map35.map	3	1378	50377	24
3	./maps/StageA/ptsp_map35.map	5	1803	50427	23
4	./maps/StageA/ptsp_map35.map	5	1744	50416	23
5	./maps/StageA/ptsp_map35.map	6	2092	50447	22
6	./maps/StageA/ptsp_map35.map	5	1799	50428	25
7	./maps/StageA/ptsp_map35.map	5	1816	50427	23
8	./maps/StageA/ptsp_map35.map	7	2327	50461	23
9	./maps/StageA/ptsp_map35.map	7	2274	50448	23
10	./maps/StageA/ptsp_map35.map	5	1811	50437	23
1	./maps/StageA/ptsp_map02.map	10	1439	50528	22
2	./maps/StageA/ptsp_map02.map	10	1535	50529	22
3	./maps/StageA/ptsp_map02.map	10	1499	50535	23
4	./maps/StageA/ptsp_map02.map	10	1380	50531	28
5	./maps/StageA/ptsp_map02.map	10	1664	50532	27
6	./maps/StageA/ptsp_map02.map	10	1645	50530	28
7	./maps/StageA/ptsp_map02.map	5	1718	50419	29
8	./maps/StageA/ptsp_map02.map	5	1722	50421	24
9	./maps/StageA/ptsp_map02.map	6	1750	50425	22
10	./maps/StageA/ptsp_map02.map	10	1360	50523	21
1	./maps/StageA/ptsp_map01.map	4	1765	50413	23
2	./maps/StageA/ptsp_map01.map	6	1967	50439	24
3	./maps/StageA/ptsp_map01.map	3	1583	50405	23
4	./maps/StageA/ptsp_map01.map	7	2075	50442	22
5	./maps/StageA/ptsp_map01.map	8	2194	50452	21
6	./maps/StageA/ptsp_map01.map	10	1835	50527	21
7	./maps/StageA/ptsp_map01.map	2	1423	50375	24
8	./maps/StageA/ptsp_map01.map	10	1911	50537	21
9	./maps/StageA/ptsp_map01.map	10	1695	50538	22
10	./maps/StageA/ptsp_map01.map	8	2386	50461	22
