Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	4	2093	81086	37
2	./maps/StageA/ptsp_map24.map	3	1824	80749	36
3	./maps/StageA/ptsp_map24.map	4	2229	81205	36
4	./maps/StageA/ptsp_map24.map	6	2482	81436	36
5	./maps/StageA/ptsp_map24.map	7	2483	81427	37
6	./maps/StageA/ptsp_map24.map	6	2211	81230	36
7	./maps/StageA/ptsp_map24.map	3	1433	80086	35
8	./maps/StageA/ptsp_map24.map	6	2468	81374	37
9	./maps/StageA/ptsp_map24.map	4	1687	80582	35
10	./maps/StageA/ptsp_map24.map	4	2063	81055	36
1	./maps/StageA/ptsp_map61.map	10	1614	81995	35
2	./maps/StageA/ptsp_map61.map	9	2691	81591	37
3	./maps/StageA/ptsp_map61.map	5	1655	80432	35
4	./maps/StageA/ptsp_map61.map	9	2392	81370	37
5	./maps/StageA/ptsp_map61.map	10	2874	82531	38
6	./maps/StageA/ptsp_map61.map	10	1844	82101	36
7	./maps/StageA/ptsp_map61.map	10	1498	81891	35
8	./maps/StageA/ptsp_map61.map	10	1810	82144	36
9	./maps/StageA/ptsp_map61.map	3	1296	79798	34
10	./maps/StageA/ptsp_map61.map	10	1829	82167	36
1	./maps/StageA/ptsp_map19.map	7	1942	80933	36
2	./maps/StageA/ptsp_map19.map	3	1666	80658	35
3	./maps/StageA/ptsp_map19.map	5	1703	80589	35
4	./maps/StageA/ptsp_map19.map	3	1505	80299	35
5	./maps/StageA/ptsp_map19.map	5	1764	80664	35
6	./maps/StageA/ptsp_map19.map	6	1868	81201	36
7	./maps/StageA/ptsp_map19.map	8	2484	81415	37
8	./maps/StageA/ptsp_map19.map	6	2329	81233	37
9	./maps/StageA/ptsp_map19.map	2	1313	79797	34
10	./maps/StageA/ptsp_map19.map	9	2424	81370	37
1	./maps/StageA/ptsp_map56.map	3	1895	80908	36
2	./maps/StageA/ptsp_map56.map	2	1658	80517	36
3	./maps/StageA/ptsp_map56.map	3	1758	80759	35
4	./maps/StageA/ptsp_map56.map	3	2138	81132	37
5	./maps/StageA/ptsp_map56.map	4	2304	81272	37
6	./maps/StageA/ptsp_map56.map	4	2319	81284	37
7	./maps/StageA/ptsp_map56.map	3	1978	80883	37
8	./maps/StageA/ptsp_map56.map	2	1552	80349	35
9	./maps/StageA/ptsp_map56.map	2	1746	80690	35
10	./maps/StageA/ptsp_map56.map	0	1000	78653	34
1	./maps/StageA/ptsp_map08.map	8	2344	81371	36
2	./maps/StageA/ptsp_map08.map	8	1929	80886	36
3	./maps/StageA/ptsp_map08.map	8	2379	81334	37
4	./maps/StageA/ptsp_map08.map	6	1806	80770	35
5	./maps/StageA/ptsp_map08.map	4	1454	80006	35
6	./maps/StageA/ptsp_map08.map	8	2232	81167	37
7	./maps/StageA/ptsp_map08.map	6	1940	81025	36
8	./maps/StageA/ptsp_map08.map	6	1734	80619	36
9	./maps/StageA/ptsp_map08.map	10	1618	81846	35
10	./maps/StageA/ptsp_map08.map	7	2027	81106	36
1	./maps/StageA/ptsp_map40.map	10	2560	82482	37
