Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	10	2606	50387	21
2	./maps/StageA/ptsp_map24.map	8	2436	50355	22
3	./maps/StageA/ptsp_map24.map	8	2601	50358	22
4	./maps/StageA/ptsp_map24.map	9	2925	50363	23
5	./maps/StageA/ptsp_map24.map	9	2751	50361	22
6	./maps/StageA/ptsp_map24.map	9	2707	50360	22
7	./maps/StageA/ptsp_map24.map	9	2813	50362	24
8	./maps/StageA/ptsp_map24.map	10	2469	50388	22
9	./maps/StageA/ptsp_map24.map	9	2809	50362	23
10	./maps/StageA/ptsp_map24.map	8	2325	50350	23
1	./maps/StageA/ptsp_map61.map	10	1348	50373	21
2	./maps/StageA/ptsp_map61.map	10	1392	50369	22
3	./maps/StageA/ptsp_map61.map	10	1345	50370	21
4	./maps/StageA/ptsp_map61.map	10	1318	50374	22
5	./maps/StageA/ptsp_map61.map	10	1257	50369	22
6	./maps/StageA/ptsp_map61.map	9	2271	50351	22
7	./maps/StageA/ptsp_map61.map	10	1980	50375	21
8	./maps/StageA/ptsp_map61.map	10	1480	50373	22
9	./maps/StageA/ptsp_map61.map	10	1620	50374	21
10	./maps/StageA/ptsp_map61.map	10	1753	50376	21
1	./maps/StageA/ptsp_map19.map	8	2193	50350	24
2	./maps/StageA/ptsp_map19.map	4	1554	50325	22
3	./maps/StageA/ptsp_map19.map	10	1883	50381	22
4	./maps/StageA/ptsp_map19.map	8	2242	50351	23
5	./maps/StageA/ptsp_map19.map	10	1733	50384	21
6	./maps/StageA/ptsp_map19.map	8	2116	50348	22
7	./maps/StageA/ptsp_map19.map	8	2151	50348	22
8	./maps/StageA/ptsp_map19.map	8	2077	50346	23
9	./maps/StageA/ptsp_map19.map	3	1425	50316	23
10	./maps/StageA/ptsp_map19.map	10	1731	50380	21
1	./maps/StageA/ptsp_map56.map	8	3105	50365	24
2	./maps/StageA/ptsp_map56.map	3	1507	50323	22
3	./maps/StageA/ptsp_map56.map	2	1343	50313	23
4	./maps/StageA/ptsp_map56.map	4	1967	50344	24
5	./maps/StageA/ptsp_map56.map	9	3721	50373	23
6	./maps/StageA/ptsp_map56.map	8	2928	50364	22
7	./maps/StageA/ptsp_map56.map	5	2284	50352	23
8	./maps/StageA/ptsp_map56.map	8	3324	50369	23
