Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	10	3069	50290	28
2	maps/StageA/ptsp_map01.map	10	2490	50294	27
3	maps/StageA/ptsp_map01.map	8	2801	50286	28
4	maps/StageA/ptsp_map01.map	6	2393	50280	28
5	maps/StageA/ptsp_map01.map	10	2693	50298	25
6	maps/StageA/ptsp_map01.map	10	2391	50288	27
7	maps/StageA/ptsp_map01.map	9	3021	50284	28
8	maps/StageA/ptsp_map01.map	10	3832	50300	28
9	maps/StageA/ptsp_map01.map	5	1884	50273	27
10	maps/StageA/ptsp_map01.map	8	3388	50291	26
1	maps/StageA/ptsp_map02.map	7	2345	50282	26
2	maps/StageA/ptsp_map02.map	8	3585	50285	30
3	maps/StageA/ptsp_map02.map	10	2448	50272	27
4	maps/StageA/ptsp_map02.map	5	1948	50273	27
5	maps/StageA/ptsp_map02.map	10	2516	50293	27
6	maps/StageA/ptsp_map02.map	10	2952	50293	27
7	maps/StageA/ptsp_map02.map	10	2716	50300	26
8	maps/StageA/ptsp_map02.map	10	2104	50283	27
9	maps/StageA/ptsp_map02.map	9	3253	50270	28
10	maps/StageA/ptsp_map02.map	7	2559	50284	27
1	maps/StageA/ptsp_map08.map	10	2628	50295	26
2	maps/StageA/ptsp_map08.map	4	1702	50268	26
3	maps/StageA/ptsp_map08.map	10	2805	50290	27
4	maps/StageA/ptsp_map08.map	8	2746	50281	27
5	maps/StageA/ptsp_map08.map	7	1797	50270	26
6	maps/StageA/ptsp_map08.map	10	2173	50284	26
7	maps/StageA/ptsp_map08.map	8	2819	50286	27
8	maps/StageA/ptsp_map08.map	5	2474	50281	27
9	maps/StageA/ptsp_map08.map	8	2940	50287	27
10	maps/StageA/ptsp_map08.map	1	1418	50258	27
1	maps/StageA/ptsp_map19.map	1	1071	50243	26
2	maps/StageA/ptsp_map19.map	0	1000	50232	27
3	maps/StageA/ptsp_map19.map	4	1935	50276	27
4	maps/StageA/ptsp_map19.map	7	2398	50281	27
5	maps/StageA/ptsp_map19.map	10	2703	50288	27
6	maps/StageA/ptsp_map19.map	9	3704	50294	28
7	maps/StageA/ptsp_map19.map	5	2813	50286	27
8	maps/StageA/ptsp_map19.map	9	4018	50295	28
9	maps/StageA/ptsp_map19.map	6	2882	50289	27
10	maps/StageA/ptsp_map19.map	6	2255	50279	27
1	maps/StageA/ptsp_map24.map	4	1954	50277	27
2	maps/StageA/ptsp_map24.map	9	3416	50292	27
3	maps/StageA/ptsp_map24.map	1	1149	50248	26
4	maps/StageA/ptsp_map24.map	7	2194	50279	26
5	maps/StageA/ptsp_map24.map	6	2560	50283	27
6	maps/StageA/ptsp_map24.map	6	2653	50285	25
7	maps/StageA/ptsp_map24.map	7	2770	50287	27
8	maps/StageA/ptsp_map24.map	8	3409	50291	29
9	maps/StageA/ptsp_map24.map	0	1000	50236	29
10	maps/StageA/ptsp_map24.map	10	2805	50296	28
1	maps/StageA/ptsp_map35.map	6	2211	50279	27
2	maps/StageA/ptsp_map35.map	7	2473	50283	28
3	maps/StageA/ptsp_map35.map	4	1919	50271	29
4	maps/StageA/ptsp_map35.map	10	2770	50297	29
5	maps/StageA/ptsp_map35.map	5	1879	50274	29
6	maps/StageA/ptsp_map35.map	6	2827	50288	28
7	maps/StageA/ptsp_map35.map	10	2744	50299	27
8	maps/StageA/ptsp_map35.map	5	1709	50268	28
9	maps/StageA/ptsp_map35.map	10	2732	50285	28
10	maps/StageA/ptsp_map35.map	4	2382	50281	29
1	maps/StageA/ptsp_map40.map	10	3762	50291	29
2	maps/StageA/ptsp_map40.map	5	2253	50280	27
3	maps/StageA/ptsp_map40.map	7	3041	50288	29
4	maps/StageA/ptsp_map40.map	10	3538	50295	29
5	maps/StageA/ptsp_map40.map	9	2752	50287	28
6	maps/StageA/ptsp_map40.map	10	3590	50302	28
7	maps/StageA/ptsp_map40.map	10	2849	50297	27
8	maps/StageA/ptsp_map40.map	5	2871	50281	27
9	maps/StageA/ptsp_map40.map	2	1363	50256	28
10	maps/StageA/ptsp_map40.map	10	2473	50284	28
1	maps/StageA/ptsp_map45.map	3	1387	50261	27
2	maps/StageA/ptsp_map45.map	1	1384	50258	27
3	maps/StageA/ptsp_map45.map	8	3708	50294	28
4	maps/StageA/ptsp_map45.map	4	1608	50267	26
5	maps/StageA/ptsp_map45.map	0	1000	50235	26
6	maps/StageA/ptsp_map45.map	2	1846	50276	27
7	maps/StageA/ptsp_map45.map	1	1065	50235	28
8	maps/StageA/ptsp_map45.map	0	1000	50233	27
9	maps/StageA/ptsp_map45.map	3	2013	50276	27
10	maps/StageA/ptsp_map45.map	1	1294	50253	27
1	maps/StageA/ptsp_map56.map	0	1000	50231	27
2	maps/StageA/ptsp_map56.map	2	1467	50258	26
3	maps/StageA/ptsp_map56.map	4	2131	50279	26
4	maps/StageA/ptsp_map56.map	0	1000	50230	26
5	maps/StageA/ptsp_map56.map	0	1000	50231	25
6	maps/StageA/ptsp_map56.map	2	1520	50263	26
7	maps/StageA/ptsp_map56.map	1	1170	50243	27
8	maps/StageA/ptsp_map56.map	2	1183	50243	26
9	maps/StageA/ptsp_map56.map	0	1000	50229	27
