Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	8	2668	50161	26
2	maps/StageA/ptsp_map01.map	7	3127	50161	25
3	maps/StageA/ptsp_map01.map	2	1253	50153	25
4	maps/StageA/ptsp_map01.map	10	2324	50173	24
5	maps/StageA/ptsp_map01.map	10	2369	50176	24
6	maps/StageA/ptsp_map01.map	7	2635	50161	25
7	maps/StageA/ptsp_map01.map	10	2833	50170	25
8	maps/StageA/ptsp_map01.map	3	1609	50156	25
9	maps/StageA/ptsp_map01.map	10	2815	50170	24
10	maps/StageA/ptsp_map01.map	9	3304	50180	25
1	maps/StageA/ptsp_map02.map	10	2714	50175	23
2	maps/StageA/ptsp_map02.map	10	2334	50171	23
3	maps/StageA/ptsp_map02.map	10	2159	50172	23
4	maps/StageA/ptsp_map02.map	8	2759	50161	24
5	maps/StageA/ptsp_map02.map	10	2159	50167	23
6	maps/StageA/ptsp_map02.map	5	1691	50154	23
7	maps/StageA/ptsp_map02.map	10	2268	50177	23
8	maps/StageA/ptsp_map02.map	8	3288	50169	24
9	maps/StageA/ptsp_map02.map	6	1796	50155	23
10	maps/StageA/ptsp_map02.map	10	2511	50176	23
1	maps/StageA/ptsp_map08.map	8	2793	50166	24
2	maps/StageA/ptsp_map08.map	10	3254	50170	24
3	maps/StageA/ptsp_map08.map	10	2795	50181	23
4	maps/StageA/ptsp_map08.map	7	3252	50161	25
5	maps/StageA/ptsp_map08.map	10	1791	50185	23
6	maps/StageA/ptsp_map08.map	10	2459	50176	23
7	maps/StageA/ptsp_map08.map	10	3643	50176	24
8	maps/StageA/ptsp_map08.map	10	2391	50177	23
9	maps/StageA/ptsp_map08.map	2	1276	50154	24
10	maps/StageA/ptsp_map08.map	10	2236	50174	23
1	maps/StageA/ptsp_map19.map	0	1000	50152	24
2	maps/StageA/ptsp_map19.map	7	3246	50163	24
3	maps/StageA/ptsp_map19.map	4	2242	50160	24
4	maps/StageA/ptsp_map19.map	9	3713	50174	24
5	maps/StageA/ptsp_map19.map	1	1332	50154	24
6	maps/StageA/ptsp_map19.map	3	1970	50161	24
7	maps/StageA/ptsp_map19.map	8	3484	50165	23
8	maps/StageA/ptsp_map19.map	8	3317	50164	23
9	maps/StageA/ptsp_map19.map	9	3389	50164	23
10	maps/StageA/ptsp_map19.map	9	2793	50165	22
1	maps/StageA/ptsp_map24.map	8	3308	50163	22
2	maps/StageA/ptsp_map24.map	8	2207	50161	21
3	maps/StageA/ptsp_map24.map	8	2617	50163	20
4	maps/StageA/ptsp_map24.map	8	2251	50161	20
5	maps/StageA/ptsp_map24.map	9	3781	50173	20
6	maps/StageA/ptsp_map24.map	10	2205	50174	19
7	maps/StageA/ptsp_map24.map	5	2214	50160	19
8	maps/StageA/ptsp_map24.map	8	3332	50164	20
9	maps/StageA/ptsp_map24.map	9	3475	50164	20
10	maps/StageA/ptsp_map24.map	10	2869	50169	20
1	maps/StageA/ptsp_map35.map	0	1000	50152	20
2	maps/StageA/ptsp_map35.map	8	3193	50161	21
3	maps/StageA/ptsp_map35.map	10	2575	50172	19
4	maps/StageA/ptsp_map35.map	10	3373	50175	22
5	maps/StageA/ptsp_map35.map	5	1940	50162	23
6	maps/StageA/ptsp_map35.map	8	2371	50163	23
7	maps/StageA/ptsp_map35.map	10	3547	50171	22
8	maps/StageA/ptsp_map35.map	6	2319	50163	22
9	maps/StageA/ptsp_map35.map	8	2808	50162	23
10	maps/StageA/ptsp_map35.map	10	2049	50177	21
1	maps/StageA/ptsp_map40.map	4	2339	50159	22
2	maps/StageA/ptsp_map40.map	4	2001	50162	22
3	maps/StageA/ptsp_map40.map	8	3370	50164	22
4	maps/StageA/ptsp_map40.map	2	1416	50159	19
5	maps/StageA/ptsp_map40.map	10	2863	50171	19
6	maps/StageA/ptsp_map40.map	10	3142	50174	21
7	maps/StageA/ptsp_map40.map	4	2361	50162	21
8	maps/StageA/ptsp_map40.map	3	1901	50159	22
9	maps/StageA/ptsp_map40.map	10	2644	50170	22
10	maps/StageA/ptsp_map40.map	10	2378	50175	21
1	maps/StageA/ptsp_map45.map	10	2897	50175	20
2	maps/StageA/ptsp_map45.map	3	1726	50157	21
3	maps/StageA/ptsp_map45.map	4	1691	50156	21
4	maps/StageA/ptsp_map45.map	4	1860	50158	20
5	maps/StageA/ptsp_map45.map	7	2001	50160	20
6	maps/StageA/ptsp_map45.map	4	1735	50158	21
7	maps/StageA/ptsp_map45.map	7	2055	50160	22
8	maps/StageA/ptsp_map45.map	2	1424	50160	22
9	maps/StageA/ptsp_map45.map	5	2478	50162	23
10	maps/StageA/ptsp_map45.map	5	2081	50162	23
1	maps/StageA/ptsp_map56.map	2	1857	50161	23
2	maps/StageA/ptsp_map56.map	2	1294	50161	22
3	maps/StageA/ptsp_map56.map	2	1264	50158	21
4	maps/StageA/ptsp_map56.map	0	1000	50158	20
5	maps/StageA/ptsp_map56.map	0	1000	50158	22
6	maps/StageA/ptsp_map56.map	3	1969	50162	20
7	maps/StageA/ptsp_map56.map	5	2928	50163	23
8	maps/StageA/ptsp_map56.map	0	1000	50153	24
9	maps/StageA/ptsp_map56.map	4	2183	50163	23
10	maps/StageA/ptsp_map56.map	4	2382	50160	23
1	maps/StageA/ptsp_map61.map	10	3026	50172	23
2	maps/StageA/ptsp_map61.map	10	2629	50174	23
3	maps/StageA/ptsp_map61.map	10	2509	50174	23
4	maps/StageA/ptsp_map61.map	8	2580	50159	24
5	maps/StageA/ptsp_map61.map	10	2439	50173	22
6	maps/StageA/ptsp_map61.map	10	2305	50174	23
