Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	10	1484	50373	21
2	maps/StageA/ptsp_map01.map	10	1435	50375	19
3	maps/StageA/ptsp_map01.map	10	1474	50387	20
4	maps/StageA/ptsp_map01.map	10	1144	50370	20
5	maps/StageA/ptsp_map01.map	10	1536	50375	20
6	maps/StageA/ptsp_map01.map	10	1040	50372	20
7	maps/StageA/ptsp_map01.map	10	1182	50371	19
8	maps/StageA/ptsp_map01.map	10	1088	50369	20
9	maps/StageA/ptsp_map01.map	10	1155	50369	20
10	maps/StageA/ptsp_map01.map	10	1102	50371	19
1	maps/StageA/ptsp_map02.map	10	1251	50372	17
2	maps/StageA/ptsp_map02.map	10	1094	50365	17
3	maps/StageA/ptsp_map02.map	10	1196	50370	17
4	maps/StageA/ptsp_map02.map	10	1077	50369	18
5	maps/StageA/ptsp_map02.map	8	1794	50333	18
6	maps/StageA/ptsp_map02.map	10	1504	50375	17
7	maps/StageA/ptsp_map02.map	10	1302	50386	17
8	maps/StageA/ptsp_map02.map	10	1017	50367	17
9	maps/StageA/ptsp_map02.map	10	1040	50372	17
10	maps/StageA/ptsp_map02.map	10	1294	50373	17
1	maps/StageA/ptsp_map08.map	10	1158	50370	17
2	maps/StageA/ptsp_map08.map	10	1346	50373	18
3	maps/StageA/ptsp_map08.map	10	970	50355	17
4	maps/StageA/ptsp_map08.map	10	1436	50375	18
5	maps/StageA/ptsp_map08.map	10	1303	50374	17
6	maps/StageA/ptsp_map08.map	10	1176	50372	17
7	maps/StageA/ptsp_map08.map	10	1205	50369	18
8	maps/StageA/ptsp_map08.map	10	928	50364	17
9	maps/StageA/ptsp_map08.map	10	990	50358	17
10	maps/StageA/ptsp_map08.map	10	1515	50378	17
1	maps/StageA/ptsp_map19.map	8	1988	50334	18
2	maps/StageA/ptsp_map19.map	9	2318	50350	18
3	maps/StageA/ptsp_map19.map	10	1779	50370	17
4	maps/StageA/ptsp_map19.map	7	1894	50337	18
5	maps/StageA/ptsp_map19.map	10	2218	50388	18
6	maps/StageA/ptsp_map19.map	9	2153	50346	18
7	maps/StageA/ptsp_map19.map	9	2314	50351	18
8	maps/StageA/ptsp_map19.map	9	2154	50346	18
9	maps/StageA/ptsp_map19.map	10	1256	50376	17
10	maps/StageA/ptsp_map19.map	8	2111	50342	18
1	maps/StageA/ptsp_map24.map	10	1644	50381	19
2	maps/StageA/ptsp_map24.map	10	1078	50366	19
3	maps/StageA/ptsp_map24.map	10	1769	50388	18
4	maps/StageA/ptsp_map24.map	9	2367	50351	20
5	maps/StageA/ptsp_map24.map	10	1840	50381	21
6	maps/StageA/ptsp_map24.map	10	1079	50372	21
7	maps/StageA/ptsp_map24.map	8	2236	50349	22
8	maps/StageA/ptsp_map24.map	5	1502	50321	23
9	maps/StageA/ptsp_map24.map	10	1332	50377	22
10	maps/StageA/ptsp_map24.map	10	1300	50373	22
1	maps/StageA/ptsp_map35.map	10	1334	50379	22
2	maps/StageA/ptsp_map35.map	7	1713	50329	23
3	maps/StageA/ptsp_map35.map	10	1113	50373	21
4	maps/StageA/ptsp_map35.map	10	1346	50368	21
5	maps/StageA/ptsp_map35.map	10	1551	50380	21
6	maps/StageA/ptsp_map35.map	8	2053	50342	24
7	maps/StageA/ptsp_map35.map	10	1345	50373	22
8	maps/StageA/ptsp_map35.map	10	1480	50380	22
9	maps/StageA/ptsp_map35.map	10	1668	50381	22
10	maps/StageA/ptsp_map35.map	10	970	50366	22
1	maps/StageA/ptsp_map40.map	10	1254	50373	22
2	maps/StageA/ptsp_map40.map	8	1982	50341	22
3	maps/StageA/ptsp_map40.map	10	1346	50381	20
4	maps/StageA/ptsp_map40.map	10	1175	50374	20
5	maps/StageA/ptsp_map40.map	10	1237	50372	20
6	maps/StageA/ptsp_map40.map	10	1545	50377	21
7	maps/StageA/ptsp_map40.map	10	1221	50374	22
8	maps/StageA/ptsp_map40.map	10	1451	50378	22
9	maps/StageA/ptsp_map40.map	10	970	50371	22
10	maps/StageA/ptsp_map40.map	6	1699	50330	23
1	maps/StageA/ptsp_map45.map	3	1518	50322	24
2	maps/StageA/ptsp_map45.map	8	2042	50342	23
3	maps/StageA/ptsp_map45.map	10	1364	50377	23
4	maps/StageA/ptsp_map45.map	10	1339	50384	22
5	maps/StageA/ptsp_map45.map	8	2198	50347	24
6	maps/StageA/ptsp_map45.map	10	1800	50383	23
7	maps/StageA/ptsp_map45.map	4	1567	50323	23
8	maps/StageA/ptsp_map45.map	10	1882	50384	23
9	maps/StageA/ptsp_map45.map	10	1545	50380	22
10	maps/StageA/ptsp_map45.map	6	1542	50311	24
1	maps/StageA/ptsp_map56.map	5	1852	50330	23
2	maps/StageA/ptsp_map56.map	5	2371	50353	22
3	maps/StageA/ptsp_map56.map	2	1492	50319	21
4	maps/StageA/ptsp_map56.map	8	2292	50349	21
5	maps/StageA/ptsp_map56.map	4	1823	50335	22
6	maps/StageA/ptsp_map56.map	5	2611	50353	23
7	maps/StageA/ptsp_map56.map	8	2881	50362	24
8	maps/StageA/ptsp_map56.map	0	1000	50275	24
9	maps/StageA/ptsp_map56.map	5	2143	50343	24
10	maps/StageA/ptsp_map56.map	7	2695	50358	24
1	maps/StageA/ptsp_map61.map	10	1062	50370	22
2	maps/StageA/ptsp_map61.map	10	1620	50375	22
3	maps/StageA/ptsp_map61.map	10	1523	50380	23
4	maps/StageA/ptsp_map61.map	10	1374	50373	23
5	maps/StageA/ptsp_map61.map	10	1521	50373	22
6	maps/StageA/ptsp_map61.map	10	1125	50369	22
7	maps/StageA/ptsp_map61.map	10	801	50356	22
8	maps/StageA/ptsp_map61.map	10	1059	50356	22
9	maps/StageA/ptsp_map61.map	10	1684	50378	22
10	maps/StageA/ptsp_map61.map	10	1419	50377	21
