Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	4	2594	50140	23
2	./maps/StageA/ptsp_map24.map	2	1672	50137	24
3	./maps/StageA/ptsp_map24.map	4	2165	50141	25
4	./maps/StageA/ptsp_map24.map	2	1953	50138	25
5	./maps/StageA/ptsp_map24.map	4	2429	50137	25
6	./maps/StageA/ptsp_map24.map	0	1000	50128	27
7	./maps/StageA/ptsp_map24.map	5	2608	50141	25
8	./maps/StageA/ptsp_map24.map	1	1304	50135	24
9	./maps/StageA/ptsp_map24.map	3	2084	50141	25
10	./maps/StageA/ptsp_map24.map	3	2248	50141	25
1	./maps/StageA/ptsp_map61.map	3	1416	50135	26
2	./maps/StageA/ptsp_map61.map	6	2719	50140	23
3	./maps/StageA/ptsp_map61.map	6	2273	50140	23
4	./maps/StageA/ptsp_map61.map	5	2248	50136	24
5	./maps/StageA/ptsp_map61.map	5	2066	50142	24
6	./maps/StageA/ptsp_map61.map	7	2849	50142	24
7	./maps/StageA/ptsp_map61.map	3	1366	50136	25
8	./maps/StageA/ptsp_map61.map	2	1370	50134	25
9	./maps/StageA/ptsp_map61.map	3	1373	50136	23
10	./maps/StageA/ptsp_map61.map	1	1164	50129	25
1	./maps/StageA/ptsp_map19.map	0	1000	50135	24
2	./maps/StageA/ptsp_map19.map	2	1430	50133	25
3	./maps/StageA/ptsp_map19.map	2	1884	50135	25
4	./maps/StageA/ptsp_map19.map	7	2522	50141	25
5	./maps/StageA/ptsp_map19.map	3	1828	50139	23
6	./maps/StageA/ptsp_map19.map	2	1872	50133	23
7	./maps/StageA/ptsp_map19.map	0	1000	50133	23
8	./maps/StageA/ptsp_map19.map	0	1000	50128	22
9	./maps/StageA/ptsp_map19.map	3	1480	50141	22
10	./maps/StageA/ptsp_map19.map	0	1000	50122	24
1	./maps/StageA/ptsp_map56.map	0	1000	50128	24
2	./maps/StageA/ptsp_map56.map	0	1000	50133	25
3	./maps/StageA/ptsp_map56.map	0	1000	50130	24
4	./maps/StageA/ptsp_map56.map	1	1647	50138	23
5	./maps/StageA/ptsp_map56.map	0	1000	50128	24
6	./maps/StageA/ptsp_map56.map	0	1000	50131	26
7	./maps/StageA/ptsp_map56.map	0	1000	50130	26
8	./maps/StageA/ptsp_map56.map	0	1000	50133	27
9	./maps/StageA/ptsp_map56.map	1	1300	50138	24
10	./maps/StageA/ptsp_map56.map	0	1000	50133	26
1	./maps/StageA/ptsp_map08.map	6	2639	50144	24
2	./maps/StageA/ptsp_map08.map	4	2136	50140	23
3	./maps/StageA/ptsp_map08.map	7	2575	50142	24
4	./maps/StageA/ptsp_map08.map	8	3654	50143	26
5	./maps/StageA/ptsp_map08.map	8	2756	50144	25
6	./maps/StageA/ptsp_map08.map	10	3066	50140	25
7	./maps/StageA/ptsp_map08.map	5	1837	50138	25
8	./maps/StageA/ptsp_map08.map	0	1000	50125	26
9	./maps/StageA/ptsp_map08.map	6	2137	50138	24
10	./maps/StageA/ptsp_map08.map	6	2008	50141	22
1	./maps/StageA/ptsp_map40.map	5	2405	50140	22
2	./maps/StageA/ptsp_map40.map	5	1866	50141	22
3	./maps/StageA/ptsp_map40.map	8	4298	50145	22
4	./maps/StageA/ptsp_map40.map	4	2295	50139	22
5	./maps/StageA/ptsp_map40.map	2	1587	50133	23
6	./maps/StageA/ptsp_map40.map	3	1560	50138	23
7	./maps/StageA/ptsp_map40.map	5	2377	50139	23
8	./maps/StageA/ptsp_map40.map	6	2398	50138	23
9	./maps/StageA/ptsp_map40.map	4	2110	50137	24
10	./maps/StageA/ptsp_map40.map	3	1585	50129	25
1	./maps/StageA/ptsp_map45.map	1	1462	50136	25
2	./maps/StageA/ptsp_map45.map	0	1000	50128	25
3	./maps/StageA/ptsp_map45.map	1	1473	50137	24
4	./maps/StageA/ptsp_map45.map	1	1437	50135	25
5	./maps/StageA/ptsp_map45.map	1	1362	50134	25
6	./maps/StageA/ptsp_map45.map	1	1763	50138	26
7	./maps/StageA/ptsp_map45.map	1	1501	50137	24
8	./maps/StageA/ptsp_map45.map	2	2181	50139	25
9	./maps/StageA/ptsp_map45.map	2	1774	50137	22
10	./maps/StageA/ptsp_map45.map	1	1255	50133	24
1	./maps/StageA/ptsp_map35.map	3	1727	50135	23
2	./maps/StageA/ptsp_map35.map	3	1494	50131	23
3	./maps/StageA/ptsp_map35.map	1	1248	50137	23
4	./maps/StageA/ptsp_map35.map	3	2182	50141	23
5	./maps/StageA/ptsp_map35.map	5	2122	50138	24
6	./maps/StageA/ptsp_map35.map	2	1393	50135	22
7	./maps/StageA/ptsp_map35.map	3	1590	50133	22
8	./maps/StageA/ptsp_map35.map	1	1246	50136	22
9	./maps/StageA/ptsp_map35.map	4	2464	50139	24
10	./maps/StageA/ptsp_map35.map	4	2519	50140	24
1	./maps/StageA/ptsp_map02.map	10	1810	50137	21
2	./maps/StageA/ptsp_map02.map	5	2004	50138	23
3	./maps/StageA/ptsp_map02.map	10	3133	50143	22
4	./maps/StageA/ptsp_map02.map	5	1972	50140	23
5	./maps/StageA/ptsp_map02.map	9	2631	50141	24
6	./maps/StageA/ptsp_map02.map	6	2446	50141	20
7	./maps/StageA/ptsp_map02.map	6	2633	50138	22
8	./maps/StageA/ptsp_map02.map	5	2398	50140	22
9	./maps/StageA/ptsp_map02.map	6	2344	50141	22
10	./maps/StageA/ptsp_map02.map	5	1906	50139	22
1	./maps/StageA/ptsp_map01.map	10	2500	50141	24
2	./maps/StageA/ptsp_map01.map	9	2923	50141	26
3	./maps/StageA/ptsp_map01.map	7	3198	50140	23
4	./maps/StageA/ptsp_map01.map	7	2687	50144	23
5	./maps/StageA/ptsp_map01.map	4	2157	50139	22
6	./maps/StageA/ptsp_map01.map	5	1895	50137	22
7	./maps/StageA/ptsp_map01.map	10	3968	50143	22
8	./maps/StageA/ptsp_map01.map	6	2083	50136	24
9	./maps/StageA/ptsp_map01.map	4	2246	50140	26
10	./maps/StageA/ptsp_map01.map	10	2608	50140	23
