Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	9	3228	50213	25
2	./maps/StageA/ptsp_map24.map	9	3127	50212	25
3	./maps/StageA/ptsp_map24.map	5	2248	50209	24
4	./maps/StageA/ptsp_map24.map	9	3053	50213	25
5	./maps/StageA/ptsp_map24.map	4	1912	50220	24
6	./maps/StageA/ptsp_map24.map	5	2035	50215	23
7	./maps/StageA/ptsp_map24.map	9	3347	50220	24
8	./maps/StageA/ptsp_map24.map	3	1451	50205	24
9	./maps/StageA/ptsp_map24.map	10	3120	50214	24
10	./maps/StageA/ptsp_map24.map	8	3231	50223	23
1	./maps/StageA/ptsp_map61.map	6	2034	50216	23
2	./maps/StageA/ptsp_map61.map	9	3160	50217	25
3	./maps/StageA/ptsp_map61.map	7	2339	50213	24
4	./maps/StageA/ptsp_map61.map	7	2715	50219	25
5	./maps/StageA/ptsp_map61.map	3	1441	50206	23
6	./maps/StageA/ptsp_map61.map	9	3038	50223	23
7	./maps/StageA/ptsp_map61.map	9	2654	50218	24
8	./maps/StageA/ptsp_map61.map	6	1839	50211	23
9	./maps/StageA/ptsp_map61.map	6	2259	50223	23
10	./maps/StageA/ptsp_map61.map	10	2183	50220	22
1	./maps/StageA/ptsp_map19.map	8	2523	50221	23
2	./maps/StageA/ptsp_map19.map	3	1520	50199	23
3	./maps/StageA/ptsp_map19.map	5	2243	50211	24
4	./maps/StageA/ptsp_map19.map	6	2319	50207	24
5	./maps/StageA/ptsp_map19.map	8	2907	50219	25
6	./maps/StageA/ptsp_map19.map	3	1555	50195	23
7	./maps/StageA/ptsp_map19.map	3	1607	50206	22
8	./maps/StageA/ptsp_map19.map	3	1521	50198	22
9	./maps/StageA/ptsp_map19.map	5	1974	50219	24
10	./maps/StageA/ptsp_map19.map	6	2302	50217	24
1	./maps/StageA/ptsp_map56.map	3	1574	50210	24
2	./maps/StageA/ptsp_map56.map	3	1673	50206	22
3	./maps/StageA/ptsp_map56.map	2	1478	50195	24
4	./maps/StageA/ptsp_map56.map	3	1775	50212	22
5	./maps/StageA/ptsp_map56.map	9	3473	50216	24
6	./maps/StageA/ptsp_map56.map	2	1400	50202	24
7	./maps/StageA/ptsp_map56.map	7	3050	50215	24
8	./maps/StageA/ptsp_map56.map	5	2572	50217	25
9	./maps/StageA/ptsp_map56.map	7	3414	50213	25
10	./maps/StageA/ptsp_map56.map	8	3214	50214	24
1	./maps/StageA/ptsp_map08.map	10	1754	50204	23
2	./maps/StageA/ptsp_map08.map	10	1976	50206	23
3	./maps/StageA/ptsp_map08.map	6	2549	50223	24
4	./maps/StageA/ptsp_map08.map	8	3028	50229	23
5	./maps/StageA/ptsp_map08.map	9	2775	50213	24
6	./maps/StageA/ptsp_map08.map	9	2918	50222	24
7	./maps/StageA/ptsp_map08.map	7	2319	50213	24
8	./maps/StageA/ptsp_map08.map	6	2151	50224	24
9	./maps/StageA/ptsp_map08.map	10	2280	50211	24
10	./maps/StageA/ptsp_map08.map	10	2048	50213	23
1	./maps/StageA/ptsp_map40.map	10	1932	50210	24
2	./maps/StageA/ptsp_map40.map	10	2033	50208	23
3	./maps/StageA/ptsp_map40.map	7	2529	50214	23
4	./maps/StageA/ptsp_map40.map	3	1497	50205	23
5	./maps/StageA/ptsp_map40.map	9	2874	50221	23
6	./maps/StageA/ptsp_map40.map	6	2154	50218	23
7	./maps/StageA/ptsp_map40.map	9	2992	50222	24
8	./maps/StageA/ptsp_map40.map	8	2693	50215	24
9	./maps/StageA/ptsp_map40.map	3	1419	50204	22
10	./maps/StageA/ptsp_map40.map	10	2713	50215	23
1	./maps/StageA/ptsp_map45.map	9	3529	50222	24
2	./maps/StageA/ptsp_map45.map	10	2351	50209	24
3	./maps/StageA/ptsp_map45.map	9	3837	50217	24
4	./maps/StageA/ptsp_map45.map	9	3526	50220	25
5	./maps/StageA/ptsp_map45.map	2	1491	50204	23
