Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	3	1449	50238	23
2	./maps/StageA/ptsp_map24.map	5	2422	50263	21
3	./maps/StageA/ptsp_map24.map	3	1504	50246	23
4	./maps/StageA/ptsp_map24.map	5	2432	50279	22
5	./maps/StageA/ptsp_map24.map	5	2158	50245	24
6	./maps/StageA/ptsp_map24.map	1	1291	50202	21
7	./maps/StageA/ptsp_map24.map	4	2103	50269	22
8	./maps/StageA/ptsp_map24.map	3	1443	50247	23
9	./maps/StageA/ptsp_map24.map	3	1398	50246	21
10	./maps/StageA/ptsp_map24.map	3	1578	50249	22
1	./maps/StageA/ptsp_map61.map	4	1668	50254	21
2	./maps/StageA/ptsp_map61.map	7	2161	50273	21
3	./maps/StageA/ptsp_map61.map	6	2052	50261	23
4	./maps/StageA/ptsp_map61.map	7	1988	50265	21
5	./maps/StageA/ptsp_map61.map	7	2289	50237	22
6	./maps/StageA/ptsp_map61.map	8	3319	50262	25
7	./maps/StageA/ptsp_map61.map	7	2334	50242	23
8	./maps/StageA/ptsp_map61.map	5	1916	50219	24
9	./maps/StageA/ptsp_map61.map	5	1871	50220	24
10	./maps/StageA/ptsp_map61.map	7	2514	50252	24
1	./maps/StageA/ptsp_map19.map	3	1850	50265	24
2	./maps/StageA/ptsp_map19.map	6	1937	50247	24
3	./maps/StageA/ptsp_map19.map	5	1873	50264	25
4	./maps/StageA/ptsp_map19.map	2	1314	50237	25
5	./maps/StageA/ptsp_map19.map	8	2600	50265	24
6	./maps/StageA/ptsp_map19.map	6	1930	50255	24
7	./maps/StageA/ptsp_map19.map	7	2812	50264	24
8	./maps/StageA/ptsp_map19.map	5	1820	50255	26
9	./maps/StageA/ptsp_map19.map	4	2693	50277	25
10	./maps/StageA/ptsp_map19.map	3	1844	50237	24
1	./maps/StageA/ptsp_map56.map	3	1534	50262	26
2	./maps/StageA/ptsp_map56.map	3	2100	50244	25
3	./maps/StageA/ptsp_map56.map	2	1497	50224	24
4	./maps/StageA/ptsp_map56.map	2	1467	50206	25
5	./maps/StageA/ptsp_map56.map	2	1438	50202	26
