Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	2	1464	64049	33
2	./maps/StageA/ptsp_map24.map	0	1000	60490	32
3	./maps/StageA/ptsp_map24.map	0	1000	60986	31
4	./maps/StageA/ptsp_map24.map	1	1164	62228	32
5	./maps/StageA/ptsp_map24.map	1	1166	63041	31
6	./maps/StageA/ptsp_map24.map	2	1361	63615	34
7	./maps/StageA/ptsp_map24.map	6	2325	67003	34
8	./maps/StageA/ptsp_map24.map	4	1876	66299	33
9	./maps/StageA/ptsp_map24.map	3	1486	64366	33
10	./maps/StageA/ptsp_map24.map	3	1634	64914	34
1	./maps/StageA/ptsp_map61.map	2	1320	63533	34
2	./maps/StageA/ptsp_map61.map	4	1808	65899	34
3	./maps/StageA/ptsp_map61.map	3	1474	64716	34
4	./maps/StageA/ptsp_map61.map	5	1904	66198	36
5	./maps/StageA/ptsp_map61.map	2	1274	63246	34
6	./maps/StageA/ptsp_map61.map	1	1174	62609	31
7	./maps/StageA/ptsp_map61.map	7	2205	66763	35
8	./maps/StageA/ptsp_map61.map	3	1396	64505	33
9	./maps/StageA/ptsp_map61.map	3	1528	64453	35
10	./maps/StageA/ptsp_map61.map	5	1920	65849	36
1	./maps/StageA/ptsp_map19.map	0	1000	60857	32
2	./maps/StageA/ptsp_map19.map	3	1534	64539	33
3	./maps/StageA/ptsp_map19.map	3	1507	64743	32
4	./maps/StageA/ptsp_map19.map	2	1341	63868	31
5	./maps/StageA/ptsp_map19.map	10	2565	70900	35
6	./maps/StageA/ptsp_map19.map	3	1588	64681	34
7	./maps/StageA/ptsp_map19.map	0	1000	60881	32
8	./maps/StageA/ptsp_map19.map	3	1523	65350	34
9	./maps/StageA/ptsp_map19.map	1	1215	62626	33
10	./maps/StageA/ptsp_map19.map	1	1309	63588	33
1	./maps/StageA/ptsp_map56.map	2	1457	64111	33
2	./maps/StageA/ptsp_map56.map	2	1485	64204	33
3	./maps/StageA/ptsp_map56.map	0	1000	60451	31
4	./maps/StageA/ptsp_map56.map	0	1000	60638	33
5	./maps/StageA/ptsp_map56.map	0	1000	60438	32
6	./maps/StageA/ptsp_map56.map	0	1000	60568	34
7	./maps/StageA/ptsp_map56.map	0	1000	60409	33
8	./maps/StageA/ptsp_map56.map	0	1000	60884	29
9	./maps/StageA/ptsp_map56.map	0	1000	60460	30
10	./maps/StageA/ptsp_map56.map	0	1000	60753	32
1	./maps/StageA/ptsp_map08.map	3	1338	63612	32
2	./maps/StageA/ptsp_map08.map	4	1598	65379	33
3	./maps/StageA/ptsp_map08.map	8	2140	66647	35
4	./maps/StageA/ptsp_map08.map	7	2042	66573	34
5	./maps/StageA/ptsp_map08.map	6	1977	66140	35
6	./maps/StageA/ptsp_map08.map	5	1976	66187	35
7	./maps/StageA/ptsp_map08.map	6	1913	66446	34
8	./maps/StageA/ptsp_map08.map	6	1939	66420	35
9	./maps/StageA/ptsp_map08.map	4	1490	64378	34
10	./maps/StageA/ptsp_map08.map	0	1000	61636	31
1	./maps/StageA/ptsp_map40.map	8	2360	67153	35
2	./maps/StageA/ptsp_map40.map	2	1417	64064	32
3	./maps/StageA/ptsp_map40.map	0	1000	61333	30
4	./maps/StageA/ptsp_map40.map	7	2370	67110	35
5	./maps/StageA/ptsp_map40.map	6	2139	66638	34
6	./maps/StageA/ptsp_map40.map	3	1464	64401	32
7	./maps/StageA/ptsp_map40.map	4	1884	66204	33
8	./maps/StageA/ptsp_map40.map	1	1263	63501	32
9	./maps/StageA/ptsp_map40.map	5	1923	66524	34
10	./maps/StageA/ptsp_map40.map	0	1000	61734	32
1	./maps/StageA/ptsp_map45.map	1	1221	62610	32
2	./maps/StageA/ptsp_map45.map	0	1000	61371	31
3	./maps/StageA/ptsp_map45.map	0	1000	61704	32
4	./maps/StageA/ptsp_map45.map	1	1236	62538	32
5	./maps/StageA/ptsp_map45.map	1	1200	62263	33
6	./maps/StageA/ptsp_map45.map	1	1269	62900	33
7	./maps/StageA/ptsp_map45.map	0	1000	60926	33
8	./maps/StageA/ptsp_map45.map	0	1000	60563	33
9	./maps/StageA/ptsp_map45.map	0	1000	60623	32
10	./maps/StageA/ptsp_map45.map	0	1000	60424	31
1	./maps/StageA/ptsp_map35.map	4	1817	65950	33
2	./maps/StageA/ptsp_map35.map	2	1252	62824	33
3	./maps/StageA/ptsp_map35.map	4	1896	66168	35
4	./maps/StageA/ptsp_map35.map	3	1524	64657	32
5	./maps/StageA/ptsp_map35.map	2	1342	63915	33
6	./maps/StageA/ptsp_map35.map	2	1262	63298	31
7	./maps/StageA/ptsp_map35.map	3	1430	64158	32
8	./maps/StageA/ptsp_map35.map	4	1676	65058	34
9	./maps/StageA/ptsp_map35.map	5	1973	66150	34
10	./maps/StageA/ptsp_map35.map	3	1435	64346	33
1	./maps/StageA/ptsp_map02.map	4	1659	65625	32
2	./maps/StageA/ptsp_map02.map	6	1952	66535	34
3	./maps/StageA/ptsp_map02.map	5	1880	66209	34
4	./maps/StageA/ptsp_map02.map	0	1000	61034	33
5	./maps/StageA/ptsp_map02.map	5	1850	65844	35
6	./maps/StageA/ptsp_map02.map	3	1502	64780	33
7	./maps/StageA/ptsp_map02.map	3	1368	64447	32
8	./maps/StageA/ptsp_map02.map	2	1399	64564	32
9	./maps/StageA/ptsp_map02.map	5	1690	65175	34
10	./maps/StageA/ptsp_map02.map	3	1491	64961	32
1	./maps/StageA/ptsp_map01.map	4	1808	66120	33
2	./maps/StageA/ptsp_map01.map	0	1000	61297	32
3	./maps/StageA/ptsp_map01.map	2	1606	65110	33
4	./maps/StageA/ptsp_map01.map	2	1602	64718	33
5	./maps/StageA/ptsp_map01.map	2	1370	64013	34
6	./maps/StageA/ptsp_map01.map	3	1691	65459	31
7	./maps/StageA/ptsp_map01.map	0	1000	61003	31
8	./maps/StageA/ptsp_map01.map	0	1000	61169	30
9	./maps/StageA/ptsp_map01.map	0	1000	61714	32
10	./maps/StageA/ptsp_map01.map	3	1429	64063	33
