Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	10	2520	50481	23
2	./maps/StageA/ptsp_map24.map	8	2349	50426	24
3	./maps/StageA/ptsp_map24.map	8	2409	50430	24
4	./maps/StageA/ptsp_map24.map	6	2032	50416	24
5	./maps/StageA/ptsp_map24.map	9	3045	50448	24
6	./maps/StageA/ptsp_map24.map	10	1905	50477	23
7	./maps/StageA/ptsp_map24.map	10	2265	50485	23
8	./maps/StageA/ptsp_map24.map	9	2694	50440	24
9	./maps/StageA/ptsp_map24.map	8	2431	50434	24
10	./maps/StageA/ptsp_map24.map	8	2393	50429	24
1	./maps/StageA/ptsp_map61.map	10	1763	50473	22
2	./maps/StageA/ptsp_map61.map	10	1286	50469	23
3	./maps/StageA/ptsp_map61.map	10	1735	50470	24
4	./maps/StageA/ptsp_map61.map	10	1773	50473	25
5	./maps/StageA/ptsp_map61.map	10	1410	50472	25
6	./maps/StageA/ptsp_map61.map	10	1419	50474	24
7	./maps/StageA/ptsp_map61.map	10	1751	50472	26
8	./maps/StageA/ptsp_map61.map	10	1854	50476	26
9	./maps/StageA/ptsp_map61.map	10	1463	50459	26
10	./maps/StageA/ptsp_map61.map	10	1392	50463	24
1	./maps/StageA/ptsp_map19.map	8	2176	50425	27
2	./maps/StageA/ptsp_map19.map	10	2059	50476	25
3	./maps/StageA/ptsp_map19.map	10	1677	50473	25
4	./maps/StageA/ptsp_map19.map	8	2279	50426	27
5	./maps/StageA/ptsp_map19.map	10	1747	50479	25
6	./maps/StageA/ptsp_map19.map	10	1616	50473	25
7	./maps/StageA/ptsp_map19.map	10	1869	50478	25
8	./maps/StageA/ptsp_map19.map	8	2054	50410	28
9	./maps/StageA/ptsp_map19.map	10	1752	50473	26
10	./maps/StageA/ptsp_map19.map	10	1717	50478	24
1	./maps/StageA/ptsp_map56.map	8	3109	50450	27
2	./maps/StageA/ptsp_map56.map	7	2372	50432	27
3	./maps/StageA/ptsp_map56.map	8	2758	50441	26
4	./maps/StageA/ptsp_map56.map	2	1337	50371	26
5	./maps/StageA/ptsp_map56.map	2	1414	50378	27
6	./maps/StageA/ptsp_map56.map	2	1445	50380	26
7	./maps/StageA/ptsp_map56.map	5	2124	50420	27
8	./maps/StageA/ptsp_map56.map	9	3225	50451	28
9	./maps/StageA/ptsp_map56.map	2	1374	50372	27
10	./maps/StageA/ptsp_map56.map	4	1943	50413	28
1	./maps/StageA/ptsp_map08.map	10	1623	50480	25
2	./maps/StageA/ptsp_map08.map	10	1363	50465	25
3	./maps/StageA/ptsp_map08.map	10	1440	50469	24
4	./maps/StageA/ptsp_map08.map	10	1489	50473	25
5	./maps/StageA/ptsp_map08.map	10	1572	50467	26
6	./maps/StageA/ptsp_map08.map	10	1830	50480	25
7	./maps/StageA/ptsp_map08.map	10	1347	50470	24
8	./maps/StageA/ptsp_map08.map	10	1403	50463	26
9	./maps/StageA/ptsp_map08.map	8	2203	50419	27
10	./maps/StageA/ptsp_map08.map	10	1722	50479	24
1	./maps/StageA/ptsp_map40.map	10	1407	50469	25
2	./maps/StageA/ptsp_map40.map	10	1530	50478	25
3	./maps/StageA/ptsp_map40.map	10	1440	50473	26
4	./maps/StageA/ptsp_map40.map	10	1334	50469	26
5	./maps/StageA/ptsp_map40.map	10	1340	50471	24
6	./maps/StageA/ptsp_map40.map	10	1395	50473	25
7	./maps/StageA/ptsp_map40.map	8	2210	50423	27
8	./maps/StageA/ptsp_map40.map	10	1523	50476	25
9	./maps/StageA/ptsp_map40.map	10	1702	50477	25
10	./maps/StageA/ptsp_map40.map	10	1995	50484	26
1	./maps/StageA/ptsp_map45.map	2	1657	50392	26
2	./maps/StageA/ptsp_map45.map	9	2589	50438	27
3	./maps/StageA/ptsp_map45.map	2	1508	50385	27
4	./maps/StageA/ptsp_map45.map	2	1477	50383	26
5	./maps/StageA/ptsp_map45.map	2	1462	50380	27
6	./maps/StageA/ptsp_map45.map	2	1568	50389	27
7	./maps/StageA/ptsp_map45.map	10	2307	50487	25
8	./maps/StageA/ptsp_map45.map	2	1477	50383	26
9	./maps/StageA/ptsp_map45.map	2	1536	50384	27
10	./maps/StageA/ptsp_map45.map	2	1432	50379	27
1	./maps/StageA/ptsp_map35.map	10	2097	50485	24
2	./maps/StageA/ptsp_map35.map	8	2384	50430	27
3	./maps/StageA/ptsp_map35.map	9	2677	50440	27
4	./maps/StageA/ptsp_map35.map	9	3023	50448	27
5	./maps/StageA/ptsp_map35.map	9	2480	50435	27
6	./maps/StageA/ptsp_map35.map	10	1931	50487	25
7	./maps/StageA/ptsp_map35.map	10	1962	50488	26
8	./maps/StageA/ptsp_map35.map	9	2548	50436	27
9	./maps/StageA/ptsp_map35.map	10	2100	50486	24
10	./maps/StageA/ptsp_map35.map	8	2508	50436	26
1	./maps/StageA/ptsp_map02.map	10	1631	50475	25
2	./maps/StageA/ptsp_map02.map	10	1602	50472	25
3	./maps/StageA/ptsp_map02.map	10	1342	50463	24
4	./maps/StageA/ptsp_map02.map	10	1374	50470	26
5	./maps/StageA/ptsp_map02.map	10	1269	50473	25
6	./maps/StageA/ptsp_map02.map	10	1358	50473	25
7	./maps/StageA/ptsp_map02.map	10	1627	50478	24
8	./maps/StageA/ptsp_map02.map	10	1354	50463	24
9	./maps/StageA/ptsp_map02.map	10	1462	50467	25
10	./maps/StageA/ptsp_map02.map	10	1376	50469	23
1	./maps/StageA/ptsp_map01.map	10	1648	50477	25
2	./maps/StageA/ptsp_map01.map	10	1689	50476	25
3	./maps/StageA/ptsp_map01.map	10	1469	50476	24
4	./maps/StageA/ptsp_map01.map	8	2437	50433	27
5	./maps/StageA/ptsp_map01.map	10	1695	50473	25
6	./maps/StageA/ptsp_map01.map	10	1645	50478	26
7	./maps/StageA/ptsp_map01.map	10	1571	50473	25
8	./maps/StageA/ptsp_map01.map	9	2435	50434	27
9	./maps/StageA/ptsp_map01.map	10	1470	50475	25
10	./maps/StageA/ptsp_map01.map	10	1598	50474	25
