Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	100	9299	50049	58
2	maps/StageA/ptsp_map01.map	100	9782	50050	56
3	maps/StageA/ptsp_map01.map	100	7916	50050	55
4	maps/StageA/ptsp_map01.map	100	8774	50050	55
5	maps/StageA/ptsp_map01.map	100	9435	50050	57
6	maps/StageA/ptsp_map01.map	99	8969	50050	58
7	maps/StageA/ptsp_map01.map	100	9577	50052	55
8	maps/StageA/ptsp_map01.map	98	10039	50050	55
9	maps/StageA/ptsp_map01.map	100	9274	50051	55
10	maps/StageA/ptsp_map01.map	96	9023	50050	55
1	maps/StageA/ptsp_map02.map	100	8758	50051	55
2	maps/StageA/ptsp_map02.map	97	9298	50053	56
3	maps/StageA/ptsp_map02.map	100	8699	50050	55
4	maps/StageA/ptsp_map02.map	99	10792	50053	57
5	maps/StageA/ptsp_map02.map	100	8801	50054	55
6	maps/StageA/ptsp_map02.map	94	7321	50052	54
7	maps/StageA/ptsp_map02.map	100	8334	50051	55
8	maps/StageA/ptsp_map02.map	100	8662	50055	54
9	maps/StageA/ptsp_map02.map	98	8826	50055	56
10	maps/StageA/ptsp_map02.map	98	9138	50055	58
1	maps/StageA/ptsp_map08.map	98	8176	50049	54
2	maps/StageA/ptsp_map08.map	100	7881	50049	53
3	maps/StageA/ptsp_map08.map	97	8680	50048	55
4	maps/StageA/ptsp_map08.map	96	7568	50054	54
5	maps/StageA/ptsp_map08.map	97	9260	50049	56
6	maps/StageA/ptsp_map08.map	94	7703	50048	54
7	maps/StageA/ptsp_map08.map	100	7474	50050	55
8	maps/StageA/ptsp_map08.map	100	7990	50052	56
9	maps/StageA/ptsp_map08.map	97	8097	50051	55
10	maps/StageA/ptsp_map08.map	98	9005	50052	55
1	maps/StageA/ptsp_map19.map	95	10800	50051	57
2	maps/StageA/ptsp_map19.map	91	10142	50054	56
3	maps/StageA/ptsp_map19.map	89	8574	50053	56
4	maps/StageA/ptsp_map19.map	87	10231	50052	57
5	maps/StageA/ptsp_map19.map	99	12971	50054	62
6	maps/StageA/ptsp_map19.map	97	11024	50050	57
7	maps/StageA/ptsp_map19.map	100	11609	50053	56
8	maps/StageA/ptsp_map19.map	98	11807	50053	57
9	maps/StageA/ptsp_map19.map	84	8757	50052	56
10	maps/StageA/ptsp_map19.map	97	12183	50051	61
1	maps/StageA/ptsp_map24.map	93	10437	50052	57
2	maps/StageA/ptsp_map24.map	81	7581	50054	55
3	maps/StageA/ptsp_map24.map	92	8862	50052	55
4	maps/StageA/ptsp_map24.map	83	7853	50050	55
5	maps/StageA/ptsp_map24.map	97	9832	50053	56
6	maps/StageA/ptsp_map24.map	99	10148	50051	56
7	maps/StageA/ptsp_map24.map	92	8168	50052	55
8	maps/StageA/ptsp_map24.map	99	11767	50051	57
9	maps/StageA/ptsp_map24.map	98	9909	50052	56
10	maps/StageA/ptsp_map24.map	89	10559	50054	57
1	maps/StageA/ptsp_map35.map	89	7704	50050	54
2	maps/StageA/ptsp_map35.map	86	7724	50053	55
3	maps/StageA/ptsp_map35.map	98	7827	50051	54
4	maps/StageA/ptsp_map35.map	100	8759	50055	54
5	maps/StageA/ptsp_map35.map	98	9957	50051	56
6	maps/StageA/ptsp_map35.map	91	7323	50052	54
7	maps/StageA/ptsp_map35.map	94	8890	50055	54
8	maps/StageA/ptsp_map35.map	67	5961	50055	55
9	maps/StageA/ptsp_map35.map	89	7373	50051	54
10	maps/StageA/ptsp_map35.map	100	8061	50052	53
1	maps/StageA/ptsp_map40.map	99	10200	50053	56
2	maps/StageA/ptsp_map40.map	90	7906	50050	54
3	maps/StageA/ptsp_map40.map	99	9386	50049	55
4	maps/StageA/ptsp_map40.map	96	7693	50054	55
5	maps/StageA/ptsp_map40.map	100	9214	50050	54
6	maps/StageA/ptsp_map40.map	100	8994	50050	54
7	maps/StageA/ptsp_map40.map	99	9204	50051	55
8	maps/StageA/ptsp_map40.map	99	9734	50049	56
9	maps/StageA/ptsp_map40.map	99	9072	50051	56
10	maps/StageA/ptsp_map40.map	98	8808	50049	58
1	maps/StageA/ptsp_map45.map	83	7216	50057	55
2	maps/StageA/ptsp_map45.map	53	6042	50058	56
3	maps/StageA/ptsp_map45.map	73	7144	50057	55
4	maps/StageA/ptsp_map45.map	19	2508	50068	57
5	maps/StageA/ptsp_map45.map	79	6836	50052	55
6	maps/StageA/ptsp_map45.map	71	6413	50052	55
7	maps/StageA/ptsp_map45.map	95	9911	50053	60
8	maps/StageA/ptsp_map45.map	80	8334	50055	57
9	maps/StageA/ptsp_map45.map	78	7999	50052	56
10	maps/StageA/ptsp_map45.map	72	7583	50056	55
1	maps/StageA/ptsp_map56.map	25	3971	50057	57
2	maps/StageA/ptsp_map56.map	69	9142	50054	55
3	maps/StageA/ptsp_map56.map	35	5826	50060	56
4	maps/StageA/ptsp_map56.map	12	3292	50068	58
5	maps/StageA/ptsp_map56.map	53	7527	50052	55
6	maps/StageA/ptsp_map56.map	4	1791	50073	57
7	maps/StageA/ptsp_map56.map	19	4428	50060	56
8	maps/StageA/ptsp_map56.map	55	7735	50057	55
9	maps/StageA/ptsp_map56.map	61	7650	50054	57
10	maps/StageA/ptsp_map56.map	56	9131	50052	56
1	maps/StageA/ptsp_map61.map	100	10376	50054	54
2	maps/StageA/ptsp_map61.map	100	9978	50049	53
