Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	100	6438	50304	58
2	maps/StageA/ptsp_map01.map	100	6539	50305	58
3	maps/StageA/ptsp_map01.map	100	6900	50305	58
4	maps/StageA/ptsp_map01.map	100	6119	50304	58
5	maps/StageA/ptsp_map01.map	100	6360	50306	59
6	maps/StageA/ptsp_map01.map	100	7500	50308	60
7	maps/StageA/ptsp_map01.map	100	6494	50305	59
8	maps/StageA/ptsp_map01.map	100	7032	50307	59
9	maps/StageA/ptsp_map01.map	100	6137	50304	58
10	maps/StageA/ptsp_map01.map	100	6843	50307	59
1	maps/StageA/ptsp_map02.map	100	6682	50302	57
2	maps/StageA/ptsp_map02.map	100	6070	50304	56
3	maps/StageA/ptsp_map02.map	97	7347	50303	57
4	maps/StageA/ptsp_map02.map	100	6208	50304	57
5	maps/StageA/ptsp_map02.map	100	6300	50304	57
6	maps/StageA/ptsp_map02.map	99	6738	50303	57
7	maps/StageA/ptsp_map02.map	100	6181	50302	56
8	maps/StageA/ptsp_map02.map	100	6300	50304	57
9	maps/StageA/ptsp_map02.map	100	6974	50302	57
10	maps/StageA/ptsp_map02.map	100	6653	50306	57
1	maps/StageA/ptsp_map08.map	100	6295	50306	55
2	maps/StageA/ptsp_map08.map	100	5996	50303	56
3	maps/StageA/ptsp_map08.map	100	5530	50305	55
4	maps/StageA/ptsp_map08.map	100	6735	50305	57
5	maps/StageA/ptsp_map08.map	100	6160	50302	55
6	maps/StageA/ptsp_map08.map	100	5978	50304	55
7	maps/StageA/ptsp_map08.map	100	6164	50305	55
8	maps/StageA/ptsp_map08.map	100	6290	50306	56
9	maps/StageA/ptsp_map08.map	100	5895	50301	55
10	maps/StageA/ptsp_map08.map	100	6594	50304	57
1	maps/StageA/ptsp_map19.map	99	9269	50304	58
2	maps/StageA/ptsp_map19.map	100	8590	50305	58
3	maps/StageA/ptsp_map19.map	94	7932	50305	58
4	maps/StageA/ptsp_map19.map	100	8457	50308	58
5	maps/StageA/ptsp_map19.map	100	8748	50303	58
6	maps/StageA/ptsp_map19.map	100	9554	50308	58
7	maps/StageA/ptsp_map19.map	100	8115	50308	58
8	maps/StageA/ptsp_map19.map	100	8224	50307	57
9	maps/StageA/ptsp_map19.map	91	7727	50304	58
10	maps/StageA/ptsp_map19.map	98	8092	50304	57
1	maps/StageA/ptsp_map24.map	96	7010	50301	56
2	maps/StageA/ptsp_map24.map	99	8095	50305	58
3	maps/StageA/ptsp_map24.map	97	7393	50302	57
4	maps/StageA/ptsp_map24.map	100	7570	50307	57
5	maps/StageA/ptsp_map24.map	98	7876	50300	57
6	maps/StageA/ptsp_map24.map	100	7002	50304	58
7	maps/StageA/ptsp_map24.map	100	7485	50306	58
8	maps/StageA/ptsp_map24.map	94	7073	50302	57
9	maps/StageA/ptsp_map24.map	100	7933	50307	57
10	maps/StageA/ptsp_map24.map	100	7263	50306	57
1	maps/StageA/ptsp_map35.map	98	7434	50303	57
2	maps/StageA/ptsp_map35.map	100	5696	50301	56
3	maps/StageA/ptsp_map35.map	100	6038	50301	56
4	maps/StageA/ptsp_map35.map	100	6760	50304	56
5	maps/StageA/ptsp_map35.map	100	6336	50303	56
6	maps/StageA/ptsp_map35.map	100	6888	50304	56
7	maps/StageA/ptsp_map35.map	97	6814	50301	56
8	maps/StageA/ptsp_map35.map	100	6191	50301	56
9	maps/StageA/ptsp_map35.map	100	6575	50304	56
10	maps/StageA/ptsp_map35.map	100	6356	50302	57
1	maps/StageA/ptsp_map40.map	100	6493	50305	57
2	maps/StageA/ptsp_map40.map	100	6622	50303	57
3	maps/StageA/ptsp_map40.map	100	7057	50306	56
4	maps/StageA/ptsp_map40.map	100	5474	50302	56
5	maps/StageA/ptsp_map40.map	100	5534	50301	56
6	maps/StageA/ptsp_map40.map	100	6477	50306	56
7	maps/StageA/ptsp_map40.map	100	6417	50304	57
8	maps/StageA/ptsp_map40.map	100	5072	50301	56
9	maps/StageA/ptsp_map40.map	100	6162	50306	56
10	maps/StageA/ptsp_map40.map	100	6180	50302	56
1	maps/StageA/ptsp_map45.map	99	7920	50302	57
2	maps/StageA/ptsp_map45.map	100	7733	50305	58
3	maps/StageA/ptsp_map45.map	98	7613	50302	57
4	maps/StageA/ptsp_map45.map	97	7577	50302	57
5	maps/StageA/ptsp_map45.map	97	7839	50304	58
