Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	4	1522	50162	21
2	maps/StageA/ptsp_map01.map	5	1212	50170	21
3	maps/StageA/ptsp_map01.map	5	1080	50169	20
4	maps/StageA/ptsp_map01.map	5	1476	50172	21
5	maps/StageA/ptsp_map01.map	2	1368	50159	21
6	maps/StageA/ptsp_map01.map	5	1056	50176	20
7	maps/StageA/ptsp_map01.map	5	1090	50173	20
8	maps/StageA/ptsp_map01.map	5	1147	50164	20
9	maps/StageA/ptsp_map01.map	5	1238	50165	20
10	maps/StageA/ptsp_map01.map	5	1109	50173	20
1	maps/StageA/ptsp_map02.map	5	1243	50175	21
2	maps/StageA/ptsp_map02.map	5	939	50172	20
3	maps/StageA/ptsp_map02.map	5	1162	50175	20
4	maps/StageA/ptsp_map02.map	5	1264	50171	20
5	maps/StageA/ptsp_map02.map	5	763	50174	20
6	maps/StageA/ptsp_map02.map	5	1017	50177	20
7	maps/StageA/ptsp_map02.map	5	1085	50173	19
8	maps/StageA/ptsp_map02.map	5	819	50172	21
9	maps/StageA/ptsp_map02.map	5	1304	50174	20
10	maps/StageA/ptsp_map02.map	5	1275	50165	21
1	maps/StageA/ptsp_map08.map	5	1079	50173	21
2	maps/StageA/ptsp_map08.map	5	1031	50176	21
3	maps/StageA/ptsp_map08.map	5	968	50177	20
4	maps/StageA/ptsp_map08.map	5	1210	50172	21
5	maps/StageA/ptsp_map08.map	5	1164	50175	21
6	maps/StageA/ptsp_map08.map	5	1000	50175	20
7	maps/StageA/ptsp_map08.map	5	1257	50174	21
8	maps/StageA/ptsp_map08.map	5	1017	50159	20
9	maps/StageA/ptsp_map08.map	5	1303	50167	21
10	maps/StageA/ptsp_map08.map	5	1269	50169	21
1	maps/StageA/ptsp_map19.map	5	1359	50172	20
2	maps/StageA/ptsp_map19.map	5	1374	50170	20
3	maps/StageA/ptsp_map19.map	5	970	50168	19
4	maps/StageA/ptsp_map19.map	5	1458	50173	19
5	maps/StageA/ptsp_map19.map	5	1091	50176	19
6	maps/StageA/ptsp_map19.map	5	1158	50174	19
7	maps/StageA/ptsp_map19.map	2	1369	50156	20
8	maps/StageA/ptsp_map19.map	5	1463	50166	20
9	maps/StageA/ptsp_map19.map	5	1380	50175	21
10	maps/StageA/ptsp_map19.map	5	1027	50174	19
1	maps/StageA/ptsp_map24.map	5	854	50165	20
2	maps/StageA/ptsp_map24.map	5	1081	50165	20
3	maps/StageA/ptsp_map24.map	5	987	50177	20
4	maps/StageA/ptsp_map24.map	5	1578	50170	21
5	maps/StageA/ptsp_map24.map	4	1805	50160	20
6	maps/StageA/ptsp_map24.map	3	1679	50158	21
7	maps/StageA/ptsp_map24.map	1	1265	50157	20
8	maps/StageA/ptsp_map24.map	3	1914	50161	21
9	maps/StageA/ptsp_map24.map	1	1248	50156	21
10	maps/StageA/ptsp_map24.map	4	2034	50161	21
1	maps/StageA/ptsp_map35.map	2	1417	50153	20
2	maps/StageA/ptsp_map35.map	4	2332	50162	20
3	maps/StageA/ptsp_map35.map	5	1498	50172	19
4	maps/StageA/ptsp_map35.map	5	1020	50170	20
5	maps/StageA/ptsp_map35.map	5	1327	50171	20
6	maps/StageA/ptsp_map35.map	5	1289	50169	20
7	maps/StageA/ptsp_map35.map	5	914	50169	20
8	maps/StageA/ptsp_map35.map	5	1305	50166	19
9	maps/StageA/ptsp_map35.map	5	1094	50173	18
