Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	5	810	0	31
2	maps/StageA/ptsp_map01.map	5	638	0	30
3	maps/StageA/ptsp_map01.map	5	555	0	30
4	maps/StageA/ptsp_map01.map	5	572	0	30
5	maps/StageA/ptsp_map01.map	5	536	0	30
6	maps/StageA/ptsp_map01.map	5	876	0	30
7	maps/StageA/ptsp_map01.map	5	706	0	30
8	maps/StageA/ptsp_map01.map	5	559	0	30
9	maps/StageA/ptsp_map01.map	5	628	0	30
10	maps/StageA/ptsp_map01.map	5	532	0	30
1	maps/StageA/ptsp_map02.map	5	691	0	30
2	maps/StageA/ptsp_map02.map	5	712	0	30
3	maps/StageA/ptsp_map02.map	5	693	0	30
4	maps/StageA/ptsp_map02.map	5	697	0	30
5	maps/StageA/ptsp_map02.map	5	600	0	30
6	maps/StageA/ptsp_map02.map	5	755	0	30
7	maps/StageA/ptsp_map02.map	5	651	0	30
8	maps/StageA/ptsp_map02.map	5	611	0	30
9	maps/StageA/ptsp_map02.map	5	804	0	30
10	maps/StageA/ptsp_map02.map	5	734	0	30
1	maps/StageA/ptsp_map08.map	5	639	0	30
2	maps/StageA/ptsp_map08.map	5	649	0	30
3	maps/StageA/ptsp_map08.map	5	637	0	30
4	maps/StageA/ptsp_map08.map	5	565	0	30
5	maps/StageA/ptsp_map08.map	5	638	0	30
6	maps/StageA/ptsp_map08.map	5	546	0	30
7	maps/StageA/ptsp_map08.map	5	726	0	30
8	maps/StageA/ptsp_map08.map	5	567	0	31
9	maps/StageA/ptsp_map08.map	5	690	0	30
10	maps/StageA/ptsp_map08.map	5	705	0	30
1	maps/StageA/ptsp_map19.map	5	753	0	30
2	maps/StageA/ptsp_map19.map	5	768	0	30
3	maps/StageA/ptsp_map19.map	5	1023	0	30
4	maps/StageA/ptsp_map19.map	5	961	0	30
5	maps/StageA/ptsp_map19.map	5	906	0	30
6	maps/StageA/ptsp_map19.map	5	783	0	30
7	maps/StageA/ptsp_map19.map	5	561	0	30
8	maps/StageA/ptsp_map19.map	5	683	0	31
9	maps/StageA/ptsp_map19.map	5	658	0	30
10	maps/StageA/ptsp_map19.map	5	565	0	30
1	maps/StageA/ptsp_map24.map	5	754	0	30
2	maps/StageA/ptsp_map24.map	5	965	0	30
3	maps/StageA/ptsp_map24.map	5	672	0	30
4	maps/StageA/ptsp_map24.map	5	780	0	30
5	maps/StageA/ptsp_map24.map	5	818	0	30
6	maps/StageA/ptsp_map24.map	5	655	0	30
7	maps/StageA/ptsp_map24.map	5	722	0	30
8	maps/StageA/ptsp_map24.map	5	651	0	30
9	maps/StageA/ptsp_map24.map	5	642	0	30
10	maps/StageA/ptsp_map24.map	5	731	0	30
1	maps/StageA/ptsp_map35.map	5	833	0	30
2	maps/StageA/ptsp_map35.map	5	628	0	30
3	maps/StageA/ptsp_map35.map	5	775	0	30
4	maps/StageA/ptsp_map35.map	5	977	0	30
5	maps/StageA/ptsp_map35.map	5	559	0	30
6	maps/StageA/ptsp_map35.map	5	891	0	30
7	maps/StageA/ptsp_map35.map	5	839	0	30
8	maps/StageA/ptsp_map35.map	5	811	0	30
9	maps/StageA/ptsp_map35.map	5	493	0	30
10	maps/StageA/ptsp_map35.map	5	793	0	30
1	maps/StageA/ptsp_map40.map	5	585	0	30
2	maps/StageA/ptsp_map40.map	5	572	0	30
3	maps/StageA/ptsp_map40.map	5	815	0	30
4	maps/StageA/ptsp_map40.map	5	817	0	30
5	maps/StageA/ptsp_map40.map	5	763	0	30
6	maps/StageA/ptsp_map40.map	5	707	0	30
7	maps/StageA/ptsp_map40.map	5	527	0	30
8	maps/StageA/ptsp_map40.map	5	495	0	30
9	maps/StageA/ptsp_map40.map	5	908	0	30
10	maps/StageA/ptsp_map40.map	5	539	0	30
1	maps/StageA/ptsp_map45.map	5	1095	0	30
2	maps/StageA/ptsp_map45.map	5	656	0	30
3	maps/StageA/ptsp_map45.map	5	1167	0	30
4	maps/StageA/ptsp_map45.map	5	831	0	30
5	maps/StageA/ptsp_map45.map	5	803	0	30
6	maps/StageA/ptsp_map45.map	5	571	0	30
7	maps/StageA/ptsp_map45.map	5	823	0	30
8	maps/StageA/ptsp_map45.map	5	948	0	30
9	maps/StageA/ptsp_map45.map	5	977	0	30
10	maps/StageA/ptsp_map45.map	5	842	0	30
1	maps/StageA/ptsp_map56.map	5	1409	0	30
2	maps/StageA/ptsp_map56.map	5	1458	0	30
3	maps/StageA/ptsp_map56.map	5	1586	0	31
4	maps/StageA/ptsp_map56.map	5	1361	0	30
5	maps/StageA/ptsp_map56.map	5	1421	0	30
6	maps/StageA/ptsp_map56.map	5	1596	0	32
7	maps/StageA/ptsp_map56.map	5	1777	0	30
8	maps/StageA/ptsp_map56.map	5	1202	0	30
9	maps/StageA/ptsp_map56.map	5	1812	0	32
10	maps/StageA/ptsp_map56.map	5	1385	0	30
1	maps/StageA/ptsp_map61.map	5	814	0	30
2	maps/StageA/ptsp_map61.map	5	770	0	30
3	maps/StageA/ptsp_map61.map	5	903	0	30
4	maps/StageA/ptsp_map61.map	5	477	0	30
5	maps/StageA/ptsp_map61.map	5	411	0	30
6	maps/StageA/ptsp_map61.map	5	875	0	30
7	maps/StageA/ptsp_map61.map	5	614	0	30
8	maps/StageA/ptsp_map61.map	5	825	0	30
9	maps/StageA/ptsp_map61.map	5	880	0	30
10	maps/StageA/ptsp_map61.map	5	638	0	30
