Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	17	2593	50371	30
2	maps/StageA/ptsp_map01.map	15	2622	50378	30
3	maps/StageA/ptsp_map01.map	12	2223	50365	27
4	maps/StageA/ptsp_map01.map	20	1970	50435	27
5	maps/StageA/ptsp_map01.map	20	2113	50442	28
6	maps/StageA/ptsp_map01.map	20	2605	50424	29
7	maps/StageA/ptsp_map01.map	17	2618	50389	29
8	maps/StageA/ptsp_map01.map	20	2265	50424	28
9	maps/StageA/ptsp_map01.map	20	2383	50416	28
10	maps/StageA/ptsp_map01.map	20	2220	50404	28
1	maps/StageA/ptsp_map02.map	17	2784	50409	27
2	maps/StageA/ptsp_map02.map	17	2606	50400	26
3	maps/StageA/ptsp_map02.map	20	2709	50436	23
4	maps/StageA/ptsp_map02.map	19	2884	50374	26
5	maps/StageA/ptsp_map02.map	20	2038	50409	24
6	maps/StageA/ptsp_map02.map	20	2170	50417	23
7	maps/StageA/ptsp_map02.map	18	2921	50403	25
8	maps/StageA/ptsp_map02.map	17	2791	50357	24
9	maps/StageA/ptsp_map02.map	18	2513	50410	24
10	maps/StageA/ptsp_map02.map	17	2533	50365	25
1	maps/StageA/ptsp_map08.map	20	1604	50427	24
2	maps/StageA/ptsp_map08.map	14	2103	50322	24
3	maps/StageA/ptsp_map08.map	18	2579	50390	26
4	maps/StageA/ptsp_map08.map	15	2107	50355	26
5	maps/StageA/ptsp_map08.map	20	2232	50443	24
6	maps/StageA/ptsp_map08.map	20	1872	50423	24
7	maps/StageA/ptsp_map08.map	18	3062	50399	26
8	maps/StageA/ptsp_map08.map	17	2447	50373	25
9	maps/StageA/ptsp_map08.map	18	2779	50412	26
10	maps/StageA/ptsp_map08.map	20	2234	50439	25
1	maps/StageA/ptsp_map19.map	20	2235	50425	24
2	maps/StageA/ptsp_map19.map	15	2718	50397	25
3	maps/StageA/ptsp_map19.map	13	2507	50404	25
4	maps/StageA/ptsp_map19.map	14	2855	50394	26
5	maps/StageA/ptsp_map19.map	16	2698	50392	25
6	maps/StageA/ptsp_map19.map	19	3367	50399	25
7	maps/StageA/ptsp_map19.map	20	2496	50453	24
8	maps/StageA/ptsp_map19.map	15	2776	50394	25
9	maps/StageA/ptsp_map19.map	19	3168	50408	25
10	maps/StageA/ptsp_map19.map	5	1775	50376	25
1	maps/StageA/ptsp_map24.map	17	2810	50362	25
2	maps/StageA/ptsp_map24.map	18	3939	50420	25
3	maps/StageA/ptsp_map24.map	17	3410	50397	24
4	maps/StageA/ptsp_map24.map	15	2665	50404	25
5	maps/StageA/ptsp_map24.map	8	1733	50366	25
6	maps/StageA/ptsp_map24.map	16	2826	50401	24
7	maps/StageA/ptsp_map24.map	11	2550	50411	27
8	maps/StageA/ptsp_map24.map	11	1898	50386	25
9	maps/StageA/ptsp_map24.map	20	2550	50438	25
10	maps/StageA/ptsp_map24.map	20	2931	50429	25
1	maps/StageA/ptsp_map35.map	17	2814	50377	27
2	maps/StageA/ptsp_map35.map	15	2641	50394	25
3	maps/StageA/ptsp_map35.map	19	3350	50401	25
4	maps/StageA/ptsp_map35.map	15	2787	50422	26
5	maps/StageA/ptsp_map35.map	18	3573	50410	26
6	maps/StageA/ptsp_map35.map	15	2651	50394	25
7	maps/StageA/ptsp_map35.map	16	2570	50386	25
8	maps/StageA/ptsp_map35.map	18	2851	50418	24
9	maps/StageA/ptsp_map35.map	20	2793	50416	24
10	maps/StageA/ptsp_map35.map	18	3220	50397	24
1	maps/StageA/ptsp_map40.map	20	1853	50417	23
2	maps/StageA/ptsp_map40.map	15	2467	50385	25
3	maps/StageA/ptsp_map40.map	20	2052	50437	24
