Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	100	7889	79080	74
2	maps/StageA/ptsp_map01.map	100	7643	79146	72
3	maps/StageA/ptsp_map01.map	100	8444	79061	72
4	maps/StageA/ptsp_map01.map	100	7571	79026	71
5	maps/StageA/ptsp_map01.map	100	8355	79115	70
6	maps/StageA/ptsp_map01.map	100	8096	79088	71
7	maps/StageA/ptsp_map01.map	100	8305	79047	75
8	maps/StageA/ptsp_map01.map	100	8078	78973	75
9	maps/StageA/ptsp_map01.map	100	7946	78987	75
10	maps/StageA/ptsp_map01.map	97	7339	78400	75
1	maps/StageA/ptsp_map02.map	98	7864	78459	77
2	maps/StageA/ptsp_map02.map	92	7794	78454	77
3	maps/StageA/ptsp_map02.map	97	8528	78510	77
4	maps/StageA/ptsp_map02.map	100	8035	79025	77
5	maps/StageA/ptsp_map02.map	100	7866	79148	76
6	maps/StageA/ptsp_map02.map	100	7559	78773	75
7	maps/StageA/ptsp_map02.map	98	8378	78496	77
8	maps/StageA/ptsp_map02.map	100	7466	79025	76
9	maps/StageA/ptsp_map02.map	99	8630	78529	74
10	maps/StageA/ptsp_map02.map	98	7862	78466	70
1	maps/StageA/ptsp_map08.map	100	7452	78927	71
2	maps/StageA/ptsp_map08.map	100	7603	79015	71
3	maps/StageA/ptsp_map08.map	98	7527	78393	72
4	maps/StageA/ptsp_map08.map	100	7271	78928	71
5	maps/StageA/ptsp_map08.map	100	8308	79025	74
6	maps/StageA/ptsp_map08.map	98	8558	78513	75
7	maps/StageA/ptsp_map08.map	100	6553	79005	74
8	maps/StageA/ptsp_map08.map	100	7424	79008	75
9	maps/StageA/ptsp_map08.map	96	6797	78369	74
10	maps/StageA/ptsp_map08.map	100	7419	78763	75
1	maps/StageA/ptsp_map19.map	100	8510	79087	76
2	maps/StageA/ptsp_map19.map	73	6802	78319	78
3	maps/StageA/ptsp_map19.map	96	9766	78627	76
4	maps/StageA/ptsp_map19.map	94	9214	78697	75
5	maps/StageA/ptsp_map19.map	97	10266	78646	79
6	maps/StageA/ptsp_map19.map	100	9347	79110	77
7	maps/StageA/ptsp_map19.map	95	9559	78591	79
8	maps/StageA/ptsp_map19.map	92	8798	78534	78
9	maps/StageA/ptsp_map19.map	98	9680	78543	78
10	maps/StageA/ptsp_map19.map	99	10444	78662	79
1	maps/StageA/ptsp_map24.map	95	9111	78566	75
2	maps/StageA/ptsp_map24.map	100	8880	79175	76
3	maps/StageA/ptsp_map24.map	100	8800	79043	76
4	maps/StageA/ptsp_map24.map	98	8392	78501	77
5	maps/StageA/ptsp_map24.map	88	7434	78151	76
6	maps/StageA/ptsp_map24.map	99	9219	78565	77
7	maps/StageA/ptsp_map24.map	100	10196	79027	77
8	maps/StageA/ptsp_map24.map	100	8620	79156	76
9	maps/StageA/ptsp_map24.map	98	8602	78447	76
10	maps/StageA/ptsp_map24.map	98	8229	78479	76
1	maps/StageA/ptsp_map35.map	95	8915	78493	76
2	maps/StageA/ptsp_map35.map	98	8747	78548	76
3	maps/StageA/ptsp_map35.map	98	8013	78454	75
4	maps/StageA/ptsp_map35.map	96	7849	78458	76
5	maps/StageA/ptsp_map35.map	100	8174	79029	75
6	maps/StageA/ptsp_map35.map	90	6542	78347	74
7	maps/StageA/ptsp_map35.map	98	8618	78517	75
8	maps/StageA/ptsp_map35.map	98	8136	78611	73
9	maps/StageA/ptsp_map35.map	100	7436	79166	73
10	maps/StageA/ptsp_map35.map	99	8707	78529	74
1	maps/StageA/ptsp_map40.map	96	8017	78437	73
2	maps/StageA/ptsp_map40.map	97	8903	78401	72
3	maps/StageA/ptsp_map40.map	100	7558	79038	72
4	maps/StageA/ptsp_map40.map	100	8344	78739	71
5	maps/StageA/ptsp_map40.map	91	7419	78392	72
6	maps/StageA/ptsp_map40.map	99	10117	78634	74
7	maps/StageA/ptsp_map40.map	99	7800	78414	72
8	maps/StageA/ptsp_map40.map	100	8782	79120	73
9	maps/StageA/ptsp_map40.map	98	8433	78518	74
10	maps/StageA/ptsp_map40.map	100	8250	78995	76
1	maps/StageA/ptsp_map45.map	80	7208	78369	72
2	maps/StageA/ptsp_map45.map	82	7924	78704	74
3	maps/StageA/ptsp_map45.map	80	7312	78386	73
4	maps/StageA/ptsp_map45.map	100	9312	78907	72
5	maps/StageA/ptsp_map45.map	95	8063	78466	71
6	maps/StageA/ptsp_map45.map	52	4312	77554	69
7	maps/StageA/ptsp_map45.map	100	9495	79153	68
8	maps/StageA/ptsp_map45.map	97	8782	78536	68
9	maps/StageA/ptsp_map45.map	94	9110	78629	68
10	maps/StageA/ptsp_map45.map	98	9163	78549	68
1	maps/StageA/ptsp_map56.map	86	12267	78689	72
2	maps/StageA/ptsp_map56.map	44	5276	77957	71
3	maps/StageA/ptsp_map56.map	71	8568	78527	71
4	maps/StageA/ptsp_map56.map	71	8829	78535	71
5	maps/StageA/ptsp_map56.map	24	4028	77649	72
6	maps/StageA/ptsp_map56.map	24	3219	77230	71
7	maps/StageA/ptsp_map56.map	46	5018	78085	70
8	maps/StageA/ptsp_map56.map	54	7277	78305	71
9	maps/StageA/ptsp_map56.map	38	4893	77726	71
10	maps/StageA/ptsp_map56.map	16	2349	77194	71
1	maps/StageA/ptsp_map61.map	100	8487	78985	68
2	maps/StageA/ptsp_map61.map	100	8199	79027	68
3	maps/StageA/ptsp_map61.map	100	7530	79023	67
4	maps/StageA/ptsp_map61.map	100	8504	79083	68
5	maps/StageA/ptsp_map61.map	100	8608	79052	68
