Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	40	2952	50394	25
2	maps/StageA/ptsp_map01.map	40	3435	50394	25
3	maps/StageA/ptsp_map01.map	40	2864	50392	26
4	maps/StageA/ptsp_map01.map	40	3011	50391	25
5	maps/StageA/ptsp_map01.map	40	3242	50393	24
6	maps/StageA/ptsp_map01.map	39	3710	50372	25
7	maps/StageA/ptsp_map01.map	40	2833	50391	25
8	maps/StageA/ptsp_map01.map	40	2714	50392	25
9	maps/StageA/ptsp_map01.map	40	2720	50391	25
10	maps/StageA/ptsp_map01.map	38	3472	50369	26
1	maps/StageA/ptsp_map02.map	40	3186	50395	25
2	maps/StageA/ptsp_map02.map	40	3053	50394	24
3	maps/StageA/ptsp_map02.map	40	2625	50394	25
4	maps/StageA/ptsp_map02.map	40	2723	50390	25
5	maps/StageA/ptsp_map02.map	40	2786	50392	25
6	maps/StageA/ptsp_map02.map	38	3292	50366	25
7	maps/StageA/ptsp_map02.map	40	3161	50393	25
8	maps/StageA/ptsp_map02.map	39	3889	50373	25
9	maps/StageA/ptsp_map02.map	40	3403	50393	25
10	maps/StageA/ptsp_map02.map	40	2667	50396	25
1	maps/StageA/ptsp_map08.map	40	2755	50390	24
2	maps/StageA/ptsp_map08.map	40	2950	50392	25
3	maps/StageA/ptsp_map08.map	39	3378	50368	25
4	maps/StageA/ptsp_map08.map	40	2683	50391	25
5	maps/StageA/ptsp_map08.map	39	3263	50366	26
6	maps/StageA/ptsp_map08.map	40	3536	50394	25
7	maps/StageA/ptsp_map08.map	40	2395	50391	24
8	maps/StageA/ptsp_map08.map	40	2769	50396	25
9	maps/StageA/ptsp_map08.map	40	3478	50395	25
10	maps/StageA/ptsp_map08.map	40	2910	50391	25
1	maps/StageA/ptsp_map19.map	40	3818	50397	25
2	maps/StageA/ptsp_map19.map	40	3789	50396	26
3	maps/StageA/ptsp_map19.map	39	4148	50375	26
4	maps/StageA/ptsp_map19.map	39	4048	50374	26
5	maps/StageA/ptsp_map19.map	35	4006	50375	26
6	maps/StageA/ptsp_map19.map	37	3699	50371	26
7	maps/StageA/ptsp_map19.map	37	3723	50372	26
8	maps/StageA/ptsp_map19.map	40	3371	50394	26
9	maps/StageA/ptsp_map19.map	38	4337	50377	26
10	maps/StageA/ptsp_map19.map	40	3905	50395	25
1	maps/StageA/ptsp_map24.map	38	3540	50369	26
2	maps/StageA/ptsp_map24.map	40	3690	50394	26
3	maps/StageA/ptsp_map24.map	31	2978	50363	26
4	maps/StageA/ptsp_map24.map	40	3433	50395	26
5	maps/StageA/ptsp_map24.map	36	3549	50367	25
6	maps/StageA/ptsp_map24.map	21	2296	50347	26
7	maps/StageA/ptsp_map24.map	40	3703	50397	25
8	maps/StageA/ptsp_map24.map	37	3619	50371	26
9	maps/StageA/ptsp_map24.map	40	3086	50394	26
10	maps/StageA/ptsp_map24.map	18	2330	50348	26
1	maps/StageA/ptsp_map35.map	37	3084	50364	26
2	maps/StageA/ptsp_map35.map	40	2830	50394	24
3	maps/StageA/ptsp_map35.map	38	3424	50368	25
4	maps/StageA/ptsp_map35.map	40	3147	50393	25
5	maps/StageA/ptsp_map35.map	39	3698	50371	25
6	maps/StageA/ptsp_map35.map	40	2813	50387	24
7	maps/StageA/ptsp_map35.map	40	2534	50392	25
8	maps/StageA/ptsp_map35.map	40	3384	50394	25
9	maps/StageA/ptsp_map35.map	40	3311	50392	25
10	maps/StageA/ptsp_map35.map	40	2814	50392	25
1	maps/StageA/ptsp_map40.map	40	2933	50389	25
2	maps/StageA/ptsp_map40.map	40	2790	50391	25
3	maps/StageA/ptsp_map40.map	40	3416	50393	26
4	maps/StageA/ptsp_map40.map	39	3575	50370	25
5	maps/StageA/ptsp_map40.map	40	2800	50391	25
6	maps/StageA/ptsp_map40.map	40	2305	50386	25
7	maps/StageA/ptsp_map40.map	40	2947	50392	25
8	maps/StageA/ptsp_map40.map	40	2797	50393	25
9	maps/StageA/ptsp_map40.map	40	3557	50395	25
10	maps/StageA/ptsp_map40.map	40	2984	50394	25
1	maps/StageA/ptsp_map45.map	39	4297	50376	26
2	maps/StageA/ptsp_map45.map	36	3782	50373	26
3	maps/StageA/ptsp_map45.map	35	3580	50370	27
4	maps/StageA/ptsp_map45.map	31	3208	50365	26
5	maps/StageA/ptsp_map45.map	13	2074	50344	26
6	maps/StageA/ptsp_map45.map	39	3779	50371	26
7	maps/StageA/ptsp_map45.map	40	3380	50392	25
8	maps/StageA/ptsp_map45.map	25	3127	50365	27
9	maps/StageA/ptsp_map45.map	36	3352	50368	26
10	maps/StageA/ptsp_map45.map	39	3682	50371	26
1	maps/StageA/ptsp_map56.map	21	2893	50361	26
2	maps/StageA/ptsp_map56.map	27	3713	50371	26
3	maps/StageA/ptsp_map56.map	37	5258	50382	26
4	maps/StageA/ptsp_map56.map	5	1759	50333	27
5	maps/StageA/ptsp_map56.map	3	1417	50308	28
6	maps/StageA/ptsp_map56.map	17	3410	50368	27
7	maps/StageA/ptsp_map56.map	7	1652	50329	27
8	maps/StageA/ptsp_map56.map	34	5314	50382	26
9	maps/StageA/ptsp_map56.map	32	4277	50376	25
10	maps/StageA/ptsp_map56.map	22	3218	50366	27
1	maps/StageA/ptsp_map61.map	40	3133	50392	26
2	maps/StageA/ptsp_map61.map	40	3220	50392	25
3	maps/StageA/ptsp_map61.map	40	2850	50392	25
4	maps/StageA/ptsp_map61.map	40	2854	50392	24
5	maps/StageA/ptsp_map61.map	40	3327	50393	25
6	maps/StageA/ptsp_map61.map	40	3382	50390	25
7	maps/StageA/ptsp_map61.map	40	2997	50394	25
8	maps/StageA/ptsp_map61.map	40	2909	50390	25
9	maps/StageA/ptsp_map61.map	40	2803	50390	25
10	maps/StageA/ptsp_map61.map	40	2846	50391	25
