Trial	MapName	MaxWaypoints	WaypointsVisited	Steps
1	maps/StageA/ptsp_map01.map	10	10	1413
2	maps/StageA/ptsp_map01.map	10	10	1362
3	maps/StageA/ptsp_map01.map	10	10	1395
4	maps/StageA/ptsp_map01.map	10	10	1353
5	maps/StageA/ptsp_map01.map	10	10	1394
6	maps/StageA/ptsp_map01.map	10	10	1354
7	maps/StageA/ptsp_map01.map	10	10	1367
8	maps/StageA/ptsp_map01.map	10	10	1346
9	maps/StageA/ptsp_map01.map	10	10	1343
10	maps/StageA/ptsp_map01.map	10	10	1408
1	maps/StageA/ptsp_map02.map	10	10	994
2	maps/StageA/ptsp_map02.map	10	10	993
3	maps/StageA/ptsp_map02.map	10	10	993
4	maps/StageA/ptsp_map02.map	10	10	994
5	maps/StageA/ptsp_map02.map	10	10	994
6	maps/StageA/ptsp_map02.map	10	10	994
7	maps/StageA/ptsp_map02.map	10	10	997
8	maps/StageA/ptsp_map02.map	10	10	994
9	maps/StageA/ptsp_map02.map	10	10	996
10	maps/StageA/ptsp_map02.map	10	10	994
1	maps/StageA/ptsp_map08.map	10	10	1192
2	maps/StageA/ptsp_map08.map	10	10	1206
3	maps/StageA/ptsp_map08.map	10	10	1194
4	maps/StageA/ptsp_map08.map	10	10	1202
5	maps/StageA/ptsp_map08.map	10	10	1178
6	maps/StageA/ptsp_map08.map	10	10	1164
7	maps/StageA/ptsp_map08.map	10	10	1230
8	maps/StageA/ptsp_map08.map	10	10	1216
9	maps/StageA/ptsp_map08.map	10	10	1206
10	maps/StageA/ptsp_map08.map	10	10	1216
1	maps/StageA/ptsp_map19.map	10	10	1336
2	maps/StageA/ptsp_map19.map	10	10	1358
3	maps/StageA/ptsp_map19.map	10	10	1353
4	maps/StageA/ptsp_map19.map	10	10	1366
5	maps/StageA/ptsp_map19.map	10	10	1353
6	maps/StageA/ptsp_map19.map	10	10	1345
7	maps/StageA/ptsp_map19.map	10	10	1360
8	maps/StageA/ptsp_map19.map	10	10	1318
9	maps/StageA/ptsp_map19.map	10	10	1514
10	maps/StageA/ptsp_map19.map	10	10	1346
1	maps/StageA/ptsp_map24.map	10	10	1656
2	maps/StageA/ptsp_map24.map	10	10	1745
3	maps/StageA/ptsp_map24.map	10	10	1613
4	maps/StageA/ptsp_map24.map	10	10	1679
5	maps/StageA/ptsp_map24.map	10	10	1698
6	maps/StageA/ptsp_map24.map	10	10	1703
7	maps/StageA/ptsp_map24.map	10	10	1581
8	maps/StageA/ptsp_map24.map	10	10	1599
9	maps/StageA/ptsp_map24.map	10	10	1595
10	maps/StageA/ptsp_map24.map	10	10	1625
1	maps/StageA/ptsp_map35.map	10	10	1468
2	maps/StageA/ptsp_map35.map	10	10	1420
3	maps/StageA/ptsp_map35.map	10	10	1452
4	maps/StageA/ptsp_map35.map	10	10	1449
5	maps/StageA/ptsp_map35.map	10	10	1627
6	maps/StageA/ptsp_map35.map	10	10	1517
7	maps/StageA/ptsp_map35.map	10	10	1468
8	maps/StageA/ptsp_map35.map	10	10	1585
9	maps/StageA/ptsp_map35.map	10	10	1437
10	maps/StageA/ptsp_map35.map	10	10	1474
1	maps/StageA/ptsp_map40.map	10	10	1401
2	maps/StageA/ptsp_map40.map	10	10	1432
3	maps/StageA/ptsp_map40.map	10	10	1521
4	maps/StageA/ptsp_map40.map	10	10	1382
5	maps/StageA/ptsp_map40.map	10	10	1430
6	maps/StageA/ptsp_map40.map	10	10	1623
7	maps/StageA/ptsp_map40.map	10	10	1483
8	maps/StageA/ptsp_map40.map	10	10	1483
9	maps/StageA/ptsp_map40.map	10	10	1427
10	maps/StageA/ptsp_map40.map	10	10	1514
1	maps/StageA/ptsp_map45.map	10	10	1635
2	maps/StageA/ptsp_map45.map	10	10	1623
3	maps/StageA/ptsp_map45.map	10	10	1721
4	maps/StageA/ptsp_map45.map	10	10	1623
5	maps/StageA/ptsp_map45.map	10	10	1664
6	maps/StageA/ptsp_map45.map	10	10	1650
7	maps/StageA/ptsp_map45.map	10	10	1624
8	maps/StageA/ptsp_map45.map	10	10	1594
9	maps/StageA/ptsp_map45.map	10	10	1635
10	maps/StageA/ptsp_map45.map	10	10	1698
1	maps/StageA/ptsp_map56.map	10	10	1899
2	maps/StageA/ptsp_map56.map	10	10	1924
3	maps/StageA/ptsp_map56.map	10	10	1907
4	maps/StageA/ptsp_map56.map	10	10	2074
5	maps/StageA/ptsp_map56.map	10	10	1856
6	maps/StageA/ptsp_map56.map	10	10	1970
7	maps/StageA/ptsp_map56.map	10	10	2152
8	maps/StageA/ptsp_map56.map	10	10	2475
9	maps/StageA/ptsp_map56.map	10	10	1871
10	maps/StageA/ptsp_map56.map	10	10	1777
1	maps/StageA/ptsp_map61.map	10	10	1193
2	maps/StageA/ptsp_map61.map	10	10	1215
3	maps/StageA/ptsp_map61.map	10	10	1204
4	maps/StageA/ptsp_map61.map	10	10	1204
5	maps/StageA/ptsp_map61.map	10	10	1190
6	maps/StageA/ptsp_map61.map	10	10	1204
7	maps/StageA/ptsp_map61.map	10	10	1192
8	maps/StageA/ptsp_map61.map	10	10	1187
9	maps/StageA/ptsp_map61.map	10	10	1193
10	maps/StageA/ptsp_map61.map	10	10	1174
