Trial	MapName	MaxWaypoints	WaypointsVisited	Steps
1	maps/StageA/ptsp_map01.map	10	3	2102
2	maps/StageA/ptsp_map01.map	10	2	1504
3	maps/StageA/ptsp_map01.map	10	3	1426
4	maps/StageA/ptsp_map01.map	10	0	1000
5	maps/StageA/ptsp_map01.map	10	3	1373
6	maps/StageA/ptsp_map01.map	10	2	1462
7	maps/StageA/ptsp_map01.map	10	5	2299
8	maps/StageA/ptsp_map01.map	10	3	1855
9	maps/StageA/ptsp_map01.map	10	1	1212
10	maps/StageA/ptsp_map01.map	10	3	1474
1	maps/StageA/ptsp_map02.map	10	7	2126
2	maps/StageA/ptsp_map02.map	10	4	2161
3	maps/StageA/ptsp_map02.map	10	6	1715
4	maps/StageA/ptsp_map02.map	10	3	1617
5	maps/StageA/ptsp_map02.map	10	4	2040
6	maps/StageA/ptsp_map02.map	10	5	1709
7	maps/StageA/ptsp_map02.map	10	8	3656
8	maps/StageA/ptsp_map02.map	10	5	2194
9	maps/StageA/ptsp_map02.map	10	4	1373
10	maps/StageA/ptsp_map02.map	10	4	2211
1	maps/StageA/ptsp_map08.map	10	7	2039
2	maps/StageA/ptsp_map08.map	10	4	1554
3	maps/StageA/ptsp_map08.map	10	4	1373
4	maps/StageA/ptsp_map08.map	10	9	3351
5	maps/StageA/ptsp_map08.map	10	4	1520
6	maps/StageA/ptsp_map08.map	10	6	2607
7	maps/StageA/ptsp_map08.map	10	4	1492
8	maps/StageA/ptsp_map08.map	10	7	3335
9	maps/StageA/ptsp_map08.map	10	6	1845
10	maps/StageA/ptsp_map08.map	10	4	1562
1	maps/StageA/ptsp_map19.map	10	0	1000
2	maps/StageA/ptsp_map19.map	10	2	1392
3	maps/StageA/ptsp_map19.map	10	5	1986
4	maps/StageA/ptsp_map19.map	10	0	1000
5	maps/StageA/ptsp_map19.map	10	1	1247
6	maps/StageA/ptsp_map19.map	10	0	1000
7	maps/StageA/ptsp_map19.map	10	2	1575
8	maps/StageA/ptsp_map19.map	10	3	1923
9	maps/StageA/ptsp_map19.map	10	2	1460
10	maps/StageA/ptsp_map19.map	10	3	2000
1	maps/StageA/ptsp_map24.map	10	4	2415
2	maps/StageA/ptsp_map24.map	10	3	1693
3	maps/StageA/ptsp_map24.map	10	3	1944
4	maps/StageA/ptsp_map24.map	10	2	1585
5	maps/StageA/ptsp_map24.map	10	4	2066
6	maps/StageA/ptsp_map24.map	10	4	2032
7	maps/StageA/ptsp_map24.map	10	0	1000
8	maps/StageA/ptsp_map24.map	10	3	1886
9	maps/StageA/ptsp_map24.map	10	2	2537
10	maps/StageA/ptsp_map24.map	10	1	1280
1	maps/StageA/ptsp_map35.map	10	3	1588
2	maps/StageA/ptsp_map35.map	10	4	1941
3	maps/StageA/ptsp_map35.map	10	4	2240
4	maps/StageA/ptsp_map35.map	10	3	1805
5	maps/StageA/ptsp_map35.map	10	3	1389
6	maps/StageA/ptsp_map35.map	10	6	2413
7	maps/StageA/ptsp_map35.map	10	1	1116
8	maps/StageA/ptsp_map35.map	10	3	1370
9	maps/StageA/ptsp_map35.map	10	3	2097
10	maps/StageA/ptsp_map35.map	10	2	1199
1	maps/StageA/ptsp_map40.map	10	6	3032
2	maps/StageA/ptsp_map40.map	10	3	2688
3	maps/StageA/ptsp_map40.map	10	0	1000
4	maps/StageA/ptsp_map40.map	10	3	1479
5	maps/StageA/ptsp_map40.map	10	8	3626
6	maps/StageA/ptsp_map40.map	10	2	1889
7	maps/StageA/ptsp_map40.map	10	5	2101
8	maps/StageA/ptsp_map40.map	10	4	2629
9	maps/StageA/ptsp_map40.map	10	0	1000
10	maps/StageA/ptsp_map40.map	10	0	1000
1	maps/StageA/ptsp_map45.map	10	0	1000
2	maps/StageA/ptsp_map45.map	10	1	1947
3	maps/StageA/ptsp_map45.map	10	0	1000
4	maps/StageA/ptsp_map45.map	10	0	1000
5	maps/StageA/ptsp_map45.map	10	0	1000
6	maps/StageA/ptsp_map45.map	10	0	1000
7	maps/StageA/ptsp_map45.map	10	1	1608
8	maps/StageA/ptsp_map45.map	10	1	1228
9	maps/StageA/ptsp_map45.map	10	2	2508
10	maps/StageA/ptsp_map45.map	10	0	1000
1	maps/StageA/ptsp_map56.map	10	1	1278
2	maps/StageA/ptsp_map56.map	10	0	1000
3	maps/StageA/ptsp_map56.map	10	2	2014
4	maps/StageA/ptsp_map56.map	10	0	1000
5	maps/StageA/ptsp_map56.map	10	0	1000
6	maps/StageA/ptsp_map56.map	10	0	1000
7	maps/StageA/ptsp_map56.map	10	2	2113
8	maps/StageA/ptsp_map56.map	10	0	1000
9	maps/StageA/ptsp_map56.map	10	0	1000
10	maps/StageA/ptsp_map56.map	10	0	1000
1	maps/StageA/ptsp_map61.map	10	7	2336
2	maps/StageA/ptsp_map61.map	10	3	1373
3	maps/StageA/ptsp_map61.map	10	3	1628
4	maps/StageA/ptsp_map61.map	10	3	1283
5	maps/StageA/ptsp_map61.map	10	5	2553
6	maps/StageA/ptsp_map61.map	10	3	1281
7	maps/StageA/ptsp_map61.map	10	9	3897
8	maps/StageA/ptsp_map61.map	10	3	1295
9	maps/StageA/ptsp_map61.map	10	5	1701
10	maps/StageA/ptsp_map61.map	10	8	3523
