Trial	MapName	MaxWaypoints	WaypointsVisited	Steps
1	maps/StageA/ptsp_map01.map	10	1	1312
2	maps/StageA/ptsp_map01.map	10	0	1000
3	maps/StageA/ptsp_map01.map	10	0	1000
4	maps/StageA/ptsp_map01.map	10	0	1000
5	maps/StageA/ptsp_map01.map	10	0	1000
6	maps/StageA/ptsp_map01.map	10	0	1000
7	maps/StageA/ptsp_map01.map	10	1	1280
8	maps/StageA/ptsp_map01.map	10	0	1000
9	maps/StageA/ptsp_map01.map	10	0	1000
10	maps/StageA/ptsp_map01.map	10	0	1000
1	maps/StageA/ptsp_map02.map	10	0	1000
2	maps/StageA/ptsp_map02.map	10	0	1000
3	maps/StageA/ptsp_map02.map	10	1	1241
4	maps/StageA/ptsp_map02.map	10	0	1000
5	maps/StageA/ptsp_map02.map	10	0	1000
6	maps/StageA/ptsp_map02.map	10	0	1000
7	maps/StageA/ptsp_map02.map	10	0	1000
8	maps/StageA/ptsp_map02.map	10	0	1000
9	maps/StageA/ptsp_map02.map	10	0	1000
10	maps/StageA/ptsp_map02.map	10	0	1000
1	maps/StageA/ptsp_map08.map	10	0	1000
2	maps/StageA/ptsp_map08.map	10	0	1000
3	maps/StageA/ptsp_map08.map	10	2	1355
4	maps/StageA/ptsp_map08.map	10	0	1000
5	maps/StageA/ptsp_map08.map	10	0	1000
6	maps/StageA/ptsp_map08.map	10	0	1000
7	maps/StageA/ptsp_map08.map	10	0	1000
8	maps/StageA/ptsp_map08.map	10	0	1000
9	maps/StageA/ptsp_map08.map	10	0	1000
10	maps/StageA/ptsp_map08.map	10	0	1000
1	maps/StageA/ptsp_map19.map	10	0	1000
2	maps/StageA/ptsp_map19.map	10	0	1000
3	maps/StageA/ptsp_map19.map	10	1	1354
4	maps/StageA/ptsp_map19.map	10	0	1000
5	maps/StageA/ptsp_map19.map	10	0	1000
6	maps/StageA/ptsp_map19.map	10	0	1000
7	maps/StageA/ptsp_map19.map	10	1	1568
8	maps/StageA/ptsp_map19.map	10	0	1000
9	maps/StageA/ptsp_map19.map	10	0	1000
10	maps/StageA/ptsp_map19.map	10	0	1000
1	maps/StageA/ptsp_map24.map	10	0	1000
2	maps/StageA/ptsp_map24.map	10	1	1366
3	maps/StageA/ptsp_map24.map	10	0	1000
4	maps/StageA/ptsp_map24.map	10	0	1000
5	maps/StageA/ptsp_map24.map	10	0	1000
6	maps/StageA/ptsp_map24.map	10	1	1498
7	maps/StageA/ptsp_map24.map	10	1	1197
8	maps/StageA/ptsp_map24.map	10	0	1000
9	maps/StageA/ptsp_map24.map	10	0	1000
10	maps/StageA/ptsp_map24.map	10	0	1000
1	maps/StageA/ptsp_map35.map	10	0	1000
2	maps/StageA/ptsp_map35.map	10	0	1000
3	maps/StageA/ptsp_map35.map	10	0	1000
4	maps/StageA/ptsp_map35.map	10	0	1000
5	maps/StageA/ptsp_map35.map	10	0	1000
6	maps/StageA/ptsp_map35.map	10	0	1000
7	maps/StageA/ptsp_map35.map	10	0	1000
8	maps/StageA/ptsp_map35.map	10	0	1000
9	maps/StageA/ptsp_map35.map	10	0	1000
10	maps/StageA/ptsp_map35.map	10	0	1000
1	maps/StageA/ptsp_map40.map	10	0	1000
2	maps/StageA/ptsp_map40.map	10	0	1000
3	maps/StageA/ptsp_map40.map	10	1	1253
4	maps/StageA/ptsp_map40.map	10	0	1000
5	maps/StageA/ptsp_map40.map	10	0	1000
6	maps/StageA/ptsp_map40.map	10	0	1000
7	maps/StageA/ptsp_map40.map	10	0	1000
8	maps/StageA/ptsp_map40.map	10	0	1000
9	maps/StageA/ptsp_map40.map	10	0	1000
10	maps/StageA/ptsp_map40.map	10	0	1000
1	maps/StageA/ptsp_map45.map	10	0	1000
2	maps/StageA/ptsp_map45.map	10	0	1000
3	maps/StageA/ptsp_map45.map	10	0	1000
4	maps/StageA/ptsp_map45.map	10	0	1000
5	maps/StageA/ptsp_map45.map	10	0	1000
6	maps/StageA/ptsp_map45.map	10	0	1000
7	maps/StageA/ptsp_map45.map	10	0	1000
8	maps/StageA/ptsp_map45.map	10	0	1000
9	maps/StageA/ptsp_map45.map	10	0	1000
10	maps/StageA/ptsp_map45.map	10	0	1000
1	maps/StageA/ptsp_map56.map	10	0	1000
2	maps/StageA/ptsp_map56.map	10	0	1000
3	maps/StageA/ptsp_map56.map	10	0	1000
4	maps/StageA/ptsp_map56.map	10	0	1000
5	maps/StageA/ptsp_map56.map	10	0	1000
6	maps/StageA/ptsp_map56.map	10	0	1000
7	maps/StageA/ptsp_map56.map	10	0	1000
8	maps/StageA/ptsp_map56.map	10	0	1000
9	maps/StageA/ptsp_map56.map	10	0	1000
10	maps/StageA/ptsp_map56.map	10	0	1000
1	maps/StageA/ptsp_map61.map	10	0	1000
2	maps/StageA/ptsp_map61.map	10	0	1000
3	maps/StageA/ptsp_map61.map	10	1	1406
4	maps/StageA/ptsp_map61.map	10	1	1368
5	maps/StageA/ptsp_map61.map	10	1	1159
6	maps/StageA/ptsp_map61.map	10	0	1000
7	maps/StageA/ptsp_map61.map	10	1	1155
8	maps/StageA/ptsp_map61.map	10	0	1000
9	maps/StageA/ptsp_map61.map	10	0	1000
10	maps/StageA/ptsp_map61.map	10	0	1000
