Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	maps/StageA/ptsp_map01.map	9	3654	50047	43
2	maps/StageA/ptsp_map01.map	2	1808	50047	46
1	maps/StageA/ptsp_map02.map	4	1763	50047	39
2	maps/StageA/ptsp_map02.map	4	1553	50047	38
1	maps/StageA/ptsp_map08.map	5	1604	50047	41
2	maps/StageA/ptsp_map08.map	4	1470	50047	37
1	maps/StageA/ptsp_map19.map	3	1614	50047	35
2	maps/StageA/ptsp_map19.map	3	1763	50047	31
1	maps/StageA/ptsp_map24.map	2	1609	50047	42
2	maps/StageA/ptsp_map24.map	3	1756	50047	40
1	maps/StageA/ptsp_map35.map	3	1297	50047	37
2	maps/StageA/ptsp_map35.map	4	1886	50047	42
1	maps/StageA/ptsp_map40.map	8	2371	50047	40
2	maps/StageA/ptsp_map40.map	4	1713	50047	40
1	maps/StageA/ptsp_map45.map	0	1000	50047	41
2	maps/StageA/ptsp_map45.map	0	1000	50047	40
1	maps/StageA/ptsp_map56.map	0	1000	50047	37
2	maps/StageA/ptsp_map56.map	0	1000	50047	35
1	maps/StageA/ptsp_map56.map	0	1000	50047	46
2	maps/StageA/ptsp_map56.map	2	1799	50047	38
